time_label,time_h,r_0.0_cm,r_0.5_cm,r_1.0_cm,r_1.5_cm,r_2.0_cm
6 h,6.0,1.0170,0.9882,0.9015,0.7550,0.5328
12 h,12.0,0.4562,0.4432,0.4031,0.3298,0.1642
18 h,18.0,0.2989,0.2916,0.2687,0.2253,0.0845
24 h,24.0,0.2378,0.2328,0.2167,0.1856,0.0665
30 h,30.0,0.2058,0.2019,0.1892,0.1641,0.0598
36 h,36.0,0.1859,0.1825,0.1718,0.1504,0.0566
42 h,42.0,0.1721,0.1691,0.1597,0.1407,0.0548
48 h,48.0,0.1618,0.1592,0.1507,0.1334,0.0537
54 h,54.0,0.1539,0.1515,0.1436,0.1277,0.0530
实际 t3,57.482007378472225,0.1500,0.1477,0.1402,0.1249,0.0526
