test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
N80_dt0.125,N80_dt0.0625_ref,0.0,surface,2.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.0,r_1.5cm,1.5,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.125,surface,2.0,2.5479999508971964,2.5480097542498554,9.803352658988018e-06,9.803352658988018e-06
N80_dt0.125,N80_dt0.0625_ref,0.125,r_1.5cm,1.5,2.5500000000000003,2.5500000000000003,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.125,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.125,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.25,surface,2.0,2.546039688020037,2.5460587237574117,1.9035737374828443e-05,1.9035737374828443e-05
N80_dt0.125,N80_dt0.0625_ref,0.25,r_1.5cm,1.5,2.550000000000001,2.5500000000000007,-4.440892098500626e-16,4.440892098500626e-16
N80_dt0.125,N80_dt0.0625_ref,0.25,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.25,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.375,surface,2.0,2.5441180412325437,2.5441457661764075,2.772494386382718e-05,2.772494386382718e-05
N80_dt0.125,N80_dt0.0625_ref,0.375,r_1.5cm,1.5,2.550000000000002,2.550000000000001,-8.881784197001252e-16,8.881784197001252e-16
N80_dt0.125,N80_dt0.0625_ref,0.375,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.375,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.5,surface,2.0,2.5422338787508014,2.5422697762454725,3.5897494671033314e-05,3.5897494671033314e-05
N80_dt0.125,N80_dt0.0625_ref,0.5,r_1.5cm,1.5,2.550000000000002,2.5500000000000016,-4.440892098500626e-16,4.440892098500626e-16
N80_dt0.125,N80_dt0.0625_ref,0.5,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.5,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.625,surface,2.0,2.5403861058171464,2.5404296845182888,4.357870114235496e-05,4.357870114235496e-05
N80_dt0.125,N80_dt0.0625_ref,0.625,r_1.5cm,1.5,2.550000000000002,2.550000000000002,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.625,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,0.625,center,0.0,2.55,2.55,0.0,0.0
