test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
N80_dt1,N80_dt0.0625_ref,0.0,surface,2.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,0.0,r_1.5cm,1.5,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,0.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,0.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,1.0,surface,2.0,2.535050705592842,2.535909655802796,0.0008589502099538571,0.0008589502099538571
N80_dt1,N80_dt0.0625_ref,1.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,1.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,1.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,2.0,surface,2.0,2.5221826553412754,2.523569826320261,0.0013871709789854414,0.0013871709789854414
N80_dt1,N80_dt0.0625_ref,2.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,2.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,2.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,3.0,surface,2.0,2.510968463902904,2.5126597585483785,0.0016912946454743505,0.0016912946454743505
N80_dt1,N80_dt0.0625_ref,3.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,3.0,r_1.0cm,1.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt1,N80_dt0.0625_ref,3.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,4.0,surface,2.0,2.5010783987022838,2.502924122766102,0.0018457240638181105,0.0018457240638181105
N80_dt1,N80_dt0.0625_ref,4.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,4.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,4.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,5.0,surface,2.0,2.4922568864448165,2.4941589560896866,0.0019020696448701635,0.0019020696448701635
N80_dt1,N80_dt0.0625_ref,5.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,5.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,5.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,6.0,surface,2.0,2.484304854546116,2.486200725398265,0.0018958708521492618,0.0018958708521492618
N80_dt1,N80_dt0.0625_ref,6.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,6.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,6.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,7.0,surface,2.0,2.4770664250490118,2.478917801019735,0.001851375970723268,0.001851375970723268
N80_dt1,N80_dt0.0625_ref,7.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,7.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,7.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,8.0,surface,2.0,2.4704188619048315,2.4722037965405037,0.0017849346356721973,0.0017849346356721973
N80_dt1,N80_dt0.0625_ref,8.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,8.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,8.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,9.0,surface,2.0,2.464264955323347,2.465972355564802,0.0017074002414547707,0.0017074002414547707
N80_dt1,N80_dt0.0625_ref,9.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,9.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,9.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,10.0,surface,2.0,2.458527235820118,2.460153062337117,0.0016258265169990516,0.0016258265169990516
N80_dt1,N80_dt0.0625_ref,10.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,10.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,10.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,11.0,surface,2.0,2.453143565157002,2.454688226822515,0.0015446616655130363,0.0015446616655130363
N80_dt1,N80_dt0.0625_ref,11.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,11.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,11.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,12.0,surface,2.0,2.448063765921544,2.4495303514165734,0.0014665854950295376,0.0014665854950295376
N80_dt1,N80_dt0.0625_ref,12.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,12.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,12.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,13.0,surface,2.0,2.443247036539786,2.444640129962593,0.0013930934228070235,0.0013930934228070235
N80_dt1,N80_dt0.0625_ref,13.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,13.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,13.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,14.0,surface,2.0,2.4386599617811777,2.4399848632579175,0.0013249014767398037,0.0013249014767398037
N80_dt1,N80_dt0.0625_ref,14.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,14.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,14.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,15.0,surface,2.0,2.4342749759638767,2.435537201071411,0.001262225107534487,0.001262225107534487
N80_dt1,N80_dt0.0625_ref,15.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt1,N80_dt0.0625_ref,15.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,15.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,16.0,surface,2.0,2.4300691712759432,2.4312741406533087,0.0012049693773654724,0.0012049693773654724
N80_dt1,N80_dt0.0625_ref,16.0,r_1.5cm,1.5,2.550000000000001,2.5499999999999994,-1.7763568394002505e-15,1.7763568394002505e-15
