test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.0,surface,2.0,2.55,2.55,0.0,0.0
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.0,r_1.5cm,1.5,2.55,2.55,0.0,0.0
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.0,center,0.0,2.55,2.55,0.0,0.0
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.0625,surface,2.0,2.5480495471745344,2.549743941959212,0.0016943947846774776,0.0016943947846774776
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.0625,r_1.5cm,1.5,2.5499999999999994,2.55,4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.0625,r_1.0cm,1.0,2.55,2.55,0.0,0.0
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.0625,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.125,surface,2.0,2.546171803769424,2.549488065693671,0.003316261924247055,0.003316261924247055
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.125,r_1.5cm,1.5,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.125,r_1.0cm,1.0,2.55,2.55,0.0,0.0
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.125,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.1875,surface,2.0,2.544362734677498,2.5492323710196185,0.004869636342120565,0.004869636342120565
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.1875,r_1.5cm,1.5,2.5499999999999985,2.55,1.3322676295501878e-15,1.3322676295501878e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.1875,r_1.0cm,1.0,2.55,2.55,0.0,0.0
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.1875,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.25,surface,2.0,2.5426185539868604,2.5489768577535035,0.006358303766643036,0.006358303766643036
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.25,r_1.5cm,1.5,2.549999999999998,2.55,1.7763568394002505e-15,1.7763568394002505e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.25,r_1.0cm,1.0,2.5499999999999994,2.55,4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.25,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
