time_s,step_dt_s,C_inf,D_surface,robin_flux,literal_one_sided_diffusive_flux,literal_diffusive_minus_robin,face_diffusive_flux,face_diffusive_minus_robin,surface_control_volume_balance,picard_iterations,picard_final_normalized_residual,temperature_matrix_residual_linf,moisture_matrix_residual_linf,time_step_residual_normalized,time_alignment_error_s
0.0,0.0,0.01963,4.937655094173937e-09,2.0242959999999997e-06,0.0,-2.0242959999999997e-06,0.0,-2.0242959999999997e-06,0.0,0,0.0,0.0,0.0,0.0,0.0
0.0625,0.0625,0.019630406250000003,4.93697562601198e-09,2.0234916170012106e-06,1.9750419290921806e-08,-2.0037411977102886e-06,1.975177171565276e-08,-2.0037398452855577e-06,2.764106734907197e-20,2,2.629678609942928e-10,1.1368683772161603e-13,4.440892098500626e-16,3.7750900475373713e-16,0.0
0.125,0.0625,0.0196308125,4.936302547283083e-09,2.022695310717757e-06,3.9200410833066637e-08,-1.9834948998846903e-06,3.9205741744344265e-08,-1.983489568973413e-06,4.95051053000736e-20,2,5.196272170718761e-10,1.1368683772161603e-13,4.440892098500626e-16,3.7750899914873347e-16,0.0
0.1875,0.0625,0.019631218750000002,4.935635769238121e-09,2.0219069611829238e-06,5.835503816627958e-08,-1.963551923016644e-06,5.8366858640631165e-08,-1.9635401025422924e-06,6.602224777153246e-20,2,7.701222666114778e-10,1.1368683772161603e-13,4.440892098500626e-16,3.7750899150435427e-16,0.0
0.25,0.0625,0.019631625000000003,4.9349752044436295e-09,2.021126450416029e-06,7.721927410632854e-08,-1.9439071763097006e-06,7.723998437975318e-08,-1.943886466036276e-06,1.4558378780933287e-19,2,1.0145942473970932e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750898213633925e-16,0.0
0.3125,0.0625,0.01963203125,4.934320766763005e-09,2.0203536623877446e-06,9.579800245196989e-08,-1.924555659935775e-06,9.582989592279575e-08,-1.9245237664649486e-06,2.200697476085079e-19,2,1.253182133228511e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750897127421293e-16,0.0
0.375,0.0625,0.019632437500000002,4.933672371337926e-09,2.019588482986035e-06,1.1409601965805522e-07,-1.9054924633279797e-06,1.1414128675268804e-07,-1.9054471962333469e-06,2.8974482496507453e-19,2,1.4860219373107866e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750895908879016e-16,0.0
0.4375,0.0625,0.01963284375,4.933029934569991e-09,2.0188307999827213e-06,1.3211803647580304e-07,-1.8867127635069182e-06,1.3217876838199856e-07,-1.8866520316007228e-06,4.043126485261191e-19,2,1.7132446224226686e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775089457102717e-16,0.0
0.5,0.0625,0.01963325,4.932393374102586e-09,2.018080503000641e-06,1.4986867956067062e-07,-1.8682118234399705e-06,1.499468718328062e-07,-1.868133631167835e-06,5.203296925203565e-19,2,1.934980628885011e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775089312402756e-16,0.0
0.5625,0.0625,0.019633656250000003,4.93176260880295e-09,2.0173374834814017e-06,1.6735249304864898e-07,-1.8499849904327528e-06,1.674500490893197e-07,-1.849887434392082e-06,6.464184876530396e-19,2,2.151356565660778e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750891575993347e-16,0.0
0.625,0.0625,0.0196340625,4.931137558744481e-09,2.016601634653717e-06,1.845739401015103e-07,-1.8320276945522065e-06,1.8469267452362754e-07,-1.8319089601300893e-06,7.550703154731049e-19,2,2.362495732812941e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775088993354093e-16,0.0
0.6875,0.0625,0.019634468750000002,4.930518145189244e-09,2.0158728515023138e-06,2.0153740442170686e-07,-1.814335447080607e-06,2.016790462951367e-07,-1.814193805207177e-06,9.277790099292767e-19,2,2.5685182956571058e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750888202171575e-16,0.0
0.75,0.0625,0.019634875000000003,4.929904290570699e-09,2.0151510307373954e-06,2.1824719173767616e-07,-1.7969038389997192e-06,2.1841338772431946e-07,-1.7967376430130758e-06,1.0655872999806111e-18,2,2.769543897050985e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775088638653935e-16,0.0
0.8125,0.0625,0.01963528125,4.929295918476644e-09,2.0144360707646593e-06,2.3470753125981254e-07,-1.7797285395048468e-06,2.3489984864089477e-07,-1.7795362221237646e-06,1.2429215884221794e-18,2,2.9656869552733515e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750884490642266e-16,0.0
0.875,0.0625,0.019635687500000002,4.928692953632369e-09,2.0137278716558507e-06,2.509225771081657e-07,-1.762805294547685e-06,2.511425067073798e-07,-1.7625853649484708e-06,1.3928464200861905e-18,2,3.1570608436871918e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750882517960944e-16,0.0
0.9375,0.0625,0.01963609375,4.928095321884028e-09,2.01302633511985e-06,2.6689640971205516e-07,-1.7461299254077948e-06,2.671453687180761e-07,-1.7458809664017738e-06,1.5798024734129756e-18,2,3.3437754526028636e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750880471560895e-16,0.0
1.0,0.0625,0.0196365,4.927502950182211e-09,2.0123313644742737e-06,2.8263303718240763e-07,-1.729698327291866e-06,2.8291237187417877e-07,-1.7294189926000949e-06,1.7832094947622154e-18,2,3.5259387566517823e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750878354169267e-16,0.0
1.0625,0.0625,0.019636906250000002,4.9269157665657415e-09,2.0116428646175903e-06,2.981363966573727e-07,-1.7135064679602178e-06,2.9844738503545084e-07,-1.7131954795821395e-06,1.9800983328845372e-18,2,3.7036564664811544e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775087616823336e-16,0.0
1.125,0.0625,0.0196373125,4.9263337001456634e-09,2.0109607420017377e-06,3.1341035562152606e-07,-1.6975503863802116e-06,3.137542099486584e-07,-1.6972065320530793e-06,2.150623270523569e-18,2,3.877030983838193e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750873915966047e-16,0.0
1.1875,0.0625,0.01963771875,4.925756681089451e-09,2.0102849046052295e-06,3.284587131995486e-07,-1.6818261914056809e-06,3.28836582453551e-07,-1.6814483221516785e-06,2.3678607517146953e-18,2,4.0461631430964286e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750871599381405e-16,0.0
1.25,0.0625,0.019638125000000003,4.925184640605417e-09,2.0096152619067424e-06,3.432852014247083e-07,-1.666330060482034e-06,3.4369817366660813e-07,-1.6659170882401342e-06,2.559925472504608e-18,2,4.211150992187291e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750869220323243e-16,0.0
1.3125,0.0625,0.01963853125,4.924617510927324e-09,2.0089517248591853e-06,3.5789348648258795e-07,-1.6510582383765973e-06,3.5834259114289625e-07,-1.650609133716289e-06,2.7875854294139024e-18,2,4.372090663363265e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775086678048811e-16,0.0
1.375,0.0625,0.019638937500000002,4.924055225299198e-09,2.008294205864222e-06,3.7228716993074575e-07,-1.6360070359334764e-06,3.7277338001662683e-07,-1.6355208258475953e-06,3.0158012516948325e-18,2,4.5290761990452606e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750864281444177e-16,0.0
1.4375,0.0625,0.019639343750000003,4.9234977179603455e-09,2.0076426187472604e-06,3.8646978989478826e-07,-1.6211728288524721e-06,3.869940241208012e-07,-1.6206485946264593e-06,3.239358392765864e-18,2,4.682198681059455e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750861724646804e-16,0.0
1.5,0.0625,0.01963975,4.922944924130572e-09,2.0069968787328837e-06,4.0044482224101944e-07,-1.6065520564918643e-06,4.0100794708601475e-07,-1.605988931646869e-06,3.4649140021968236e-18,2,4.831547972163604e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750859111451605e-16,0.0
1.5625,0.0625,0.019640156250000002,4.922396779995586e-09,2.0063569024207227e-06,4.1421568172674163e-07,-1.592141220693981e-06,4.148185134194129e-07,-1.5915383890013097e-06,3.689073330753794e-18,2,4.977211671131262e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750856443125437e-16,0.0
1.625,0.0625,0.0196405625,4.921853222692615e-09,2.005722607761764e-06,4.2778572312793696e-07,-1.5779368846338268e-06,4.2842902956343774e-07,-1.5772935781983261e-06,3.9326482426486084e-18,2,5.119275286904401e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750853720855747e-16,0.0
1.6875,0.0625,0.01964096875,4.9213141902962035e-09,2.005093914035074e-06,4.411582423454953e-07,-1.563935671689579e-06,4.4184274493545566e-07,-1.5632511690996184e-06,4.16743518771566e-18,2,5.25782206444079e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750850945758626e-16,0.0
1.75,0.0625,0.019641375000000003,4.920779621804209e-09,2.0044707418249484e-06,4.5433647748981523e-07,-1.5501342643351332e-06,4.550628529480093e-07,-1.549407888876939e-06,4.441774600952547e-18,2,5.392933158866622e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750848118885674e-16,0.0
1.8125,0.0625,0.01964178125,4.9202494571239835e-09,2.003853012998459e-06,4.6732360994472813e-07,-1.5365294030537308e-06,4.6809249201057165e-07,-1.5357605209878872e-06,4.673405024802096e-18,2,5.524689202850194e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775084524123005e-16,0.0
1.875,0.0625,0.0196421875,4.919723637058754e-09,2.003240650683413e-06,4.801227654107766e-07,-1.5231178852726362e-06,4.80934746512758e-07,-1.5223059041706547e-06,4.907622869607711e-18,2,5.653167694312442e-09,1.1368683772161603e-13,8.881784197001252e-16,3.77508423137317e-16,0.0
1.9375,0.0625,0.019642593750000003,4.919202103294181e-09,2.002633579246699e-06,4.927370149284238e-07,-1.5098965643182751e-06,4.935926477895014e-07,-1.5090409314571973e-06,5.162480525057749e-18,2,5.778444215495354e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775083933728197e-16,0.0
2.0,0.0625,0.019643,4.918684798385099e-09,2.0020317242730203e-06,5.051693758816904e-07,-1.4968623483913299e-06,5.060691750686224e-07,-1.4959625492043979e-06,5.419171212745204e-18,2,5.900592955419872e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750836312727675e-16,0.0
2.0625,0.0625,0.019643406250000002,4.918171665742455e-09,2.001435012544007e-06,5.174228129823997e-07,-1.4840121995616072e-06,5.183672564009029e-07,-1.4830677561431039e-06,5.666676886910871e-18,2,6.019686884038516e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775083324087467e-16,0.0
2.125,0.0625,0.0196438125,4.917662649620416e-09,2.000843372017704e-06,5.295002392356334e-07,-1.4713431327820706e-06,5.304897695732093e-07,-1.4703536024444947e-06,5.9189669737395444e-18,2,6.135796533166966e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750830122491097e-16,0.0
