time_s,position_label,radius_cm,C_ref_surface,C_test_surface,signed_error,absolute_error
1.0,near_surface_1.9cm,1.9,2.549999999999999,2.5499999999999994,4.440892098500626e-16,4.440892098500626e-16
1.0,surface,2.0,2.518079446252704,2.5183874089353306,0.0003079626826267834,0.0003079626826267834
2.0,near_surface_1.9cm,1.9,2.5499999999963148,2.549999999990964,-5.3508308894834045e-12,5.3508308894834045e-12
2.0,surface,2.0,2.504740869425713,2.504949930860736,0.00020906143502275043,0.00020906143502275043
3.0,near_surface_1.9cm,1.9,2.5499999991800215,2.549999998679623,-5.00398389391421e-10,5.00398389391421e-10
3.0,surface,2.0,2.4945932336928136,2.4947607689355946,0.00016753524278101395,0.00016753524278101395
4.0,near_surface_1.9cm,1.9,2.54999997553422,2.5499999679150145,-7.619205710795995e-09,7.619205710795995e-09
4.0,surface,2.0,2.486085475464935,2.486228727544154,0.00014325207921883631,0.00014325207921883631
5.0,near_surface_1.9cm,1.9,2.549999751264429,2.549999706911953,-4.435247591416669e-08,4.435247591416669e-08
5.0,surface,2.0,2.478622348262651,2.47874919747325,0.00012684921059902265,0.00012684921059902265
6.0,near_surface_1.9cm,1.9,2.549998664051853,2.54999851660066,-1.474511930332767e-07,1.474511930332767e-07
6.0,surface,2.0,2.4718998668877985,2.4720146861402577,0.00011481925245915292,0.00011481925245915292
7.0,near_surface_1.9cm,1.9,2.5499952218129724,2.549994876203743,-3.456092292353219e-07,3.456092292353219e-07
7.0,surface,2.0,2.4657379049660375,2.4658434167861483,0.00010551182011075966,0.00010551182011075966
8.0,near_surface_1.9cm,1.9,2.549987005112943,2.549986361553574,-6.4355936935101e-07,6.4355936935101e-07
8.0,surface,2.0,2.460019298849946,2.4601173335435496,9.803469360347705e-05,9.803469360347705e-05
9.0,near_surface_1.9cm,1.9,2.5499708597749797,2.549969836795175,-1.0229798048655425e-06,1.0229798048655425e-06
9.0,surface,2.0,2.454662766155756,2.4547546238982156,9.18577424595668e-05,9.18577424595668e-05
10.0,near_surface_1.9cm,1.9,2.549943241919477,2.549941789356656,-1.4525628211359276e-06,1.4525628211359276e-06
10.0,surface,2.0,2.449609180974923,2.4496958245233014,8.664354837817356e-05,8.664354837817356e-05
11.0,near_surface_1.9cm,1.9,2.549900567597625,2.5498986693420536,-1.8982555713975557e-06,1.8982555713975557e-06
11.0,surface,2.0,2.4448139410334893,2.4448961068144626,8.216578097330896e-05,8.216578097330896e-05
12.0,near_surface_1.9cm,1.9,2.549839485305504,2.5498371553957138,-2.3299097904327937e-06,2.3299097904327937e-06
12.0,surface,2.0,2.440242415682009,2.440320681887778,7.826620576922849e-05,7.826620576922849e-05
13.0,near_surface_1.9cm,1.9,2.5497570500570537,2.5497543257921236,-2.7242649300873722e-06,2.7242649300873722e-06
13.0,surface,2.0,2.4358670788215906,2.435941909243967,7.483042237632631e-05,7.483042237632631e-05
14.0,near_surface_1.9cm,1.9,2.5496508104467734,2.5496477450014163,-3.0654453571088425e-06,3.0654453571088425e-06
14.0,surface,2.0,2.4316656219283264,2.431737395323107,7.177339478081635e-05,7.177339478081635e-05
15.0,near_surface_1.9cm,1.9,2.5495188312762735,2.5495154871281835,-3.3441480900009424e-06,3.3441480900009424e-06
15.0,surface,2.0,2.4276196663600094,2.4276886967815914,6.9030421582017e-05,6.9030421582017e-05
16.0,near_surface_1.9cm,1.9,2.549359674107495,2.549356117778932,-3.5563285631923236e-06,3.5563285631923236e-06
16.0,surface,2.0,2.42371385754581,2.423780408829173,6.655128336285898e-05,6.655128336285898e-05
17.0,near_surface_1.9cm,1.9,2.5491723536140327,2.549168651776035,-3.701837997915902e-06,3.701837997915902e-06
17.0,surface,2.0,2.4199352111373775,2.4199995074627454,6.4296325367863e-05,6.4296325367863e-05
18.0,near_surface_1.9cm,1.9,2.5489562824387617,2.5489524992152837,-3.783223478048825e-06,3.783223478048825e-06
18.0,surface,2.0,2.416272630414746,2.4163348641767035,6.223376195757524e-05,6.223376195757524e-05
19.0,near_surface_1.9cm,1.9,2.548711212862742,2.5487074081014742,-3.8047612678226983e-06,3.8047612678226983e-06
19.0,surface,2.0,2.412716543121301,2.412776880897881,6.03377765799884e-05,6.03377765799884e-05
20.0,near_surface_1.9cm,1.9,2.5484371802971895,2.548433408574495,-3.771722694612123e-06,3.771722694612123e-06
20.0,surface,2.0,2.4092586234763784,2.409317210630394,5.858715401574344e-05,5.858715401574344e-05
21.0,near_surface_1.9cm,1.9,2.548134451333962,2.5481307614922044,-3.6898417574704467e-06,3.6898417574704467e-06
21.0,surface,2.0,2.4058915761512583,2.4059485404283145,5.6964277056259505e-05,5.6964277056259505e-05
22.0,near_surface_1.9cm,1.9,2.5478034776061493,2.547799912661306,-3.5649448433261455e-06,3.5649448433261455e-06
22.0,surface,2.0,2.402608966120105,2.4026644204983727,5.545437826759425e-05,5.545437826759425e-05
23.0,near_surface_1.9cm,1.9,2.5474448557944247,2.5474414530898266,-3.40270459808778e-06,3.40270459808778e-06
23.0,surface,2.0,2.399405083012923,2.399459127986455,5.40449735320081e-05,5.40449735320081e-05
24.0,near_surface_1.9cm,1.9,2.5470592935836334,2.5470560850981125,-3.208485520822535e-06,3.208485520822535e-06
24.0,surface,2.0,2.39627483178666,2.396327557214031,5.272542737078112e-05,5.272542737078112e-05
25.0,near_surface_1.9cm,1.9,2.546647581093241,2.5466445938378683,-2.9872553728438334e-06,2.9872553728438334e-06
25.0,surface,2.0,2.3932136437302924,2.393265130345615,5.148661532272669e-05,5.148661532272669e-05
26.0,near_surface_1.9cm,1.9,2.5462105671809674,2.54620782363841,-2.7435425575816907e-06,2.7435425575816907e-06
26.0,surface,2.0,2.3902174033643346,2.3902677240230497,5.032065871501956e-05,5.032065871501956e-05
27.0,near_surface_1.9cm,1.9,2.5457491399883163,2.5457466585636808,-2.481424635547569e-06,2.481424635547569e-06
27.0,surface,2.0,2.387282387897062,2.3873316086113,4.922071423818508e-05,4.922071423818508e-05
28.0,near_surface_1.9cm,1.9,2.54526421111933,2.545262006582088,-2.204537242089799e-06,2.204537242089799e-06
28.0,surface,2.0,2.3844052166978638,2.384453397503218,4.818080535429203e-05,4.818080535429203e-05
29.0,near_surface_1.9cm,1.9,2.5447567028938574,2.544754786798183,-1.916095674570073e-06,1.916095674570073e-06
29.0,surface,2.0,2.3815828088336084,2.3816300045197045,4.7195686096124234e-05,4.7195686096124234e-05
30.0,near_surface_1.9cm,1.9,2.544227538178344,2.544225919254555,-1.6189237888042385e-06,1.6189237888042385e-06
30.0,surface,2.0,2.3788123471490876,2.378858607879243,4.626073015545629e-05,4.626073015545629e-05
31.0,near_surface_1.9cm,1.9,2.5436776323613906,2.543676316874919,-1.315486471753502e-06,1.315486471753502e-06
31.0,surface,2.0,2.376091247699621,2.376136619539476,4.537183985497961e-05,4.537183985497961e-05
32.0,near_surface_1.9cm,1.9,2.543107887102881,2.54310687917963,-1.0079232510840086e-06,1.0079232510840086e-06
32.0,surface,2.0,2.3734171335922443,2.3734616589632003,4.4525370956005617e-05,4.4525370956005617e-05
33.0,near_surface_1.9cm,1.9,2.542519185541735,2.5425184874603666,-6.980813682666565e-07,6.980813682666565e-07
33.0,surface,2.0,2.3707878124824244,2.3708315305525702,4.371807014580398e-05,4.371807014580398e-05
34.0,near_surface_1.9cm,1.9,2.5419123886973645,2.5419120011499907,-3.875473737480206e-07,3.875473737480206e-07
34.0,surface,2.0,2.368201257120717,2.368244204143442,4.29470227247819e-05,4.29470227247819e-05
35.0,near_surface_1.9cm,1.9,2.5412883328433105,2.541288255166687,-7.767662335567138e-08,7.767662335567138e-08
35.0,surface,2.0,2.3656555884588477,2.365697798067475,4.22096086274415e-05,4.22096086274415e-05
36.0,near_surface_1.9cm,1.9,2.5406478276688107,2.540648058048421,2.303796104996536e-07,2.303796104996536e-07
36.0,surface,2.0,2.3631490609153625,2.3631905643805644,4.150346520193082e-05,4.150346520193082e-05
37.0,near_surface_1.9cm,1.9,2.5399916550756654,2.5399921907251444,5.356494789943156e-07,5.356494789943156e-07
37.0,surface,2.0,2.360680049472696,2.360720875928286,4.0826455590003974e-05,4.0826455590003974e-05
38.0,near_surface_1.9cm,1.9,2.539320568484343,2.5393214058027094,8.373183661980477e-07,8.373183661980477e-07
38.0,surface,2.0,2.3582470383349214,2.35828721497666,4.017664173838753e-05,4.017664173838753e-05
39.0,near_surface_1.9cm,1.9,2.538635292545604,2.538636427254628,1.1347090240754198e-06,1.1347090240754198e-06
39.0,surface,2.0,2.35584861092148,2.3558881631827178,3.955226123775191e-05,3.955226123775191e-05
40.0,near_surface_1.9cm,1.9,2.5379365231724105,2.5379379504363153,1.4272639048407143e-06,1.4272639048407143e-06
40.0,surface,2.0,2.353483441009486,2.3535223927168554,3.895170736933906e-05,3.895170736933906e-05
41.0,near_surface_1.9cm,1.9,2.5372249278223875,2.5372266423518908,1.7145295032605645e-06,1.7145295032605645e-06
41.0,surface,2.0,2.3511502848674115,2.3511886583792863,3.837351187474525e-05,3.837351187474525e-05
42.0,near_surface_1.9cm,1.9,2.536501145973815,2.536503142116357,1.9961425419268153e-06,1.9961425419268153e-06
42.0,surface,2.0,2.348847974247897,2.34888579057788,3.781632998300921e-05,3.781632998300921e-05
43.0,near_surface_1.9cm,1.9,2.535765789748731,2.535768061566532,2.2718178009917267e-06,2.2718178009917267e-06
43.0,surface,2.0,2.3465754101276572,2.3466126890550347,3.727892737748206e-05,3.727892737748206e-05
44.0,near_surface_1.9cm,1.9,2.5350194446453944,2.535021985982832,2.541337437378388e-06,2.541337437378388e-06
44.0,surface,2.0,2.344331557099428,2.3443683172682226,3.676016879472499e-05,3.676016879472499e-05
45.0,near_surface_1.9cm,1.9,2.5342626703495874,2.534265474891203,2.8045416153865688e-06,2.8045416153865688e-06
45.0,surface,2.0,2.342115438334782,2.3421516973428336,3.6259008051597874e-05,3.6259008051597874e-05
46.0,near_surface_1.9cm,1.9,2.5334960016000916,2.533499062920411,3.061320319464045e-06,3.061320319464045e-06
46.0,surface,2.0,2.3399261310483945,2.3399619055276406,3.5774479246075686e-05,3.5774479246075686e-05
47.0,near_surface_1.9cm,1.9,2.5327199490885492,2.532723260694735,3.311606185718574e-06,3.311606185718574e-06
47.0,surface,2.0,2.3377627624040414,2.3377980680930563,3.53056890149972e-05,3.53056890149972e-05
48.0,near_surface_1.9cm,1.9,2.5319350003779095,2.531938555746164,3.555368254470892e-06,3.555368254470892e-06
48.0,surface,2.0,2.3356245058108756,2.335659357620556,3.485180968043622e-05,3.485180968043622e-05
49.0,near_surface_1.9cm,1.9,2.5311416208269013,2.531145413433425,3.7926065235005524e-06,3.7926065235005524e-06
49.0,surface,2.0,2.333510577565449,2.333544989638619,3.4412073169676205e-05,3.4412073169676205e-05
50.0,near_surface_1.9cm,1.9,2.53034025451067,2.5303442778578784,4.023347208281791e-06,4.023347208281791e-06
50.0,surface,2.0,2.331420233800842,2.331454219566448,3.39857656062037e-05,3.39857656062037e-05
51.0,near_surface_1.9cm,1.9,2.5295313251298865,2.5295355727684905,4.247638603960269e-06,4.247638603960269e-06
51.0,surface,2.0,2.329352767709229,2.3293863399317285,3.3572222499334003e-05,3.3572222499334003e-05
52.0,near_surface_1.9cm,1.9,2.528715236902399,2.5287197024499126,4.465547513543555e-06,4.465547513543555e-06
52.0,surface,2.0,2.327307507008558,2.327340677832989,3.317082443077268e-05,3.317082443077268e-05
53.0,near_surface_1.9cm,1.9,2.5278923754329985,2.5278970525891302,4.677156131727145e-06,4.677156131727145e-06
53.0,surface,2.0,2.325283811627581,2.3253165926207844,3.278099320347394e-05,3.278099320347394e-05
54.0,near_surface_1.9cm,1.9,2.5270631085579964,2.5270679911173333,4.8825593368384546e-06,4.8825593368384546e-06
54.0,surface,2.0,2.323281071586679,2.323313473775068,3.240218838884701e-05,3.240218838884701e-05
55.0,near_surface_1.9cm,1.9,2.526227787162272,2.5262328690246365,5.0818623646975425e-06,5.0818623646975425e-06
55.0,surface,2.0,2.3212987050546356,2.3213307389588413,3.2033904205697183e-05,3.2033904205697183e-05
56.0,near_surface_1.9cm,1.9,2.5253867459672454,2.525392021146026,5.275178780461687e-06,5.275178780461687e-06
56.0,surface,2.0,2.3193361565638004,2.319367832230518,3.167566671757882e-05,3.167566671757882e-05
57.0,near_surface_1.9cm,1.9,2.524540304288806,2.5245457669175413,5.4626287351311476e-06,5.4626287351311476e-06
57.0,surface,2.0,2.3173928953681537,2.3174242223994597,3.132703130592773e-05,3.132703130592773e-05
58.0,near_surface_1.9cm,1.9,2.523688766764754,2.5236944111022184,5.644337464527638e-06,5.644337464527638e-06
58.0,surface,2.0,2.3154684139305473,2.315499401510921,3.098758037367588e-05,3.098758037367588e-05
59.0,near_surface_1.9cm,1.9,2.5228324240516815,2.522838244485663,5.8204339814516e-06,5.8204339814516e-06
59.0,surface,2.0,2.3135622265268827,2.3135928834481665,3.0656921283789274e-05,3.0656921283789274e-05
60.0,near_surface_1.9cm,1.9,2.521971553491518,2.5219775445414907,5.9910499725646105e-06,5.9910499725646105e-06
60.0,surface,2.0,2.311673867956406,2.311704202640863,3.0334684456789773e-05,3.0334684456789773e-05
61.0,near_surface_1.9cm,1.9,2.521106419748222,2.5211125760670616,6.156318839600772e-06,6.156318839600772e-06
61.0,surface,2.0,2.309802909925075,2.3098329299681226,3.0020043047418454e-05,3.0020043047418454e-05
62.0,near_surface_1.9cm,1.9,2.520237275415263,2.520243591790155,6.316374892012533e-06,6.316374892012533e-06
62.0,surface,2.0,2.3079489213245656,2.3079786347448037,2.9713420238053345e-05,2.9713420238053345e-05
63.0,near_surface_1.9cm,1.9,2.519364361594711,2.519370832947353,6.471352642201111e-06,6.471352642201111e-06
63.0,surface,2.0,2.3061114867850208,2.3061409010692118,2.9414284191009443e-05,2.9414284191009443e-05
64.0,near_surface_1.9cm,1.9,2.518487908448784,2.518494529835007,6.62138622287145e-06,6.62138622287145e-06
64.0,surface,2.0,2.3042902103203002,2.3043193326368594,2.912231655916031e-05,2.912231655916031e-05
65.0,near_surface_1.9cm,1.9,2.5176081357248745,2.5176149023337806,6.766608906083604e-06,6.766608906083604e-06
