time_s,position_label,radius_cm,C_ref_surface,C_test_surface,signed_error,absolute_error
15.0,near_surface_1.9cm,1.9,2.5495188312762735,2.5495154871281835,-3.3441480900009424e-06,3.3441480900009424e-06
15.0,surface,2.0,2.4276196663600094,2.4276886967815914,6.9030421582017e-05,6.9030421582017e-05
16.0,near_surface_1.9cm,1.9,2.549359674107495,2.549356117778932,-3.5563285631923236e-06,3.5563285631923236e-06
16.0,surface,2.0,2.42371385754581,2.423780408829173,6.655128336285898e-05,6.655128336285898e-05
17.0,near_surface_1.9cm,1.9,2.5491723536140327,2.549168651776035,-3.701837997915902e-06,3.701837997915902e-06
17.0,surface,2.0,2.4199352111373775,2.4199995074627454,6.4296325367863e-05,6.4296325367863e-05
18.0,near_surface_1.9cm,1.9,2.5489562824387617,2.5489524992152837,-3.783223478048825e-06,3.783223478048825e-06
18.0,surface,2.0,2.416272630414746,2.4163348641767035,6.223376195757524e-05,6.223376195757524e-05
19.0,near_surface_1.9cm,1.9,2.548711212862742,2.5487074081014742,-3.8047612678226983e-06,3.8047612678226983e-06
19.0,surface,2.0,2.412716543121301,2.412776880897881,6.03377765799884e-05,6.03377765799884e-05
20.0,near_surface_1.9cm,1.9,2.5484371802971895,2.548433408574495,-3.771722694612123e-06,3.771722694612123e-06
20.0,surface,2.0,2.4092586234763784,2.409317210630394,5.858715401574344e-05,5.858715401574344e-05
21.0,near_surface_1.9cm,1.9,2.548134451333962,2.5481307614922044,-3.6898417574704467e-06,3.6898417574704467e-06
21.0,surface,2.0,2.4058915761512583,2.4059485404283145,5.6964277056259505e-05,5.6964277056259505e-05
22.0,near_surface_1.9cm,1.9,2.5478034776061493,2.547799912661306,-3.5649448433261455e-06,3.5649448433261455e-06
22.0,surface,2.0,2.402608966120105,2.4026644204983727,5.545437826759425e-05,5.545437826759425e-05
23.0,near_surface_1.9cm,1.9,2.5474448557944247,2.5474414530898266,-3.40270459808778e-06,3.40270459808778e-06
23.0,surface,2.0,2.399405083012923,2.399459127986455,5.40449735320081e-05,5.40449735320081e-05
24.0,near_surface_1.9cm,1.9,2.5470592935836334,2.5470560850981125,-3.208485520822535e-06,3.208485520822535e-06
24.0,surface,2.0,2.39627483178666,2.396327557214031,5.272542737078112e-05,5.272542737078112e-05
25.0,near_surface_1.9cm,1.9,2.546647581093241,2.5466445938378683,-2.9872553728438334e-06,2.9872553728438334e-06
25.0,surface,2.0,2.3932136437302924,2.393265130345615,5.148661532272669e-05,5.148661532272669e-05
26.0,near_surface_1.9cm,1.9,2.5462105671809674,2.54620782363841,-2.7435425575816907e-06,2.7435425575816907e-06
26.0,surface,2.0,2.3902174033643346,2.3902677240230497,5.032065871501956e-05,5.032065871501956e-05
27.0,near_surface_1.9cm,1.9,2.5457491399883163,2.5457466585636808,-2.481424635547569e-06,2.481424635547569e-06
27.0,surface,2.0,2.387282387897062,2.3873316086113,4.922071423818508e-05,4.922071423818508e-05
28.0,near_surface_1.9cm,1.9,2.54526421111933,2.545262006582088,-2.204537242089799e-06,2.204537242089799e-06
28.0,surface,2.0,2.3844052166978638,2.384453397503218,4.818080535429203e-05,4.818080535429203e-05
29.0,near_surface_1.9cm,1.9,2.5447567028938574,2.544754786798183,-1.916095674570073e-06,1.916095674570073e-06
29.0,surface,2.0,2.3815828088336084,2.3816300045197045,4.7195686096124234e-05,4.7195686096124234e-05
30.0,near_surface_1.9cm,1.9,2.544227538178344,2.544225919254555,-1.6189237888042385e-06,1.6189237888042385e-06
30.0,surface,2.0,2.3788123471490876,2.378858607879243,4.626073015545629e-05,4.626073015545629e-05
31.0,near_surface_1.9cm,1.9,2.5436776323613906,2.543676316874919,-1.315486471753502e-06,1.315486471753502e-06
31.0,surface,2.0,2.376091247699621,2.376136619539476,4.537183985497961e-05,4.537183985497961e-05
32.0,near_surface_1.9cm,1.9,2.543107887102881,2.54310687917963,-1.0079232510840086e-06,1.0079232510840086e-06
32.0,surface,2.0,2.3734171335922443,2.3734616589632003,4.4525370956005617e-05,4.4525370956005617e-05
33.0,near_surface_1.9cm,1.9,2.542519185541735,2.5425184874603666,-6.980813682666565e-07,6.980813682666565e-07
33.0,surface,2.0,2.3707878124824244,2.3708315305525702,4.371807014580398e-05,4.371807014580398e-05
34.0,near_surface_1.9cm,1.9,2.5419123886973645,2.5419120011499907,-3.875473737480206e-07,3.875473737480206e-07
34.0,surface,2.0,2.368201257120717,2.368244204143442,4.29470227247819e-05,4.29470227247819e-05
35.0,near_surface_1.9cm,1.9,2.5412883328433105,2.541288255166687,-7.767662335567138e-08,7.767662335567138e-08
35.0,surface,2.0,2.3656555884588477,2.365697798067475,4.22096086274415e-05,4.22096086274415e-05
36.0,near_surface_1.9cm,1.9,2.5406478276688107,2.540648058048421,2.303796104996536e-07,2.303796104996536e-07
36.0,surface,2.0,2.3631490609153625,2.3631905643805644,4.150346520193082e-05,4.150346520193082e-05
37.0,near_surface_1.9cm,1.9,2.5399916550756654,2.5399921907251444,5.356494789943156e-07,5.356494789943156e-07
37.0,surface,2.0,2.360680049472696,2.360720875928286,4.0826455590003974e-05,4.0826455590003974e-05
38.0,near_surface_1.9cm,1.9,2.539320568484343,2.5393214058027094,8.373183661980477e-07,8.373183661980477e-07
38.0,surface,2.0,2.3582470383349214,2.35828721497666,4.017664173838753e-05,4.017664173838753e-05
39.0,near_surface_1.9cm,1.9,2.538635292545604,2.538636427254628,1.1347090240754198e-06,1.1347090240754198e-06
39.0,surface,2.0,2.35584861092148,2.3558881631827178,3.955226123775191e-05,3.955226123775191e-05
40.0,near_surface_1.9cm,1.9,2.5379365231724105,2.5379379504363153,1.4272639048407143e-06,1.4272639048407143e-06
40.0,surface,2.0,2.353483441009486,2.3535223927168554,3.895170736933906e-05,3.895170736933906e-05
41.0,near_surface_1.9cm,1.9,2.5372249278223875,2.5372266423518908,1.7145295032605645e-06,1.7145295032605645e-06
41.0,surface,2.0,2.3511502848674115,2.3511886583792863,3.837351187474525e-05,3.837351187474525e-05
42.0,near_surface_1.9cm,1.9,2.536501145973815,2.536503142116357,1.9961425419268153e-06,1.9961425419268153e-06
42.0,surface,2.0,2.348847974247897,2.34888579057788,3.781632998300921e-05,3.781632998300921e-05
43.0,near_surface_1.9cm,1.9,2.535765789748731,2.535768061566532,2.2718178009917267e-06,2.2718178009917267e-06
43.0,surface,2.0,2.3465754101276572,2.3466126890550347,3.727892737748206e-05,3.727892737748206e-05
44.0,near_surface_1.9cm,1.9,2.5350194446453944,2.535021985982832,2.541337437378388e-06,2.541337437378388e-06
44.0,surface,2.0,2.344331557099428,2.3443683172682226,3.676016879472499e-05,3.676016879472499e-05
45.0,near_surface_1.9cm,1.9,2.5342626703495874,2.534265474891203,2.8045416153865688e-06,2.8045416153865688e-06
45.0,surface,2.0,2.342115438334782,2.3421516973428336,3.6259008051597874e-05,3.6259008051597874e-05
