time_s,radius_cm,grid_radius_cm,temperature_K,temperature_C,moisture_kg_kg
0,0,0.0,301.15,28.0,2.55
0,0.5,0.5,301.15,28.0,2.55
0,1,1.0,301.15,28.0,2.55
0,1.5,1.5,301.15,28.0,2.55
0,2,2.0,301.15,28.0,2.55
15,0,0.0,301.1500000000009,28.00000000000091,2.5499999999999976
15,0.5,0.5,301.1499999999995,27.999999999999545,2.549999999999997
15,1,1.0,301.1500000006809,28.000000000680927,2.549999999999997
15,1.5,1.5,301.1500159785601,28.0000159785601,2.549999999999998
15,2,2.0,301.1574092816196,28.00740928161963,2.4356754386412702
30,0,0.0,301.1500000000009,28.00000000000091,2.5499999999999976
30,0.5,0.5,301.1500000004659,28.000000000465946,2.549999999999986
30,1,1.0,301.15000121314677,28.00000121314679,2.5499999999999887
30,1.5,1.5,301.15042109781496,28.00042109781498,2.549999999999989
30,2,2.0,301.1707755183962,28.02077551839625,2.390040125397472
45,0,0.0,301.1500000004243,28.000000000424336,2.5499999999999963
45,0.5,0.5,301.1500000994658,28.000000099465808,2.5499999999999727
45,1,1.0,301.1500262309245,28.000026230924504,2.549999999999987
45,1.5,1.5,301.15186122043247,28.001861220432488,2.549999999997212
45,2,2.0,301.18791651023224,28.037916510232264,2.355742895126144
60,0,0.0,301.1500000354698,28.00000003546984,2.549999999999996
60,0.5,0.5,301.15000197304175,28.000001973041776,2.5499999999999674
60,1,1.0,301.1501532820115,28.000153282011524,2.5499999999999763
60,1.5,1.5,301.1546795228837,28.004679522883748,2.549999999641456
60,2,2.0,301.20805587568583,28.058055875685852,2.327314731556515
