time_s,radius_cm,grid_radius_cm,temperature_K,temperature_C,moisture_kg_kg
1800,0,0.0,305.33923320504,32.18923320504001,2.5499330067350803
1800,0.5,0.5,305.5321019649194,32.3821019649194,2.548879262937084
1800,1,1.0,306.11592626947674,32.96592626947677,2.5255518054965242
1800,1.5,1.5,307.1107652828178,33.96076528281782,2.325726250914845
1800,2,2.0,308.5630094549228,35.413009454922815,1.64863692656023
3600,0,0.0,313.53156057221764,40.381560572217666,2.525715811592973
3600,0.5,0.5,313.7035617828753,40.553561782875306,2.494773450465063
3600,1,1.0,314.2104855581432,41.06048555814323,2.3578266823247906
3600,1.5,1.5,315.0282261378196,41.87822613781964,2.022979382251197
3600,2,2.0,316.147616584986,42.99761658498602,1.4711023702603765
5400,0,0.0,318.9967581395969,45.84675813959694,2.386052546657621
5400,0.5,0.5,319.08481101748487,45.93481101748489,2.3256322972035606
5400,1,1.0,319.34296246527157,46.19296246527159,2.134415515424011
5400,1.5,1.5,319.7550862494297,46.605086249429746,1.8020247510769067
5400,2,2.0,320.29006236334385,47.14006236334387,1.3475716335381294
7200,0,0.0,321.6002401295006,48.45024012950063,2.170853573310662
7200,0.5,0.5,321.63806587668387,48.48806587668389,2.108437141914989
7200,1,1.0,321.7484518887847,48.59845188878472,1.9236327927657833
7200,1.5,1.5,321.92355849270024,48.77355849270026,1.6259418265037853
7200,2,2.0,322.1533317722793,49.003331772279296,1.2310939621403485
9000,0,0.0,322.6169833911739,49.466983391173926,1.9566481152432742
9000,0.5,0.5,322.6292230687371,49.4792230687371,1.9006027888242047
9000,1,1.0,322.66365401821014,49.51365401821016,1.7359833746902154
9000,1.5,1.5,322.71533620700257,49.56533620700259,1.4719881119191935
9000,2,2.0,322.8109118525607,49.66091185256073,1.1166471835248428
10800,0,0.0,322.9994986454595,49.849498645459505,1.7661836561361628
10800,0.5,0.5,323.00534306312306,49.85534306312309,1.7165383741032354
10800,1,1.0,323.02461354553816,49.87461354553818,1.5702006109931101
10800,1.5,1.5,323.06014884462087,49.91014884462089,1.3332634431876575
10800,2,2.0,323.1164135852649,49.966413585264945,1.0081218264288043
