time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
1.0,be,28.0088,0.0196365,3,3.3975791366659795e-14,1.8819546357026053e-09,1.9472281564958394e-09,2.1183055309847987e-13,-0.21484208459963403,-0.21571395130735027,0.0008718667077162456,1.9619294850033233e-06,2.003121291341217e-06,-4.1191806337893566e-08,0.4821538556738987,5.63129122141916e-09,-3.196357378773851e-20,-2.550444763396127e-10,"{""D"": 5.63129122141916e-09, ""cp"": 3409.5077608520705, ""k"": 0.4821538556738987, ""rho"": 973.0128786145947}","{""D"": 5.641685860811361e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000001}","[[5.687434972719718e-07, 0.010370974028916456], [5.470223212846161e-10, 6.234215983360123e-06], [3.3975791366659795e-14, 1.8819546357026053e-09]]",301.1499999999997,301.1501714419477,2.523538114176521,2.5500000000000003,0.0,0.0
2.0,bdf2,28.0176,0.019643,3,8.701570912154404e-14,2.0466876994938566e-09,6.421032594516873e-10,3.3661962106634746e-13,-0.42852141383049186,-0.4298601988466544,0.0013387850161625248,1.9779750698670183e-06,1.991418105284008e-06,-1.3443035416989758e-08,0.48170443524565887,5.625497621586407e-09,6.256224489789356e-08,-0.013504456841020016,"{""D"": 5.625497621586407e-09, ""cp"": 3406.271933768744, ""k"": 0.48170443524565887, ""rho"": 971.1412008454413}","{""D"": 5.6416956104226e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000001}","[[7.768077828729161e-07, 0.005729153192695633], [7.109189097858258e-10, 5.151651405248447e-06], [8.701570912154404e-14, 2.0466876994938566e-09]]",301.14999999999964,301.1504055920461,2.50891563160501,2.5500000000000007,0.0,0.0
3.0,bdf2,28.0264,0.0196495,3,8.701562282704721e-14,1.9647454034081107e-09,6.853042577859014e-10,3.419486915845482e-13,-0.6407370201976565,-0.6423938319244371,0.0016568117267805604,1.970991286540116e-06,1.9832697890805263e-06,-1.2278502540410429e-08,0.48138937032560003,5.621460149725672e-09,6.230625799463927e-08,-0.02018139798513958,"{""D"": 5.621460149725672e-09, ""cp"": 3404.0034663443203, ""k"": 0.48138937032560003, ""rho"": 969.8383022528842}","{""D"": 5.641709750753729e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000001}","[[9.908400141346283e-07, 0.0039890129320112495], [8.715998193407893e-10, 4.228098357180153e-06], [8.701562282704721e-14, 1.9647454034081107e-09]]",301.1499999999997,301.150704246723,2.498736736350658,2.550000000000001,0.0,0.0
4.0,bdf2,28.0352,0.019656,3,1.3024014954649502e-13,1.8298631455398232e-09,8.62200977280736e-10,1.3100631690576847e-13,-0.8516066756217264,-0.8535146897784784,0.0019080141567520137,1.9656663088034017e-06,1.976723471702345e-06,-1.1057162898943384e-08,0.48113495742047385,5.61822225976645e-09,6.210059936878169e-08,-0.02681395505371104,"{""D"": 5.61822225976645e-09, ""cp"": 3402.171693427412, ""k"": 0.48113495742047385, ""rho"": 968.7917234723752}","{""D"": 5.6417303187847574e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000002}","[[1.1783635889451088e-06, 0.0032041567556681015], [9.968543295522043e-10, 3.6344202704455295e-06], [1.3024014954649502e-13, 1.8298631455398232e-09]]",301.1499999999996,301.1510594124088,2.4905603396279314,2.5500000000000016,0.0,0.0
5.0,bdf2,28.044,0.019662500000000003,3,1.0891081944995013e-13,1.7198754838599426e-09,1.019998308038339e-09,3.042011087472929e-13,-1.0612872444237649,-1.063409206139454,0.0021219617156891246,1.961069289887e-06,1.9710714113810316e-06,-1.0002121494031835e-08,0.4809143655667415,5.615434218142717e-09,6.192303465699689e-08,-0.03340798607098006,"{""D"": 5.615434218142717e-09, ""cp"": 3400.583432080539, ""k"": 0.4809143655667415, ""rho"": 967.8882258209651}","{""D"": 5.6417533922256844e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000002}","[[1.341140283508692e-06, 0.0027660173493430215], [1.105602804169072e-09, 3.2563388790658307e-06], [1.0891081944995013e-13, 1.7198754838599426e-09]]",301.1499999999996,301.1514636317544,2.4835017642262898,2.5500000000000016,0.0,0.0
6.0,bdf2,28.0528,0.019669000000000002,3,1.8422322666319212e-13,1.6351298528679397e-09,1.405169314239174e-10,1.2656542480726785e-13,-1.2699071462907576,-1.2722184940116676,0.0023113477209100175,1.9568604543641113e-06,1.966008936072102e-06,-9.148481707990843e-09,0.4807160453551791,5.6129449044570065e-09,6.176399230452875e-08,-0.03996792263902393,"{""D"": 5.6129449044570065e-09, ""cp"": 3399.1555265572897, ""k"": 0.4807160453551791, ""rho"": 967.0790617715363}","{""D"": 5.641782326770345e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000002}","[[1.4851831923415497e-06, 0.0024774658955332503], [1.2042866742880276e-09, 2.9935921090166536e-06], [1.8422322666319212e-13, 1.6351298528679397e-09]]",301.14999999999964,301.1519112602395,2.477180170090128,2.5500000000000016,0.0,0.0
7.0,bdf2,28.0616,0.019675500000000002,3,1.6723515877005777e-13,1.567395625055295e-09,4.711182555183768e-10,2.509104035652854e-13,-1.4775646751914244,-1.4800474344099257,0.0024827592185012737,1.952919351061235e-06,1.961378422195726e-06,-8.459071134490915e-09,0.48053403204417344,5.61067600468761e-09,6.161852042076879e-08,-0.046497061618561604,"{""D"": 5.61067600468761e-09, ""cp"": 3397.845030718049, ""k"": 0.48053403204417344, ""rho"": 966.3390115513162}","{""D"": 5.6418141168465585e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000002}","[[1.6153025613641624e-06, 0.0022661227152223013], [1.2953386088007852e-09, 2.7951678291339113e-06], [1.6723515877005777e-13, 1.567395625055295e-09]]",301.14999999999935,301.1523981026236,2.4713985277446575,2.5500000000000016,0.0,0.0
8.0,bdf2,28.0704,0.019682,3,2.2404942304306514e-13,1.5107888796204423e-09,1.1928023013751954e-09,1.6475709685437323e-13,-1.6843359545345804,-1.6869761163448516,0.0026401618102711577,1.9491913394671547e-06,1.9570849969427994e-06,-7.893657475644712e-09,0.4803647412376446,5.608580316267757e-09,6.148363848842436e-08,-0.05299791759937149,"{""D"": 5.608580316267757e-09, ""cp"": 3396.6261369110416, ""k"": 0.4803647412376446, ""rho"": 965.6528955108479}","{""D"": 5.641848473491763e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000002}","[[1.7347897834432525e-06, 0.002101187541090908], [1.3801803089534912e-09, 2.6363477806052713e-06], [2.2404942304306514e-13, 1.5107888796204423e-09]]",301.14999999999975,301.1529209553462,2.4660382461784995,2.5500000000000016,0.0,0.0
9.0,bdf2,28.0792,0.0196885,3,2.429242415973057e-13,1.4618939610054255e-09,3.2150637707673013e-10,3.0819791163594346e-13,-1.8902816644342322,-1.8930678739849327,0.0027862095507005247,1.945643956548137e-06,1.9530652641986735e-06,-7.421307650536576e-09,0.4802057800332862,5.606626241999058e-09,6.135735485986461e-08,-0.05947248091687038,"{""D"": 5.606626241999058e-09, ""cp"": 3395.48161623966, ""k"": 0.4802057800332862, ""rho"": 965.0105702717879}","{""D"": 5.641888656781654e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000001}","[[1.8458693427504637e-06, 0.001967248644686338], [1.4598897534541488e-09, 2.5043350480079773e-06], [2.429242415973057e-13, 1.4618939610054255e-09]]",301.14999999999975,301.1534772850406,2.461020080248342,2.550000000000001,0.0,0.0
10.0,bdf2,28.088,0.019695,3,2.229160601538791e-13,1.4187326694711508e-09,6.562004273291677e-10,2.6911806116913795e-13,-2.095451604218655,-2.098374384404167,0.002922780185512064,1.9422540270649003e-06,1.9492738859020335e-06,-7.019858837133177e-09,0.4800554378996065,5.604791137239301e-09,6.123824519783792e-08,-0.06592237560091897,"{""D"": 5.604791137239301e-09, ""cp"": 3394.399152877167, ""k"": 0.4800554378996065, ""rho"": 964.4047817443254}","{""D"": 5.641929751531654e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000002}","[[1.9500889693610926e-06, 0.0018554763850424985], [1.535083796088462e-09, 2.391795588600725e-06], [2.229160601538791e-13, 1.4187326694711508e-09]]",301.1499999999998,301.15406502462383,2.456287357377542,2.5500000000000016,0.0,0.0
