time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
1.0,be,28.00768767474521,0.019635518851851854,3,5.926888476008223e-14,1.8819499335815576e-09,1.6761987353675067e-09,3.2018832030189515e-13,-0.18768591441241012,-0.1884475789452722,0.000761664532862083,1.9619302201216527e-06,2.0031220593764668e-06,-4.119183925481405e-08,0.4821538550279586,5.631286032559827e-09,9.874925235236288e-22,9.594323960144772e-11,"{""D"": 5.631286032559827e-09, ""cp"": 3409.507756201302, ""k"": 0.4821538550279586, ""rho"": 973.0128759132717}","{""D"": 5.6416850290194404e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887335, ""rho"": 976.4000000000004}","[[4.968540144327272e-07, 0.01037098229102431], [4.778638773266441e-10, 6.234229992197783e-06], [5.926888476008223e-14, 1.8819499335815576e-09]]",301.1499999999997,301.1501497715874,2.5235380930724354,2.5500000000000034,0.0,0.0
2.0,bdf2,28.01541722197365,0.01964107525925926,3,1.1287506029865315e-13,2.0467110359464506e-09,1.1186784831807017e-10,3.135269821541442e-13,-0.3753810825847309,-0.3765557315347223,0.0011746489499914192,1.977976495532832e-06,1.99141959922286e-06,-1.3443103690028111e-08,0.48170443347668046,5.625485514856744e-09,6.256229183127535e-08,-0.011829846376724093,"{""D"": 5.625485514856744e-09, ""cp"": 3406.2719210320997, ""k"": 0.48170443347668046, ""rho"": 971.1411935088429}","{""D"": 5.641693197853839e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887335, ""rho"": 976.4000000000004}","[[6.808340300519173e-07, 0.005729167370902817], [6.232139748568084e-10, 5.151674386429665e-06], [1.1287506029865315e-13, 2.0467110359464506e-09]]",301.14999999999964,301.1503549927122,2.5089155742878346,2.5500000000000034,0.0,0.0
3.0,bdf2,28.023188426174496,0.019646669000000002,3,9.343328781303896e-14,1.9647697847764935e-09,2.1509549696929753e-10,4.440892098500626e-14,-0.5628096774632223,-0.5642688336152446,0.0014591561520223006,1.9709933712907513e-06,1.9832719666355583e-06,-1.2278595344807036e-08,0.4813893669401884,5.621439445633656e-09,6.230632640446991e-08,-0.01772702826528863,"{""D"": 5.621439445633656e-09, ""cp"": 3404.0034419693566, ""k"": 0.4813893669401884, ""rho"": 969.8382882936894}","{""D"": 5.641705641217432e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887335, ""rho"": 976.4000000000003}","[[8.714884238348804e-07, 0.003989032395654318], [7.664357137339484e-10, 4.228130480852067e-06], [9.343328781303896e-14, 1.9647697847764935e-09]]",301.1499999999996,301.15061767282987,2.498736627294448,2.550000000000003,0.0,0.0
4.0,bdf2,28.03100107183694,0.019652299851851854,3,1.1306359826673488e-13,1.8298925773345138e-09,1.7246293282369152e-09,1.127986593019159e-13,-0.7500613881548965,-0.7517479514490333,0.0016865632941367448,1.9656690133988803e-06,1.9767262914128225e-06,-1.1057278013942182e-08,0.4811349519465934,5.6181915984446565e-09,6.210068795260032e-08,-0.023616858098887996,"{""D"": 5.6181915984446565e-09, ""cp"": 3402.171654015472, ""k"": 0.4811349519465934, ""rho"": 968.7917010070887}","{""D"": 5.641722999877426e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887335, ""rho"": 976.4000000000005}","[[1.0400637061858338e-06, 0.0032041793390126198], [8.791663072850831e-10, 3.6344611613092082e-06], [1.1306359826673488e-13, 1.8298925773345138e-09]]",301.1499999999995,301.15093115377897,2.4905601641178805,2.550000000000004,0.0,0.0
5.0,bdf2,28.038854943450158,0.01965796759259259,3,1.757296908913335e-13,1.719899168617799e-09,9.233644959749654e-10,6.750155989720952e-14,-0.9372615477403977,-0.9391440458102807,0.001882498069882943,1.9610725754977126e-06,1.9710748327496934e-06,-1.0002257251980806e-08,0.48091435755961887,5.615392527678766e-09,6.192314214247318e-08,-0.029504079833604265,"{""D"": 5.615392527678766e-09, ""cp"": 3400.5833744292563, ""k"": 0.48091435755961887, ""rho"": 967.8881930918028}","{""D"": 5.6417425775729325e-09, ""cp"": 3415.2957746478883, ""k"": 0.48295774647887335, ""rho"": 976.4000000000007}","[[1.1878854982479534e-06, 0.002766045017700908], [9.780365242840582e-10, 3.256388402152983e-06], [1.757296908913335e-13, 1.719899168617799e-09]]",301.1499999999995,301.1512891816177,2.48350150852971,2.550000000000005,0.0,0.0
6.0,bdf2,28.04674982550336,0.019663672,3,1.4892646931879197e-13,1.635168863057353e-09,5.024958227295429e-10,2.220446049250313e-13,-1.124511550904413,-1.1265694843999086,0.0020579334954955453,1.956864282960154e-06,1.9660129195585478e-06,-9.148636598393918e-09,0.4807160343977446,5.612891336330676e-09,6.176411744942101e-08,-0.03539222436716894,"{""D"": 5.612891336330676e-09, ""cp"": 3399.155447663761, ""k"": 0.4807160343977446, ""rho"": 967.0790171453677}","{""D"": 5.641768249001226e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887335, ""rho"": 976.4000000000003}","[[1.3200746977445827e-06, 0.002477498336684018], [1.0683750854658019e-09, 2.993650077113206e-06], [1.4892646931879197e-13, 1.635168863057353e-09]]",301.1499999999996,301.15168704612734,2.477179821448185,2.550000000000003,0.0,0.0
7.0,bdf2,28.05468550248571,0.019669412851851854,3,1.9441576960685746e-13,1.5674351577026031e-09,9.93622961686924e-10,2.1360690993788012e-13,-1.311887177614043,-1.3141056594363931,0.0022184818223500713,1.952923685435564e-06,1.9613829291798067e-06,-8.459243744242605e-09,0.4805340177462323,5.610609883353437e-09,6.161866201191547e-08,-0.04128384676519066,"{""D"": 5.610609883353437e-09, ""cp"": 3397.8449277728723, ""k"": 0.4805340177462323, ""rho"": 966.338953513806}","{""D"": 5.641794786915681e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000002}","[[1.4407431313964304e-06, 0.002266159618682284], [1.1524827144947712e-09, 2.795233974741421e-06], [1.9441576960685746e-13, 1.5674351577026031e-09]]",301.14999999999935,301.15212127610823,2.47139807432661,2.5500000000000016,0.0,0.0
8.0,bdf2,28.062661758886406,0.01967518992592593,3,1.8252403599086102e-13,1.5108456533782506e-09,1.5734258340671659e-10,2.375877272697835e-13,-1.4994452663965323,-1.5018128052489033,0.002367538852370954,1.9491961432002127e-06,1.9570899896826313e-06,-7.89384648241859e-09,0.480364723234716,5.608501104314856e-09,6.148379534001129e-08,-0.04718084082094591,"{""D"": 5.608501104314856e-09, ""cp"": 3396.6260072899554, ""k"": 0.480364723234716, ""rho"": 965.6528226597395}","{""D"": 5.641826367309275e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000002}","[[1.552700021356506e-06, 0.0021012286057799866], [1.2315419553786194e-09, 2.636421758901527e-06], [1.8252403599086102e-13, 1.5108456533782506e-09]]",301.14999999999975,301.1525892466764,2.4660376770292154,2.5500000000000016,0.0,0.0
9.0,bdf2,28.070678379194632,0.019681003000000002,3,2.2669183404526595e-13,1.4619568301053292e-09,1.8962964531965554e-10,1.638689184346731e-13,-1.6872295724181998,-1.6897369035064003,0.0025073310882004485,1.9456491939909948e-06,1.9530707057916394e-06,-7.421511800644683e-09,0.4802057579854616,5.606533516170636e-09,6.135752581258417e-08,-0.053084650282719255,"{""D"": 5.606533516170636e-09, ""cp"": 3395.4814574953234, ""k"": 0.4802057579854616, ""rho"": 965.0104813106623}","{""D"": 5.641861000435792e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000003}","[[1.6578375675070145e-06, 0.0019672935810085388], [1.3063321733397582e-09, 2.504416532282643e-06], [2.2669183404526595e-13, 1.4619568301053292e-09]]",301.14999999999975,301.15308890305437,2.4610193852395494,2.550000000000002,0.0,0.0
10.0,bdf2,28.078735147899582,0.019686851851851855,3,2.4481164997716654e-13,1.4187955385710547e-09,1.1323209037072957e-09,3.1308289294429414e-13,-1.8752745922163931,-1.877914064333197,0.0026394721168039315,1.942259663308339e-06,1.9492797402511058e-06,-7.020076942766812e-09,0.48005541149054787,5.604684571324487e-09,6.123842911760586e-08,-0.058996410022821646,"{""D"": 5.604684571324487e-09, ""cp"": 3394.3989627319447, ""k"": 0.48005541149054787, ""rho"": 964.4046754772139}","{""D"": 5.641895601011333e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000003}","[[1.7574663778480286e-06, 0.001855524914545703], [1.3775017375390903e-09, 2.391884204077337e-06], [2.4481164997716654e-13, 1.4187955385710547e-09]]",301.1499999999998,301.1536185853262,2.456286527165734,2.550000000000002,0.0,0.0
