time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
3600.0,bdf2,47.485,0.04272,3,2.9936738671828597e-13,1.4656465153201048e-11,6.440359356929548e-11,9.103828801926284e-14,-112.17707693789592,-112.18403346290557,0.006956525009655934,1.1426961978836334e-06,1.1427227672078979e-06,-2.6569324264464004e-11,0.43622378998730477,9.090554863858923e-09,1.7949847252757864e-08,-1.7621826767913755,"{""D"": 9.090554863858923e-09, ""cp"": 3078.8112879085947, ""k"": 0.43622378998730477, ""rho"": 838.3038027532637}","{""D"": 9.486234694052112e-09, ""cp"": 3409.975541347927, ""k"": 0.48221882518721204, ""rho"": 973.2847450817452}","[[6.351961023048317e-06, 2.867977006743765e-05], [1.0711881123450074e-09, 2.079049873234507e-08], [2.9936738671828597e-13, 1.4656465153201048e-11]]",313.5315464850051,316.14763866148377,1.4711234590098725,2.5256620709511344,0.0,0.0
7200.0,bdf2,49.852,0.04894,3,7.463764104784125e-14,1.7181810012146673e-11,8.262759365607053e-10,3.6637359812630166e-14,-21.215688675281466,-21.216223718948868,0.0005350436674014247,9.456972595445453e-07,9.457241657726212e-07,-2.6906228075883825e-11,0.4196800608190052,1.0746938223520181e-08,1.4855400457545759e-08,-0.3332636629896632,"{""D"": 1.0746938223520181e-08, ""cp"": 2959.696437896838, ""k"": 0.4196800608190052, ""rho"": 807.5801865236194}","{""D"": 1.233331776759727e-08, ""cp"": 3323.1421407510998, ""k"": 0.47015863065987495, ""rho"": 927.8698616998734}","[[1.4425823410219663e-06, 2.8440329454216077e-05], [2.2167944025847274e-10, 2.264866129016133e-08], [7.463764104784125e-14, 1.7181810012146673e-11]]",321.6002520895911,322.153351051242,1.2310952072157766,2.1708582945302606,0.0,0.0
10800.0,bdf2,50.195,0.04977,3,1.899962041246273e-14,2.8879261218208008e-11,5.51608536625281e-10,1.0658141036401503e-13,-5.713801204152725,-5.71462114270247,0.0008199385497444922,7.66647271870419e-07,7.666778926109826e-07,-3.0620740563559425e-11,0.400768032547003,1.0271699732462665e-08,1.2042948175476354e-08,-0.0897650593649075,"{""D"": 1.0271699732462665e-08, ""cp"": 2823.529834338421, ""k"": 0.400768032547003, ""rho"": 779.0390228177572}","{""D"": 1.2387303686132638e-08, ""cp"": 3196.917270988813, ""k"": 0.45262739874844626, ""rho"": 876.073516529919}","[[5.69352224880264e-07, 2.7986051719392775e-05], [7.410731572916587e-11, 3.0852653137708244e-08], [1.899962041246273e-14, 2.8879261218208008e-11]]",322.9995061898496,323.1164151542919,1.0081173657637283,1.766199347889992,0.0,0.0
14400.0,bdf2,50.165,0.04986,3,4.327244735093827e-14,4.7807299766715764e-11,3.192326403222978e-10,7.982503547054876e-14,-4.13594489648035,-4.1390904489503555,0.003145552470005697,6.12356632611196e-07,6.123832647209462e-07,-2.6632109750210512e-11,0.38067271563869054,9.254121891286316e-09,9.619293828116937e-09,-0.06501668076653781,"{""D"": 9.254121891286316e-09, ""cp"": 2678.8435525985724, ""k"": 0.38067271563869054, ""rho"": 754.3634023553514}","{""D"": 1.1791904978463928e-08, ""cp"": 3070.913826354241, ""k"": 0.43512692032697786, ""rho"": 836.0636197245633}","[[1.6957192497791492e-06, 2.621553900221002e-05], [6.415175500628105e-11, 3.969079067234308e-08], [4.327244735093827e-14, 4.7807299766715764e-11]]",323.1353983357214,323.1497614718473,0.8153390809011828,1.4536220290981503,0.0,0.0
18000.0,bdf2,50.165,0.04986,3,2.5669396003445357e-14,7.809955156088876e-11,5.50699041923508e-10,4.8405723873656825e-14,-0.15739731373571486,-0.15740064154954325,3.3278138283909797e-06,4.875730323002074e-07,4.87595784249482e-07,-2.2751949274531946e-11,0.36099531941034435,8.169194279441431e-09,7.659136668586428e-09,-0.0024724436536787977,"{""D"": 8.169194279441431e-09, ""cp"": 2537.166299754479, ""k"": 0.36099531941034435, ""rho"": 734.3974054799171}","{""D"": 1.1139223264422904e-08, ""cp"": 2947.433706802007, ""k"": 0.41797690372250096, ""rho"": 804.7527294447507}","[[1.4515996848272407e-08, 2.4931425883526926e-05], [2.504524288144313e-12, 5.025679177231486e-08], [2.5669396003445357e-14, 7.809955156088876e-11]]",323.3039112018882,323.308703974338,0.6593547303118525,1.209005698787115,0.0,0.0
21600.0,bdf2,50.165,0.04986,3,2.5493102830062218e-14,1.2799090130812045e-10,1.3869794202037156e-09,9.992007221626409e-15,-0.006674889132137353,-0.006675025446156724,1.36314019370809e-07,3.868519161553681e-07,3.8687052221891917e-07,-1.8606063551077298e-11,0.34219246942736936,6.955337745688644e-09,6.076947952462398e-09,-0.000104851094720551,"{""D"": 6.955337745688644e-09, ""cp"": 2401.785779877059, ""k"": 0.34219246942736936, ""rho"": 718.281363555027}","{""D"": 1.0380866511289555e-08, ""cp"": 2828.560447416421, ""k"": 0.4014667288078363, ""rho"": 779.9915984718866}","[[6.667494244495771e-10, 2.3492151192677943e-05], [1.6561726114426205e-13, 6.286559107272733e-08], [2.5493102830062218e-14, 1.2799090130812045e-10]]",323.3145194811471,323.31473299898215,0.533448152773649,1.015559363061614,0.0,0.0
25200.0,bdf2,50.165,0.04986,3,2.0042837295484086e-14,1.8187146233472617e-10,1.927219273056835e-09,1.587618925213974e-14,-0.00023705256918978102,-0.00023706389526978455,1.1326080003531231e-08,3.061760763661546e-07,3.0619122182464454e-07,-1.5145458489921754e-11,0.324747830506857,5.713678337624567e-09,4.809640465375564e-09,-3.7238382368994033e-06,"{""D"": 5.713678337624567e-09, ""cp"": 2276.1843796493704, ""k"": 0.324747830506857, ""rho"": 705.3726754919431}","{""D"": 9.594225590880091e-09, ""cp"": 2716.7636914703403, ""k"": 0.3859394015931028, ""rho"": 760.3605673007572}","[[2.5482885291948e-11, 1.8940904222719546e-05], [2.6196339973921657e-14, 6.7517399504613e-08], [2.0042837295484086e-14, 1.8187146233472617e-10]]",323.3149825618913,323.3149905174442,0.4325990272808057,0.8621919320371656,0.0,0.0
28800.0,bdf2,50.165,0.04986,3,5.274430717198473e-15,2.5951146787051016e-10,7.298694981727749e-10,1.4876988529977098e-14,-7.136904508289964e-06,-7.141926516851527e-06,5.02200856156268e-09,2.4165723610355135e-07,2.4166958636649146e-07,-1.2350262940109453e-11,0.30892388918347613,4.501838778124435e-09,3.796136985614878e-09,-1.1224674824764351e-07,"{""D"": 4.501838778124435e-09, ""cp"": 2162.2520021210285, ""k"": 0.30892388918347613, ""rho"": 695.0492138186387}","{""D"": 8.804488367836332e-09, ""cp"": 2613.8965663587633, ""k"": 0.3716523008831615, ""rho"": 744.7639686460474}","[[8.196465334526309e-13, 1.505835158033264e-05], [1.582329215159544e-14, 7.206357149902587e-08], [5.274430717198473e-15, 2.5951146787051016e-10]]",323.31499946355507,323.31499971432294,0.35194698295811433,0.7403435050472454,0.0,0.0
32400.0,bdf2,50.165,0.04986,3,2.6723782277469523e-14,3.7749398051900585e-10,1.1471001926111057e-10,1.709743457922741e-14,-1.8773289245538057e-07,-1.8451800087859738e-07,-3.2148915767831887e-09,1.9011363597994581e-07,1.9012370671024436e-07,-1.0070730298546329e-11,0.2948577234418568,3.380250714732904e-09,2.9864562013589528e-09,-2.833073637578948e-09,"{""D"": 3.380250714732904e-09, ""cp"": 2060.9756087813694, ""k"": 0.2948577234418568, ""rho"": 686.8018730736391}","{""D"": 8.034045385815041e-09, ""cp"": 2521.1681014778756, ""k"": 0.3587733474274827, ""rho"": 732.3563731034229}","[[2.3910752564051968e-14, 1.1989098637532614e-05], [1.459259163835546e-14, 7.757276238029576e-08], [2.6723782277469523e-14, 3.7749398051900585e-10]]",323.31499998583223,323.3149999926193,0.2875146333878055,0.6434091648704918,0.0,0.0
36000.0,bdf2,50.165,0.04986,3,1.652654956596037e-14,5.567677707762897e-10,1.0550138540565968e-10,3.608224830031759e-15,-5.14098644391286e-09,-3.818456661974778e-09,-1.3225297819380815e-09,1.4905836532771023e-07,1.4906651664013952e-07,-8.151312429294692e-12,0.2826046699975592,2.4057632419749096e-09,2.3415313678526945e-09,3.227156667448683e-11,"{""D"": 2.4057632419749096e-09, ""cp"": 1972.7536239824262, ""k"": 0.2826046699975592, ""rho"": 680.2327226624224}","{""D"": 7.302711975484995e-09, ""cp"": 2439.0413161223023, ""k"": 0.3473668494614309, ""rho"": 722.4672481564639}","[[1.0900490139250782e-14, 9.568591566533335e-06], [1.4416777280944392e-14, 8.384853300569262e-08], [1.652654956596037e-14, 5.567677707762897e-10]]",323.3149999996893,323.31499999984726,0.2361931458001744,0.5661503762223744,0.0,0.0
39600.0,bdf2,50.165,0.04986,3,3.006425506146628e-14,8.212574231780678e-10,3.7971403799019754e-10,1.27675647831893e-15,-0.0,5.6843418860808015e-12,-5.6843418860808015e-12,1.1658980970609242e-07,1.1659626720670694e-07,-6.457500614521189e-12,0.272169367105437,1.6201793447982219e-09,1.8314898824487281e-09,-5.2695057866580504e-11,"{""D"": 1.6201793447982219e-09, ""cp"": 1897.6194431591464, ""k"": 0.272169367105437, ""rho"": 675.0374827530732}","{""D"": 6.6253844220587735e-09, ""cp"": 2367.314160901198, ""k"": 0.3374047445696108, ""rho"": 714.5610198700044}","[[6.329316855045532e-15, 7.666344849610596e-06], [2.3207495135166718e-14, 9.012142995756811e-08], [3.006425506146628e-14, 8.212574231780678e-10]]",323.3150000000002,323.31500000000665,0.1956053340083837,0.5043829677344092,0.0,0.0
43200.0,bdf2,50.165,0.04986,3,3.2174027346480455e-14,1.1825638246421022e-09,8.790266292635351e-10,1.2490009027033011e-15,4.794108993100618e-09,2.6574298317427747e-10,4.52836600992634e-09,9.125293584487928e-08,9.12578416948825e-08,-4.9058500032190325e-12,0.2635205309550052,1.0387852930813528e-09,1.4334748252467404e-09,-9.618700080332765e-11,"{""D"": 1.0387852930813528e-09, ""cp"": 1835.3478228760375, ""k"": 0.2635205309550052, ""rho"": 670.9833346711812}","{""D"": 6.01090194306472e-09, ""cp"": 2305.2893730647697, ""k"": 0.32879019070344023, ""rho"": 708.2104648021755}","[[9.142346568398822e-15, 6.176594218809672e-06], [2.144935156432002e-14, 9.481316060044875e-08], [3.2174027346480455e-14, 1.1825638246421022e-09]]",323.31500000001023,323.3150000000167,0.16393230211860313,0.4547692562669957,0.0,0.0
46800.0,bdf2,50.165,0.04986,3,1.582329213761315e-14,1.61328334025157e-09,5.77074388274923e-10,1.942890293094024e-16,-0.0,2.4442670110147446e-10,-2.4442670110147446e-10,7.185784940528773e-08,7.186134965071558e-08,-3.5002454278533752e-12,0.2565750295117182,6.450627710905057e-10,1.1287954406903563e-09,-2.039498543782701e-11,"{""D"": 6.450627710905057e-10, ""cp"": 1785.3402124843708, ""k"": 0.2565750295117182, ""rho"": 667.8798959441145}","{""D"": 5.462261538854473e-09, ""cp"": 2251.9672922158015, ""k"": 0.3213843461410836, ""rho"": 703.0765653499365}","[[1.6350735208866924e-14, 5.0129848314095504e-06], [1.6350735208866924e-14, 9.597590278076495e-08], [1.582329213761315e-14, 1.61328334025157e-09]]",323.31500000000904,323.3150000000206,0.1396866870633945,0.41466066679637875,0.0,0.0
50400.0,bdf2,50.165,0.04986,3,1.8460507493881817e-14,2.040182051077366e-09,5.445599526865408e-10,2.7755575615628914e-16,-4.569836565709172e-09,5.016431714466307e-10,-5.071479737155803e-09,5.7293510664563554e-08,5.729582971661866e-08,-2.3190520551059907e-12,0.2511619715705081,3.980282297807836e-10,9.000007885869521e-10,-1.2815637679366372e-10,"{""D"": 3.980282297807836e-10, ""cp"": 1746.3661953076587, ""k"": 0.2511619715705081, ""rho"": 665.549412754659}","{""D"": 4.977803089872402e-09, ""cp"": 2206.2193868370728, ""k"": 0.31503047039403786, ""rho"": 698.8923271960434}","[[8.439089140060231e-15, 4.105088159400694e-06], [3.305309913190269e-14, 9.26874843820702e-08], [1.8460507493881817e-14, 2.040182051077366e-09]]",323.3150000000198,323.31500000002393,0.12147978714577333,0.3819713062190893,0.0,0.0
54000.0,bdf2,50.165,0.04986,3,5.801873783791565e-15,2.385304120888776e-09,1.1450538295321167e-09,1.3877787807814457e-16,-0.0,1.0800249583553523e-10,-1.0800249583553523e-10,4.6461221644488896e-08,4.646264776190959e-08,-1.426117420694666e-12,0.24702061507190312,2.5008349344262724e-10,7.298335643698172e-10,-2.7964351482216787e-11,"{""D"": 2.5008349344262724e-10, ""cp"": 1716.5484285177026, ""k"": 0.24702061507190312, ""rho"": 663.8161036419056}","{""D"": 4.55279614643876e-09, ""cp"": 2166.9201659527816, ""k"": 0.3095722452712197, ""rho"": 695.4493079939355}","[[2.9888440704380796e-15, 3.395901764680076e-06], [1.388933420968284e-14, 8.587722868935721e-08], [5.801873783791565e-15, 2.385304120888776e-09]]",323.3150000000042,323.3150000000163,0.10793830970238699,0.35507271870262047,0.0,0.0
57600.0,bdf2,50.165,0.04986,3,1.4592591638021103e-14,2.6088259330592223e-09,4.943103704135865e-10,1.3877787807814457e-16,-4.437851641486948e-09,4.675371201301459e-10,-4.905388761617094e-09,3.8366529389870605e-08,3.836733681398423e-08,-8.074241136277143e-13,0.24385920556678878,1.624739471858505e-10,6.026727173598514e-10,8.738958835801619e-11,"{""D"": 1.624739471858505e-10, ""cp"": 1693.7862800808791, ""k"": 0.24385920556678878, ""rho"": 662.5208538902375}","{""D"": 4.180940458281043e-09, ""cp"": 2133.031840506195, ""k"": 0.3048655334036382, ""rho"": 692.5861819534258}","[[1.8812136208051576e-14, 2.8398756403702485e-06], [1.0197232710906461e-14, 7.73309180163162e-08], [1.4592591638021103e-14, 2.6088259330592223e-09]]",323.31500000000904,323.3150000000187,0.09781917101748029,0.33270454651113945,0.0,0.0
61200.0,bdf2,50.165,0.04986,3,2.2504237706828004e-14,2.7090830134746113e-09,3.0019009500392713e-10,1.1102230246251565e-16,-0.0,2.998490344907623e-10,-2.998490344907623e-10,3.22245503848771e-08,3.222494899105004e-08,-3.9860617293591363e-13,0.24142129772101367,1.0980151033012335e-10,5.061883150581921e-10,3.968401654051593e-11,"{""D"": 1.0980151033012335e-10, ""cp"": 1676.2333435912985, ""k"": 0.24142129772101367, ""rho"": 661.538071838568}","{""D"": 3.8555064834167705e-09, ""cp"": 2103.6470880872134, ""k"": 0.3007843177898908, ""rho"": 690.1789854142972}","[[1.793306442262854e-14, 2.401204789614919e-06], [5.450245069622408e-15, 6.84503825287841e-08], [2.2504237706828004e-14, 2.7090830134746113e-09]]",323.31500000001114,323.31500000001466,0.09014118623881255,0.3138983235491975,0.0,0.0
64800.0,bdf2,50.165,0.04986,3,6.153502497960853e-15,2.7035610555836698e-09,5.77074388274923e-10,5.551115123125783e-17,4.359850429463463e-09,2.1316282072803006e-10,4.146687608735433e-09,2.747330262480364e-08,2.7473435646089293e-08,-1.3302128565279756e-13,0.23951174042738793,7.721075345659596e-11,4.315517179665474e-10,2.1682073685261142e-11,"{""D"": 7.721075345659596e-11, ""cp"": 1662.4845310771932, ""k"": 0.23951174042738793, ""rho"": 660.7778297033743}","{""D"": 3.570051393987391e-09, ""cp"": 2078.0006198820115, ""k"": 0.29722230831694607, ""rho"": 688.1328761777901}","[[4.219544570030278e-15, 2.0522337720318973e-06], [1.2307004995921632e-15, 5.998170943266601e-08], [6.153502497960853e-15, 2.7035610555836698e-09]]",323.31500000000415,323.31500000001097,0.08420179455761162,0.29791309513898495,0.0,0.0
68400.0,bdf2,50.165,0.04986,3,1.6350735208867432e-14,2.615331604061133e-09,5.4569682106375694e-11,1.1102230246251565e-16,-0.0,-1.9042545318370685e-10,1.9042545318370685e-10,2.372658628937316e-08,2.3726547329462722e-08,3.89599104393469e-14,0.23799110790797484,5.6360014386995074e-11,3.726957339228874e-10,-1.970554836022481e-12,"{""D"": 5.6360014386995074e-11, ""cp"": 1651.5359769374188, ""k"": 0.23799110790797484, ""rho"": 660.178327572714}","{""D"": 3.31877938275558e-09, ""cp"": 2055.4613822858782, ""k"": 0.2940918586508164, ""rho"": 686.3753354612938}","[[8.087460425891417e-15, 1.7719227091705925e-06], [1.2658633710090916e-14, 5.223174565083255e-08], [1.6350735208867432e-14, 2.615331604061133e-09]]",323.3149999999924,323.3150000000105,0.0795181841618284,0.2841823082913579,0.0,0.0
72000.0,bdf2,50.165,0.04986,3,1.1779561924667704e-14,2.467089074698059e-09,2.908109308918938e-10,5.551115123125783e-17,-0.0,2.7569058147491887e-10,-2.7569058147491887e-10,2.0719906655133394e-08,2.0719756471046223e-08,1.5018408717077162e-13,0.2367612594539431,4.256401154410965e-11,3.2546517356102056e-10,4.1146801849854496e-11,"{""D"": 4.256401154410965e-11, ""cp"": 1642.6810680683905, ""k"": 0.2367612594539431, ""rho"": 659.6972410353674}","{""D"": 3.0966625512331054e-09, ""cp"": 2035.5154337215613, ""k"": 0.2913215880168835, ""rho"": 684.8507386156502}","[[2.3734938206419827e-14, 1.5444243122719747e-06], [1.3713519852598216e-14, 4.528844597950776e-08], [1.1779561924667704e-14, 2.467089074698059e-09]]",323.3150000000108,323.3150000000168,0.07575969558880778,0.2722713954347676,0.0,0.0
75600.0,bdf2,50.165,0.04986,3,1.4416777280936583e-14,2.27926752471852e-09,8.958522812463343e-11,5.551115123125783e-17,-0.0,1.5916157281026244e-10,-1.5916157281026244e-10,1.826954742048513e-08,1.826932577259944e-08,2.216478856886493e-13,0.23575260168488493,3.313986977518636e-11,2.869738981607287e-10,2.0971544664090897e-11,"{""D"": 3.313986977518636e-11, ""cp"": 1635.4187321311715, ""k"": 0.23575260168488493, ""rho"": 659.3051721236159}","{""D"": 2.8994277051558965e-09, ""cp"": 2017.7463004989372, ""k"": 0.2888536528470746, ""rho"": 683.5161547196191}","[[1.0373047067990938e-14, 1.3578514135859088e-06], [2.5668896134350503e-14, 3.914734890420046e-08], [1.4416777280936583e-14, 2.27926752471852e-09]]",323.31500000000636,323.31500000001705,0.0726966572157493,0.26184495874702357,0.0,0.0
79200.0,bdf2,50.165,0.04986,3,1.1252118853414135e-14,2.0695055669150975e-09,9.447376214666292e-10,1.1102230246251565e-16,4.278419727324642e-09,1.4495071809506044e-10,4.1334690092295815e-09,1.6245325298964876e-08,1.6245058534896928e-08,2.6676406794819147e-13,0.234915008281264,2.6509676858381126e-11,2.5517678274509215e-10,2.281439241621048e-11,"{""D"": 2.6509676858381126e-11, ""cp"": 1629.3880596251008, ""k"": 0.234915008281264, ""rho"": 658.9812893655835}","{""D"": 2.7234815959328264e-09, ""cp"": 2001.8164843410336, ""k"": 0.28664117838069914, ""rho"": 682.3381755650429}","[[7.911646068806816e-15, 1.2032782866766567e-06], [1.670236392303661e-14, 3.3767913409921135e-08], [1.1252118853414135e-14, 2.0695055669150975e-09]]",323.3150000000058,323.31500000001085,0.07016632316862116,0.2526419966018977,0.0,0.0
