time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
3600.0,bdf2,47.485,0.04272,2,3.523891759573397e-10,5.9896905874372135e-09,5.115907697472721e-13,8.881784197001252e-16,-112.06383282306894,-112.17505621325472,0.11122339018578487,1.1424921600377535e-06,1.1429240811863628e-06,-4.3192114860927514e-10,0.43623944792031766,9.09115619377994e-09,8.976504742583307e-09,-0.8810208312746003,"{""D"": 9.09115619377994e-09, ""cp"": 3078.924025026287, ""k"": 0.43623944792031766, ""rho"": 838.3360129898181}","{""D"": 9.486472084959945e-09, ""cp"": 3409.8791524823655, ""k"": 0.4822054378447729, ""rho"": 973.2286986235641}","[[3.1757523896207423e-06, 1.4350566153912905e-05], [3.523891759573397e-10, 5.9896905874372135e-09]]",313.5314859746564,316.1479977514698,1.4713751014829537,2.5252242079965947,0.0,0.0
7200.0,bdf2,49.852,0.04894,2,7.364401769674982e-11,6.613127287053781e-09,1.9326762412674725e-12,8.881784197001252e-16,-21.202982255755856,-21.211538806281283,0.008556550525426587,9.452071942094016e-07,9.456377025788087e-07,-4.3050836940711e-10,0.4196718097595722,1.074666803721342e-08,7.427021148393601e-09,-0.16659503622585703,"{""D"": 1.074666803721342e-08, ""cp"": 2959.6370302689197, ""k"": 0.4196718097595722, ""rho"": 807.5663524126094}","{""D"": 1.2333318801622529e-08, ""cp"": 3323.1345859666317, ""k"": 0.47015758138425445, ""rho"": 927.8663081221343}","[[7.211247967779196e-07, 1.4209317669846978e-05], [7.364401769674982e-11, 6.613127287053781e-09]]",321.6003255587816,322.1535384477487,1.230987128223511,2.170830532204174,0.0,0.0
10800.0,bdf2,50.195,0.04977,2,2.462016509903745e-11,8.97183830961564e-09,3.410605131648481e-13,4.440892098500626e-16,-5.70137338457616,-5.714480157224955,0.013106772648795229,7.660941388457372e-07,7.665838439599438e-07,-4.897051142065789e-10,0.40075695372914866,1.027116713842323e-08,6.020735431319084e-09,-0.04488142218702764,"{""D"": 1.027116713842323e-08, ""cp"": 2823.4500668498704, ""k"": 0.40075695372914866, ""rho"": 779.023975033591}","{""D"": 1.2387482719297727e-08, ""cp"": 3196.9484436621715, ""k"": 0.4526317282864127, ""rho"": 876.0846761282281}","[[2.846644301678846e-07, 1.399221155255181e-05], [2.462016509903745e-11, 8.97183830961564e-09]]",322.9995570434337,323.116420793711,1.0079998049499297,1.766286532251782,0.0,0.0
14400.0,bdf2,50.165,0.04986,3,6.332553767236614e-15,7.94672170584097e-12,2.8421709430404007e-13,2.220446049250313e-16,-4.090705328564948,-4.140946921998534,0.050241593433585585,6.118773664820157e-07,6.123039105499125e-07,-4.2654406789675287e-10,0.3806612770726136,9.253475131290833e-09,4.809023667840478e-09,-0.032522921086805094,"{""D"": 9.253475131290833e-09, ""cp"": 2678.761194922818, ""k"": 0.3806612770726136, ""rho"": 754.350705687986}","{""D"": 1.1792069437671835e-08, ""cp"": 3070.9460162807463, ""k"": 0.4351313911501037, ""rho"": 836.0726862675151}","[[8.472114498067181e-07, 1.3107837453207399e-05], [2.1112206547152936e-11, 1.1431253397802156e-08], [6.332553767236614e-15, 7.94672170584097e-12]]",323.135340507771,323.14973614224454,0.8152398881873907,1.4536928614649616,0.0,0.0
18000.0,bdf2,50.165,0.04986,3,5.274533391715304e-16,1.265596056741023e-11,5.115907697472721e-13,3.3306690738754696e-16,-0.1572959890474561,-0.15734907586875124,5.3086821295150743e-05,4.871616813856908e-07,4.875255808810205e-07,-3.6389949532966733e-10,0.36098320796278766,8.168452804967424e-09,3.829016958327987e-09,-0.0012358167652249392,"{""D"": 8.168452804967424e-09, ""cp"": 2537.0790973320713, ""k"": 0.36098320796278766, ""rho"": 734.3861729409633}","{""D"": 1.1139424816838235e-08, ""cp"": 2947.4665974466097, ""k"": 0.41798147186758466, ""rho"": 804.7602382608355}","[[7.257047818994003e-09, 1.2465363194914402e-05], [8.339037292301893e-13, 1.4286610110408078e-08], [5.274533391715304e-16, 1.265596056741023e-11]]",323.3039121431188,323.30870603696525,0.6592669761012756,1.2090643614127776,0.0,0.0
21600.0,bdf2,50.165,0.04986,3,5.274435066072023e-16,1.996798426024388e-11,7.958078640513122e-13,2.220446049250313e-16,-0.0066695777281831565,-0.006671628420917841,2.050692734684688e-06,3.8650966348709453e-07,3.868072825710749e-07,-2.9761908398036673e-10,0.34217969424090766,6.954468253686696e-09,3.0379772931958e-09,-5.239885442083616e-05,"{""D"": 6.954468253686696e-09, ""cp"": 2401.693798534535, ""k"": 0.34217969424090766, ""rho"": 718.2712452113719}","{""D"": 1.038111707642493e-08, ""cp"": 2828.5976983052487, ""k"": 0.4014719025423956, ""rho"": 779.9986784778222}","[[3.332715089718521e-10, 1.1745300873476792e-05], [3.621778745369456e-14, 1.753194144940654e-08], [5.274435066072023e-16, 1.996798426024388e-11]]",323.3145196017198,323.31473313486316,0.5333691032138437,1.015614675607986,0.0,0.0
25200.0,bdf2,50.165,0.04986,3,5.274430867128471e-16,2.6871282976514976e-11,1.2505552149377763e-12,1.1102230246251565e-16,-0.0002368390666399352,-0.00023690423773814473,6.517109820954135e-08,3.058895407522013e-07,3.061318386419893e-07,-2.4229788978802234e-10,0.32473408596466014,5.712658418122022e-09,2.4043538382700382e-09,-1.8606555788607168e-06,"{""D"": 5.712658418122022e-09, ""cp"": 2276.085418945553, ""k"": 0.32473408596466014, ""rho"": 705.3631741827182}","{""D"": 9.594562694450075e-09, ""cp"": 2716.8094867726777, ""k"": 0.3859457620517608, ""rho"": 760.3679971025063}","[[1.2735464957406185e-11, 9.469981754994805e-06], [1.9339579846137717e-15, 1.8319723738002835e-08], [5.274430867128471e-16, 2.6871282976514976e-11]]",323.3149825688609,323.3149905238305,0.43252479830248663,0.8622499773633296,0.0,0.0
28800.0,bdf2,50.165,0.04986,3,3.5162871447965994e-16,3.5431213518677396e-11,5.684341886080801e-13,2.220446049250313e-16,-7.134805807103806e-06,-7.136449653444288e-06,1.6438463404819747e-09,2.4141281626024377e-07,2.416104474003079e-07,-1.9763114006414825e-10,0.30890851925793206,4.5006296715341685e-09,1.8976040164452995e-09,-5.604931056340892e-08,"{""D"": 4.5006296715341685e-09, ""cp"": 2162.141338657111, ""k"": 0.30890851925793206, ""rho"": 695.0397515840493}","{""D"": 8.804959395598304e-09, ""cp"": 2613.955430771189, ""k"": 0.3716604764959985, ""rho"": 744.7723099299911}","[[4.0982326672604387e-13, 7.528466354100871e-06], [7.032574289593198e-16, 1.8787638000894447e-08], [3.5162871447965994e-16, 3.5431213518677396e-11]]",323.31499946382866,323.314999714542,0.3518730592503849,0.7404086713280554,0.0,0.0
32400.0,bdf2,50.165,0.04986,3,1.0548861425317345e-15,4.595052116584952e-11,3.410605131648481e-13,1.1102230246251565e-16,-1.8489126133803878e-07,-1.8484485053704702e-07,-4.641080099176091e-11,1.8989830607647789e-07,1.9005954131276768e-07,-1.6123523628979597e-10,0.29483933617383795,3.3787747405576384e-09,1.4927241468188851e-09,-1.470887763365198e-09,"{""D"": 3.3787747405576384e-09, ""cp"": 2060.843220451633, ""k"": 0.29483933617383795, ""rho"": 686.7916066100429}","{""D"": 8.034705622993268e-09, ""cp"": 2521.244690329427, ""k"": 0.358783984767976, ""rho"": 732.3660507737322}","[[1.1427933210760458e-14, 5.993651288060953e-06], [1.2307004996203555e-15, 1.9078984281328815e-08], [1.0548861425317345e-15, 4.595052116584952e-11]]",323.3149999858326,323.3149999926062,0.28743442664095964,0.643484771669783,0.0,0.0
36000.0,bdf2,50.165,0.04986,3,3.5162871416937487e-16,5.7497839822673313e-11,7.958078640513122e-13,1.1102230246251565e-16,-4.181941553286467e-09,-3.9392489270539954e-09,-2.4269262623247195e-10,1.4885864426636794e-07,1.48989278225655e-07,-1.3063395928705577e-10,0.2825806602155244,2.4038896174084812e-09,1.170159054834916e-09,-5.2575900487704364e-11,"{""D"": 2.4038896174084812e-09, ""cp"": 1972.580753551776, ""k"": 0.2825806602155244, ""rho"": 680.2203645161048}","{""D"": 7.303621919298739e-09, ""cp"": 2439.140318831951, ""k"": 0.347380599837771, ""rho"": 722.4786095731691}","[[1.2307004995928107e-15, 4.783239594297051e-06], [1.4065148566775e-15, 1.89614224876955e-08], [3.5162871416937487e-16, 5.7497839822673313e-11]]",323.31499999968685,323.3149999998424,0.23609659778206876,0.5662391372903839,0.0,0.0
