study,level,level_time_s,radius_cm,temperature_signed_error_C,temperature_absolute_error_C,moisture_signed_error,moisture_absolute_error
time,1.0,21600.0,0.0,4.4929038267582655e-10,4.4929038267582655e-10,-1.0056429022853308e-09,1.0056429022853308e-09
time,1.0,21600.0,0.1,4.490061655815225e-10,4.490061655815225e-10,-1.0042879861060783e-09,1.0042879861060783e-09
time,1.0,21600.0,0.2,4.460503078007605e-10,4.460503078007605e-10,-1.0002170203193828e-09,1.0002170203193828e-09
time,1.0,21600.0,0.3,4.425828592502512e-10,4.425828592502512e-10,-9.934757461138588e-10,9.934757461138588e-10
time,1.0,21600.0,0.4,4.38205915997969e-10,4.38205915997969e-10,-9.84114012503312e-10,9.84114012503312e-10
time,1.0,21600.0,0.5,4.334310688136611e-10,4.334310688136611e-10,-9.722049831850654e-10,9.722049831850654e-10
time,1.0,21600.0,0.6,4.2814463085960597e-10,4.2814463085960597e-10,-9.578418058708849e-10,9.578418058708849e-10
time,1.0,21600.0,0.7,4.211528903397266e-10,4.211528903397266e-10,-9.411178503171413e-10,9.411178503171413e-10
time,1.0,21600.0,0.8,4.133084985369351e-10,4.133084985369351e-10,-9.221791108515731e-10,9.221791108515731e-10
time,1.0,21600.0,0.9,4.051230462209787e-10,4.051230462209787e-10,-9.011579260587155e-10,9.011579260587155e-10
time,1.0,21600.0,1.0,3.95857568946667e-10,3.95857568946667e-10,-8.782410354513104e-10,8.782410354513104e-10
time,1.0,21600.0,1.1,3.8625103115919046e-10,3.8625103115919046e-10,-8.536200635234081e-10,8.536200635234081e-10
time,1.0,21600.0,1.2,3.7556446841335855e-10,3.7556446841335855e-10,-8.27503177092126e-10,8.27503177092126e-10
time,1.0,21600.0,1.3,3.637410372903105e-10,3.637410372903105e-10,-8.001309614869001e-10,8.001309614869001e-10
time,1.0,21600.0,1.4,3.5134917197865434e-10,3.5134917197865434e-10,-7.717830818876337e-10,7.717830818876337e-10
time,1.0,21600.0,1.5,3.3782043828978203e-10,3.3782043828978203e-10,-7.427788384362088e-10,7.427788384362088e-10
time,1.0,21600.0,1.6,3.2224534152192064e-10,3.2224534152192064e-10,-7.135272372948975e-10,7.135272372948975e-10
time,1.0,21600.0,1.7,3.050786290259566e-10,3.050786290259566e-10,-6.845682909428774e-10,6.845682909428774e-10
time,1.0,21600.0,1.8,2.9046987037872896e-10,2.9046987037872896e-10,-6.566983623557121e-10,6.566983623557121e-10
time,1.0,21600.0,1.9,2.7563373805605806e-10,2.7563373805605806e-10,-6.311997591268437e-10,6.311997591268437e-10
time,1.0,21600.0,2.0,2.6761881599668413e-10,2.6761881599668413e-10,-6.105125294197933e-10,6.105125294197933e-10
time,1.0,43200.0,0.0,-3.8767211663071066e-11,3.8767211663071066e-11,-6.004663988257164e-10,6.004663988257164e-10
time,1.0,43200.0,0.1,-3.836930773104541e-11,3.836930773104541e-11,-5.997120577916348e-10,5.997120577916348e-10
time,1.0,43200.0,0.2,-3.785771696129814e-11,3.785771696129814e-11,-5.974454264645601e-10,5.974454264645601e-10
time,1.0,43200.0,0.3,-3.802824721788056e-11,3.802824721788056e-11,-5.936745539614208e-10,5.936745539614208e-10
time,1.0,43200.0,0.4,-3.7687186704715714e-11,3.7687186704715714e-11,-5.883941667228498e-10,5.883941667228498e-10
time,1.0,43200.0,0.5,-3.728928277269006e-11,3.728928277269006e-11,-5.816017667470419e-10,5.816017667470419e-10
time,1.0,43200.0,0.6,-3.6550318327499554e-11,3.6550318327499554e-11,-5.732963548332748e-10,5.732963548332748e-10
time,1.0,43200.0,0.7,-3.660716174636036e-11,3.660716174636036e-11,-5.63479485293783e-10,5.63479485293783e-10
time,1.0,43200.0,0.8,-3.75734998669941e-11,3.75734998669941e-11,-5.521370582961538e-10,5.521370582961538e-10
time,1.0,43200.0,0.9,-3.61524143954739e-11,3.61524143954739e-11,-5.392533641845887e-10,5.392533641845887e-10
time,1.0,43200.0,1.0,-3.495870259939693e-11,3.495870259939693e-11,-5.248220746878474e-10,5.248220746878474e-10
time,1.0,43200.0,1.1,-3.387867764104158e-11,3.387867764104158e-11,-5.088250376594772e-10,5.088250376594772e-10
time,1.0,43200.0,1.2,-3.268496584496461e-11,3.268496584496461e-11,-4.912397155720782e-10,4.912397155720782e-10
time,1.0,43200.0,1.3,-3.1946001399774104e-11,3.1946001399774104e-11,-4.720298041327453e-10,4.720298041327453e-10
time,1.0,43200.0,1.4,-2.9956481739645824e-11,2.9956481739645824e-11,-4.511500062420737e-10,4.511500062420737e-10
time,1.0,43200.0,1.5,-2.802380549837835e-11,2.802380549837835e-11,-4.2857650761618515e-10,4.2857650761618515e-10
time,1.0,43200.0,1.6,-2.4499513529008254e-11,2.4499513529008254e-11,-4.043438917022968e-10,4.043438917022968e-10
