time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
60.0,bdf2,28.528,0.02002,3,4.2461577617832305e-14,5.221270039417524e-11,6.94626578479074e-11,3.5083047578154947e-14,-11.74238853955195,-11.748603107854194,0.0062145683022443166,1.8432386446263357e-06,1.8458357852452117e-06,-2.597140618875926e-09,0.47579379149316714,5.5609044046529756e-09,1.4497160356637772e-08,-0.09227331317543098,"{""D"": 5.5609044046529756e-09, ""cp"": 3363.7152987508034, ""k"": 0.47579379149316714, ""rho"": 947.8962856392338}","{""D"": 5.646708651939923e-09, ""cp"": 3415.2957746478887, ""k"": 0.48295774647887346, ""rho"": 976.400000000001}","[[1.1866188349307725e-06, 0.00017305008857185225], [4.316268431564751e-10, 1.3539472305839596e-07], [4.2461577617832305e-14, 5.221270039417524e-11]]",301.1500000354698,301.20805587568583,2.327314731556515,2.550000000000008,0.0,0.0
120.0,bdf2,29.192,0.02053,3,9.394466603505868e-14,3.87590613199256e-11,2.787601260934025e-10,3.064215547965432e-14,-25.37659717147295,-25.386120818642155,0.009523647169203286,1.775719154948832e-06,1.7774207621423052e-06,-1.7016071934732586e-09,0.4727994626213017,5.548107949620846e-09,1.3959830021652977e-08,-0.19938212666361385,"{""D"": 5.548107949620846e-09, ""cp"": 3342.1561308733726, ""k"": 0.4727994626213017, ""rho"": 937.0151619427688}","{""D"": 5.65900093417548e-09, ""cp"": 3415.295774647887, ""k"": 0.48295774647887324, ""rho"": 976.3999999999999}","[[1.949242070379373e-06, 0.00011689064238997479], [6.621978410660516e-10, 9.531169370087118e-08], [9.394466603505868e-14, 3.87590613199256e-11]]",301.1500618673611,301.3265551672543,2.2423059526778815,2.549999999999999,0.0,0.0
180.0,bdf2,29.684,0.021,3,7.59884154805143e-14,3.246379200319636e-11,2.1964297047816217e-10,3.1086244689504383e-15,-34.19945568747716,-34.20850798866155,0.009052301184389933,1.7259189942215043e-06,1.727226916175996e-06,-1.3079219544917082e-09,0.4705044089482545,5.549012429449559e-09,1.3565608477345338e-08,-0.2686729934607212,"{""D"": 5.549012429449559e-09, ""cp"": 3325.6317444274327, ""k"": 0.4705044089482545, ""rho"": 929.0443065881593}","{""D"": 5.676536634121473e-09, ""cp"": 3415.2957746478837, ""k"": 0.4829577464788728, ""rho"": 976.3999999999978}","[[2.0128652749775957e-06, 9.223870497882367e-05], [7.266298894677925e-10, 7.713739067973144e-08], [7.59884154805143e-14, 3.246379200319636e-11]]",301.151168346985,301.46565968045354,2.180033645219995,2.5499999999999834,0.0,0.0
240.0,bdf2,30.037,0.02151,3,9.913553121561037e-14,2.860753028801615e-11,5.3432813729159534e-11,2.4868995751603507e-14,-39.57576566467773,-39.58368406299684,0.00791839831910579,1.6852930067317476e-06,1.68636875281299e-06,-1.075746081242511e-09,0.46857372470868763,5.5542411553081756e-09,1.3244709212603895e-08,-0.3108895276367442,"{""D"": 5.5542411553081756e-09, ""cp"": 3311.7308179025513, ""k"": 0.46857372470868763, ""rho"": 922.5722804500784}","{""D"": 5.696094760621476e-09, ""cp"": 3415.29577464788, ""k"": 0.48295774647887224, ""rho"": 976.3999999999958}","[[1.9109429028847058e-06, 7.767978544203856e-05], [7.283438476057783e-10, 6.618987049088148e-08], [9.913553121561037e-14, 2.860753028801615e-11]]",301.15627923884597,301.6036526374801,2.129470941016238,2.549999999999967,0.0,0.0
300.0,bdf2,30.834,0.02191,3,1.3617792255331672e-13,2.5661912681975545e-11,3.1604940886609256e-10,7.238654120556021e-14,-54.71657213134436,-54.72946118826911,0.012889056924755948,1.6507873872716727e-06,1.6516967672909654e-06,-9.093800192926581e-10,0.46688443594645934,5.5750364058516075e-09,1.2972396075196993e-08,-0.42984418291382864,"{""D"": 5.5750364058516075e-09, ""cp"": 3299.567938814507, ""k"": 0.46688443594645934, ""rho"": 917.0759627665545}","{""D"": 5.719804805014106e-09, ""cp"": 3415.295774647876, ""k"": 0.4829577464788717, ""rho"": 976.3999999999933}","[[3.0052105215123355e-06, 6.772428684137554e-05], [9.075473113647226e-10, 5.8107976643915153e-08], [1.3617792255331672e-13, 2.5661912681975545e-11]]",301.16909563554395,301.7948215524692,2.086530959113707,2.549999999999947,0.0,0.0
360.0,bdf2,31.293,0.02233,3,1.176424279916319e-13,2.3512869211564027e-11,2.546585164964199e-10,7.105427357601002e-15,-61.25071222336784,-61.261256243344064,0.010544019976222785,1.6205765216598857e-06,1.6213692509317158e-06,-7.927292718300737e-10,0.46537067236850727,5.599658127450586e-09,1.273420431868784e-08,-0.4811447814793002,"{""D"": 5.599658127450586e-09, ""cp"": 3288.6688410532524, ""k"": 0.46537067236850727, ""rho"": 912.2773201490745}","{""D"": 5.749567189963621e-09, ""cp"": 3415.2957746478705, ""k"": 0.482957746478871, ""rho"": 976.3999999999903}","[[2.706120182486882e-06, 6.041990392377422e-05], [9.209393720215188e-10, 5.231786367966417e-08], [1.176424279916319e-13, 2.3512869211564027e-11]]",301.1922003261631,301.9925497502662,2.049041563664645,2.5499999999999248,0.0,0.0
420.0,bdf2,31.82,0.02278,3,1.5405309620012332e-13,2.1745916614254753e-11,1.6984813555609435e-10,5.551115123125783e-14,-69.25271225302649,-69.26389531882364,0.011183065797155223,1.5935731694584105e-06,1.5942734914759885e-06,-7.003220175780013e-10,0.46398950627964797,5.62821509003401e-09,1.252139472159431e-08,-0.5439973617431877,"{""D"": 5.62821509003401e-09, ""cp"": 3278.7244452134655, ""k"": 0.46398950627964797, ""rho"": 907.9995986361582}","{""D"": 5.78155702022181e-09, ""cp"": 3415.2957746478687, ""k"": 0.4829577464788707, ""rho"": 976.3999999999892}","[[2.949799091879305e-06, 5.482621212434625e-05], [9.624095689542532e-10, 4.764226904053678e-08], [1.5405309620012332e-13, 2.1745916614254753e-11]]",301.22733276965124,302.199444187247,2.0156218643449857,2.549999999999915,0.0,0.0
480.0,bdf2,32.121,0.02325,3,1.4417912420267546e-13,2.0373855108449516e-11,4.013145371573046e-10,6.994405055138486e-14,-71.9160654620413,-71.92496842540237,0.00890296336106644,1.56907291033446e-06,1.5697028810756089e-06,-6.299707411488757e-10,0.462712961823716,5.655272138374736e-09,1.2328417598705693e-08,-0.5648973809393132,"{""D"": 5.655272138374736e-09, ""cp"": 3269.5333251307557, ""k"": 0.462712961823716, ""rho"": 904.1284609720974}","{""D"": 5.8151836209213375e-09, ""cp"": 3415.2957746478637, ""k"": 0.4829577464788699, ""rho"": 976.399999999986}","[[2.598528036343723e-06, 5.034129494753537e-05], [9.314191357751436e-10, 4.4036824905569504e-08], [1.4417912420267546e-13, 2.0373855108449516e-11]]",301.2762458998511,302.39400126298386,1.9853786013445112,2.549999999999891,0.0,0.0
540.0,bdf2,32.73,0.02377,3,1.382501663076708e-13,1.9042719471003002e-11,2.311253410880454e-10,3.708144902248023e-14,-81.58022450171751,-81.59205169263686,0.01182719091934814,1.5466499273930596e-06,1.54721552432706e-06,-5.655969340003314e-10,0.46152567410475376,5.690212133104363e-09,1.2151802311815896e-08,-0.6408224754954092,"{""D"": 5.687293382801572e-09, ""cp"": 3260.9848535542274, ""k"": 0.46152567410475376, ""rho"": 900.5970438923296}","{""D"": 5.850358819826738e-09, ""cp"": 3415.2957746478583, ""k"": 0.48295774647886924, ""rho"": 976.3999999999828}","[[3.275148000279277e-06, 4.6711756457298975e-05], [9.945606138634287e-10, 4.0652443677144506e-08], [1.382501663076708e-13, 1.9042719471003002e-11]]",301.3398056533063,302.6163179322945,1.957789405408825,2.5499999999998657,0.0,0.0
600.0,bdf2,33.202,0.02428,3,1.5447347531477848e-13,1.7930493691119192e-11,8.117240213323385e-11,1.532107773982716e-14,-87.56460888487901,-87.57561550378483,0.011006618905824439,1.5260424072792935e-06,1.5265564428180275e-06,-5.140355387339401e-10,0.46041665205238,5.7288245668824725e-09,1.1989546265105678e-08,-0.6878172757513069,"{""D"": 5.7061358243315204e-09, ""cp"": 3252.9998947771364, ""k"": 0.46041665205238, ""rho"": 897.3568708508844}","{""D"": 5.8898528223439205e-09, ""cp"": 3415.2957746478114, ""k"": 0.4829577464788627, ""rho"": 976.3999999999553}","[[3.2290869069839786e-06, 4.361246171175113e-05], [1.005924701904141e-09, 3.787988946478799e-08], [1.5447347531477848e-13, 1.7930493691119192e-11]]",301.4178385691201,302.8489753798486,1.9324755535225344,2.5499999999996503,0.0,0.0
