time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
43260.0,bdf2,50.165,0.04986,3,1.4944220352189076e-14,2.981128954804291e-10,2.3237589630298316e-10,8.881784197001252e-16,-4.791758689972427e-09,8.93862761586206e-10,-5.685621451558633e-09,9.088410292280793e-08,9.088898283285421e-08,-4.8799100462860285e-12,0.26339114996724056,1.0307736329797291e-09,7.138404018933073e-10,-2.3109462649745584e-11,"{""D"": 1.0307736329797291e-09, ""cp"": 1834.416279764132, ""k"": 0.26339114996724056, ""rho"": 670.9243172532567}","{""D"": 6.001217435195377e-09, ""cp"": 2304.33240079504, ""k"": 0.3286572778882, ""rho"": 708.1157625012885}","[[3.3404727846069677e-15, 3.077335555712324e-06], [2.0042836707641818e-14, 3.364302170183464e-08], [1.4944220352189076e-14, 2.981128954804291e-10]]",323.31500000003376,323.31500000004485,0.16347122854106777,0.4540293945413161,0.0,0.0
43320.0,bdf2,50.165,0.04986,3,2.4614009991840862e-15,2.998185311131607e-10,5.370566213969141e-10,3.3306690738754696e-16,-9.57883408211927e-09,5.272227099339943e-10,-1.0106056792053264e-08,9.05169127244833e-08,9.052176789404982e-08,-4.855169566528938e-12,0.2632622437014033,1.0228145580369577e-09,7.109563025103681e-10,-5.7065933257425094e-12,"{""D"": 1.0228145580369577e-09, ""cp"": 1833.4881546501035, ""k"": 0.2632622437014033, ""rho"": 670.865562863048}","{""D"": 5.991551325327716e-09, ""cp"": 2303.3778435230606, ""k"": 0.32852470048931404, ""rho"": 708.0213951031814}","[[4.39535892711444e-15, 3.0664555789594594e-06], [8.614903497144304e-15, 3.366234255230971e-08], [2.4614009991840862e-15, 2.998185311131607e-10]]",323.315000000021,323.31500000004445,0.1630122098675623,0.4532921492436042,0.0,0.0
43380.0,bdf2,50.165,0.04986,3,7.38420299755224e-15,3.0152866314914206e-10,3.192326403222978e-10,5.551115123125783e-16,-0.0,9.2228447101661e-10,-9.2228447101661e-10,9.015136133871508e-08,9.015619180682969e-08,-4.830468114608985e-12,0.2631338116209204,1.0149079163248365e-09,7.080850746269894e-10,3.121289146806672e-11,"{""D"": 1.0149079163248365e-09, ""cp"": 1832.563443670627, ""k"": 0.2631338116209204, ""rho"": 670.8070706890927}","{""D"": 5.9819036158268645e-09, ""cp"": 2302.425696283387, ""k"": 0.3283924578171371, ""rho"": 707.9273612455744}","[[1.933957927930348e-15, 3.0556203578502306e-06], [3.69210149877612e-15, 3.368130557790394e-08], [7.38420299755224e-15, 3.0152866314914206e-10]]",323.3150000000333,323.31500000004525,0.1625552397585371,0.4525575097310502,0.0,0.0
43440.0,bdf2,50.165,0.04986,3,5.80187378379105e-15,3.0324401323333916e-10,3.865352482534945e-10,6.661338147750939e-16,4.784759666654193e-09,8.128608897095546e-10,3.971898776944638e-09,8.978744363554945e-08,8.979224944148439e-08,-4.805805934934881e-12,0.26300585316012537,1.0070535525437242e-09,7.052266779777105e-10,9.351270533125466e-12,"{""D"": 1.0070535525437242e-09, ""cp"": 1831.6421427529028, ""k"": 0.26300585316012537, ""rho"": 670.7488399106375}","{""D"": 5.97227430712239e-09, ""cp"": 2301.4759539466613, ""k"": 0.3282605491592585, ""rho"": 707.8336595563334}","[[4.57117328419901e-15, 3.044829713916286e-06], [1.9339579279303504e-15, 3.369990816959323e-08], [5.80187378379105e-15, 3.0324401323333916e-10]]",323.3150000000325,323.315000000045,0.1621003118018555,0.45182546528385437,0.0,0.0
43500.0,bdf2,50.165,0.04986,3,8.26327478297515e-15,3.0496416503211776e-10,2.0600054995156825e-10,3.3306690738754696e-16,-0.0,7.87281351222191e-10,-7.87281351222191e-10,8.942515448864293e-08,8.942993567197903e-08,-4.78118333610455e-12,0.26287836774593065,9.992513093984315e-10,7.023810722837585e-10,3.765556300004757e-11,"{""D"": 9.992513093984315e-10, ""cp"": 1830.7242477707007, ""k"": 0.26287836774593065, ""rho"": 670.6908697075166}","{""D"": 5.962663399286639e-09, ""cp"": 2300.5286113747507, ""k"": 0.3281289738020487, ""rho"": 707.740288668791}","[[3.692101498776132e-15, 3.0340834697439867e-06], [7.560017354636844e-15, 3.371814633057468e-08], [8.26327478297515e-15, 3.0496416503211776e-10]]",323.3150000000308,323.31500000004434,0.1616474195899738,0.4510960052249295,0.0,0.0
43560.0,bdf2,50.165,0.04986,3,1.353770549551245e-14,3.066890075231754e-10,5.061338015366346e-10,8.881784197001252e-16,-4.780136788064728e-09,8.412825991399586e-10,-5.621419387204686e-09,8.906448877512676e-08,8.906924537573465e-08,-4.75660060788267e-12,0.26275135479777506,9.915010276160671e-10,6.995482173268406e-10,-5.026730434068151e-11,"{""D"": 9.915010276160671e-10, ""cp"": 1829.8097545439805, ""k"": 0.26275135479777506, ""rho"": 670.6331592601175}","{""D"": 5.953070892035767e-09, ""cp"": 2299.583663420946, ""k"": 0.3279977310306869, ""rho"": 707.647247221729}","[[1.2482819353004989e-14, 3.023381447975204e-06], [1.0197232710905481e-14, 3.373601770162438e-08], [1.353770549551245e-14, 3.066890075231754e-10]]",323.3150000000336,323.315000000045,0.16119655671966832,0.45036911891975784,0.0,0.0
43620.0,bdf2,50.165,0.04986,3,1.9339579279303385e-14,3.084192345959025e-10,1.8735590856522322e-10,3.885780586188048e-16,-0.0,1.1738165994756855e-09,-1.1738165994756855e-09,8.870544137536516e-08,8.871017343339818e-08,-4.732058033019426e-12,0.26262481372756674,9.838025459687415e-10,6.967280728870608e-10,7.759903639331193e-11,"{""D"": 9.838025459687415e-10, ""cp"": 1828.8986588384807, ""k"": 0.26262481372756674, ""rho"": 670.5757077493437}","{""D"": 5.943496784731796e-09, ""cp"": 2298.6411049301687, ""k"": 0.32786682012919005, ""rho"": 707.5545338593604}","[[8.614903497144262e-15, 3.0127234723620333e-06], [6.1535024979601886e-15, 3.375351931289572e-08], [1.9339579279303385e-14, 3.084192345959025e-10]]",323.31500000004087,323.31500000004695,0.16074771679174774,0.44964479577625277,0.0,0.0
43680.0,bdf2,50.165,0.04986,3,2.4614009991840637e-14,3.101546519612697e-10,5.729816621169448e-10,1.6653345369377348e-16,4.775548320886275e-09,9.166001291305292e-10,3.858948191755746e-09,8.834800717270228e-08,8.83527147286299e-08,-4.7075559276169275e-12,0.262498743939632,9.761557012938484e-10,6.939205987828002e-10,-6.743161187645411e-11,"{""D"": 9.761557012938484e-10, ""cp"": 1827.9909563653505, ""k"": 0.262498743939632, ""rho"": 670.5185143565808}","{""D"": 5.9339410763851506e-09, ""cp"": 2297.7009307391722, ""k"": 0.3277362403804406, ""rho"": 707.4621472313114}","[[1.599910649469642e-14, 3.0021093668231025e-06], [2.1449351564318265e-14, 3.377064786147521e-08], [2.4614009991840637e-14, 3.101546519612697e-10]]",323.31500000003666,323.3150000000474,0.16030089341078738,0.4489230252446206,0.0,0.0
43740.0,bdf2,50.165,0.04986,3,8.263274782975042e-15,3.118936775514669e-10,2.3078428057488054e-10,1.0547118733938987e-15,-0.0,6.536993168992922e-10,-6.536993168992922e-10,8.799218105328377e-08,8.799686414789776e-08,-4.683094613997679e-12,0.2623731448306665,9.685603285202101e-10,6.911257548575536e-10,8.848464428215248e-11,"{""D"": 9.685603285202101e-10, ""cp"": 1827.0866427807987, ""k"": 0.2623731448306665, ""rho"": 670.4615782636637}","{""D"": 5.924403765655492e-09, ""cp"": 2296.763135676716, ""k"": 0.3276059910662105, ""rho"": 707.3700859926015}","[[1.1252118853412825e-14, 2.9915389561097072e-06], [9.669789639651644e-15, 3.378740109916123e-08], [8.263274782975042e-15, 3.118936775514669e-10]]",323.31500000002615,323.31500000004854,0.1598560801848722,0.44820379681719924,0.0,0.0
43800.0,bdf2,50.165,0.04986,3,9.142346568397878e-15,3.1363808772333357e-10,4.31100488640368e-10,1.0824674490095276e-15,4.770994178500851e-09,4.007461029686965e-10,4.370248075532155e-09,8.763795790590343e-08,8.764261658026776e-08,-4.658674364337191e-12,0.2622480157896846,9.610162606877642e-10,6.883435009657743e-10,-6.020521923666554e-11,"{""D"": 9.610162606877642e-10, ""cp"": 1826.1857136857293, ""k"": 0.2622480157896846, ""rho"": 670.4048986528428}","{""D"": 5.914884850855538e-09, ""cp"": 2295.8277145637767, ""k"": 0.32747607146719115, ""rho"": 707.2783488036263}","[[1.5471663423442573e-14, 2.9810120655837657e-06], [9.669789639651609e-15, 3.3803776361418514e-08], [9.142346568397878e-15, 3.1363808772333357e-10]]",323.315000000016,323.31500000004996,0.1594132707253347,0.44748710002833,0.0,0.0
