time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
21600.0,bdf2,50.165,0.04986,3,5.3095979687264614e-14,1.9945801756462617e-09,8.249116945080459e-10,1.8629542353210127e-13,-0.0066748704505911255,-0.006674998758171569,1.2830758044316687e-07,3.8685191314267164e-07,3.868705203292534e-07,-1.860718658176948e-11,0.3421924690456533,6.955337719981983e-09,2.4307791691153022e-08,-0.0004194022110808646,"{""D"": 6.955337719981983e-09, ""cp"": 2401.785777128704, ""k"": 0.3421924690456533, ""rho"": 718.2813632526805}","{""D"": 1.0380866494347542e-08, ""cp"": 2828.5604447882615, ""k"": 0.4014667284428141, ""rho"": 779.9915979723851}","[[2.668733162743535e-09, 9.397510150459442e-05], [8.621943191601308e-13, 4.971508247420917e-07], [5.3095979687264614e-14, 1.9945801756462617e-09]]",323.31451948306454,323.31473300004967,0.5334481504115668,1.0155593591592584,0.0,0.0
43200.0,bdf2,50.165,0.04986,4,4.64149902703336e-14,2.0713977755271173e-10,2.216438588220626e-09,2.55351295663786e-15,-4.7941089852912975e-09,2.2026824808563106e-10,-5.0143772333769285e-09,9.125293587256063e-08,9.125784046729817e-08,-4.904594737541537e-12,0.2635205305245881,1.0387852663899302e-09,5.733899223890645e-09,8.126536096247103e-10,"{""D"": 1.0387852663899302e-09, ""cp"": 1835.3478197770346, ""k"": 0.2635205305245881, ""rho"": 670.9833344747677}","{""D"": 6.01090191197549e-09, ""cp"": 2305.2893699922033, ""k"": 0.32879019027669487, ""rho"": 708.2104644979585}","[[5.924943833751159e-14, 2.470813568572483e-05], [5.1161977911619934e-14, 7.281713116646937e-07], [9.493975282568646e-15, 1.765042509371817e-08], [4.64149902703336e-14, 2.0713977755271173e-10]]",323.31499999999147,323.3150000000088,0.16393230058412273,0.45476925389030065,0.0,0.0
64800.0,bdf2,50.165,0.04986,4,2.725122534811332e-14,1.6159207305577183e-09,3.880813892465085e-09,3.3306690738754696e-16,4.359850427012203e-09,-3.822719918389339e-10,4.742122418851137e-09,2.7473303500268185e-08,2.747343528732149e-08,-1.3178705330554267e-13,0.239511740282415,7.721075125881465e-11,1.7262068493499994e-09,-1.394907584786575e-10,"{""D"": 7.721075125881465e-11, ""cp"": 1662.4845300333882, ""k"": 0.239511740282415, ""rho"": 660.7778296459715}","{""D"": 3.5700513720439916e-09, ""cp"": 2078.0006179132215, ""k"": 0.29722230804350297, ""rho"": 688.1328760226284}","[[9.318160925483959e-15, 8.209365541633762e-06], [1.2482819353006828e-14, 4.2765955413082146e-07], [8.439089140060952e-15, 3.6618055379578074e-08], [2.725122534811332e-14, 1.6159207305577183e-09]]",323.3149999999847,323.31499999999943,0.08420179410915186,0.2979130939267842,0.0,0.0
86400.0,bdf2,50.165,0.04986,4,4.2547074414473145e-14,1.5165639716263613e-09,1.7589627532288432e-09,5.551115123125783e-17,-0.0,-5.4001247917767614e-11,5.4001247917767614e-11,1.3123305501175921e-08,1.3122995543743643e-08,3.0995743227772946e-13,0.23361537941698146,1.8170491833670086e-11,8.245421278634927e-10,3.835622830296616e-10,"{""D"": 1.8170491833670086e-11, ""cp"": 1620.0307318022665, ""k"": 0.23361537941698146, ""rho"": 658.481759286999}","{""D"": 2.423916049266332e-09, ""cp"": 1974.4274542215053, ""k"": 0.2828371464196535, ""rho"": 680.3524812100267}","[[8.614903497145374e-15, 3.85938831606869e-06], [1.1076304496329775e-14, 1.7543797597996402e-07], [4.2898703128642286e-14, 2.1646297143629312e-08], [4.2547074414473145e-14, 1.5165639716263613e-09]]",323.31499999999284,323.31500000000364,0.06626374442967956,0.2371287594533336,0.0,0.0
108000.0,bdf2,50.165,0.04986,4,7.208388640468689e-15,7.811688448877696e-10,4.823959898203611e-09,1.1102230246251565e-16,-4.216666091148923e-09,-3.097966327914037e-10,-3.906869458357519e-09,7.840788460867269e-09,7.84049031324921e-09,2.981476180588958e-13,0.23139461693959684,8.569232484822697e-12,4.926325353709964e-10,-6.415902404918688e-10,"{""D"": 8.569232484822697e-12, ""cp"": 1604.0412419650972, ""k"": 0.23139461693959684, ""rho"": 657.6365584501199}","{""D"": 1.8060525208430485e-09, ""cp"": 1916.020462627066, ""k"": 0.27472506425375914, ""rho"": 676.2780427022257}","[[2.197679463557498e-14, 2.258050816689172e-06], [7.20838864046856e-14, 7.816535675664316e-08], [6.118339626544173e-14, 1.0027625348130176e-08], [7.208388640468689e-15, 7.811688448877696e-10]]",323.31499999998755,323.3149999999992,0.059660612891561514,0.20529720861113812,0.0,0.0
129600.0,bdf2,50.165,0.04986,3,2.1800980278490457e-14,4.5934630404920185e-09,1.3390604181040544e-09,5.551115123125783e-17,-4.197213904279276e-09,5.968558980384842e-11,-4.256899494083124e-09,5.298512128643939e-09,5.2982666507211786e-09,2.454779227600582e-13,0.2303159729456063,5.605904729770393e-12,3.3289991173168635e-10,3.2623945488938626e-10,"{""D"": 5.605904729770393e-12, ""cp"": 1596.2750052083654, ""k"": 0.2303159729456063, ""rho"": 657.2298026641154}","{""D"": 1.4282114241291424e-09, ""cp"": 1877.9956573620198, ""k"": 0.26944384130028054, ""rho"": 673.7362829567828}","[[3.955823034403629e-14, 1.501209963478134e-06], [3.797590113027453e-14, 3.886483274789798e-08], [2.1800980278490457e-14, 4.5934630404920185e-09]]",323.3149999999863,323.3150000000024,0.056482833313401475,0.18543971059986553,0.0,0.0
151200.0,bdf2,50.165,0.04986,3,1.7229806994290186e-14,2.213214611579417e-09,3.7425706977956e-09,1.3877787807814457e-16,4.1857322648824575e-09,2.5721647034515627e-10,3.928515794537301e-09,3.868639880394753e-09,3.868438016934244e-09,2.0186346050892708e-13,0.229706452830765,4.3209796860592306e-12,2.4306112909521103e-10,4.190736373066163e-11,"{""D"": 4.3209796860592306e-12, ""cp"": 1591.886460381508, ""k"": 0.229706452830765, ""rho"": 657.0010300827095}","{""D"": 1.1759136938612709e-09, ""cp"": 1850.906252161068, ""k"": 0.26568142391125943, ""rho"": 671.9759914667702}","[[7.0325742833837485e-15, 1.0823544874249968e-06], [1.2131190638836954e-14, 2.1230603379496227e-08], [1.7229806994290186e-14, 2.213214611579417e-09]]",323.3150000000077,323.3150000000147,0.05469554752116781,0.17168743333414183,0.0,0.0
172800.0,bdf2,50.165,0.04986,3,8.087460425891674e-15,1.1369919589165889e-09,5.629772203974426e-10,6.938893903907228e-17,-0.0,-4.575895218295045e-10,4.575895218295045e-10,2.9778483742651686e-09,2.977680808294758e-09,1.6756597041047153e-13,0.22932568744705698,3.641938135786563e-12,1.8709320303781313e-10,6.279820974986947e-11,"{""D"": 3.641938135786563e-12, ""cp"": 1589.1449496188104, ""k"": 0.22932568744705698, ""rho"": 656.8585089293272}","{""D"": 9.96565549407534e-10, ""cp"": 1830.4076499338942, ""k"": 0.26283439582415197, ""rho"": 670.6708852616931}","[[2.2504237706829045e-14, 8.24825402812035e-07], [2.215260899265974e-14, 1.2513439430483775e-08], [8.087460425891674e-15, 1.1369919589165889e-09]]",323.314999999978,323.3150000000003,0.05358210101036845,0.16149129110697721,0.0,0.0
194400.0,bdf2,50.165,0.04986,2,4.5008475413657005e-14,7.866933764144601e-09,1.3375824892136734e-09,4.163336342344337e-17,-0.0,1.8758328224066645e-10,-1.8758328224066645e-10,2.3813838580512817e-09,2.3812446807783882e-09,1.391772728934972e-13,0.22907028314299122,3.234945910670409e-12,1.4961801590859348e-10,-1.2664967532338372e-10,"{""D"": 3.234945910670409e-12, ""cp"": 1587.3060386295367, ""k"": 0.22907028314299122, ""rho"": 656.7630791489246}","{""D"": 8.630263101246027e-10, ""cp"": 1814.2174988837346, ""k"": 0.26058576373385206, ""rho"": 669.656035001176}","[[3.569031448817346e-14, 6.542369016815375e-07], [4.5008475413657005e-14, 7.866933764144601e-09]]",323.3150000000003,323.3150000000075,0.05283655585097299,0.15356277344668742,0.0,0.0
216000.0,bdf2,50.165,0.04986,2,3.6569386273594007e-14,5.169168218466247e-09,2.1082087187096477e-09,5.551115123125783e-17,-0.0,6.977529665164184e-10,-6.977529665164184e-10,1.960040556596806e-09,1.959920963618622e-09,1.1959297818379596e-13,0.22888964689486035,2.9691181535781906e-12,1.2314546601451163e-10,5.163170238385977e-10,"{""D"": 2.9691181535781906e-12, ""cp"": 1586.0054576429948, ""k"": 0.22888964689486035, ""rho"": 656.695667354179}","{""D"": 7.599971673422396e-10, ""cp"": 1801.0164239725427, ""k"": 0.2587522811072976, ""rho"": 668.8387470337734}","[[1.722980699429011e-14, 5.348117545767028e-07], [3.6569386273594007e-14, 5.169168218466247e-09]]",323.314999999996,323.3150000000279,0.05230990120452328,0.14717771120135442,0.0,0.0
