time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
21600.0,bdf2,50.165,0.04986,3,1.4944240953767463e-14,1.985713604260324e-09,7.480593922082335e-10,9.414691248821327e-14,-0.010028253814881248,-0.010028476520886898,2.2270600564915088e-07,3.8763206552166224e-07,3.876506983193021e-07,-1.8632797639845707e-11,0.3423499663055634,6.966006842791534e-09,2.435681171998204e-08,-0.0006301079218191944,"{""D"": 6.966006842791534e-09, ""cp"": 2402.9197574000564, ""k"": 0.3423499663055634, ""rho"": 718.4061917310884}","{""D"": 1.0387687804223344e-08, ""cp"": 2829.5912326647385, ""k"": 0.40160989342565817, ""rho"": 780.1876558406525}","[[3.932198653971268e-09, 9.404208107738318e-05], [1.3826060101226581e-12, 4.961122223563467e-07], [1.4944240953767463e-14, 1.985713604260324e-09]]",323.3142367698812,323.3145542899324,0.5344233728991277,1.0170910612550972,0.0,0.0
43200.0,bdf2,50.165,0.04986,4,2.4614009991843578e-14,2.0599386085784488e-10,2.409251464996487e-09,3.83026943495679e-15,-4.795350473519549e-09,5.7553961596568115e-11,-4.852904435116117e-09,9.144787927765287e-08,9.145279693667198e-08,-4.91765901910435e-12,0.2635888720864539,1.0430265455247577e-09,5.746148700127339e-09,-3.8606970273008097e-10,"{""D"": 1.0430265455247577e-09, ""cp"": 1835.839879022468, ""k"": 0.2635888720864539, ""rho"": 671.0145275098675}","{""D"": 6.01601088129702e-09, ""cp"": 2305.7944533853433, ""k"": 0.32886034074796433, ""rho"": 708.2604865891155}","[[2.4438195634758607e-14, 2.475432964893498e-05], [3.05916981327196e-14, 7.280176411161854e-07], [1.3537705495513951e-14, 1.7599617263552858e-08], [2.4614009991843578e-14, 2.0599386085784488e-10]]",323.3150000000011,323.31500000000875,0.16417599617083997,0.45516005147746563,0.0,0.0
64800.0,bdf2,50.165,0.04986,4,2.478982434892723e-14,1.6145106640497175e-09,8.121787686832249e-10,2.220446049250313e-16,-0.0,3.5555558497435413e-10,-3.5555558497435413e-10,2.7510183466002844e-08,2.7510317115982307e-08,-1.3364997946317732e-13,0.23952664306431748,7.743688613432628e-11,1.728524202987911e-09,-3.509593166379961e-10,"{""D"": 7.743688613432628e-11, ""cp"": 1662.5918300630858, ""k"": 0.23952664306431748, ""rho"": 660.7837307385572}","{""D"": 3.5724008258345397e-09, ""cp"": 2078.2114258081338, ""k"": 0.29725158691779635, ""rho"": 688.1494915989242}","[[1.3889334209682598e-14, 8.22031993436001e-06], [5.977688140876055e-15, 4.282105342950926e-07], [1.529584906635921e-14, 3.662859572595156e-08], [2.478982434892723e-14, 1.6145106640497175e-09]]",323.3150000000066,323.3150000000211,0.08424789639497789,0.2980429031165957,0.0,0.0
86400.0,bdf2,50.165,0.04986,4,2.6372153562691015e-14,1.5176462864197049e-09,3.842615114990622e-09,5.551115123125783e-17,-4.255731255638244e-09,-2.0719426174764521e-10,-4.048536993890599e-09,1.3134876515809197e-08,1.3134566653472746e-08,3.0986233645122403e-13,0.2336202137152893,1.8197440628152247e-11,8.252691621273413e-10,2.2439893836367238e-10,"{""D"": 1.8197440628152247e-11, ""cp"": 1620.065538750083, ""k"": 0.2336202137152893, ""rho"": 658.4836106645556}","{""D"": 2.4250996029050013e-09, ""cp"": 1974.5365221107793, ""k"": 0.2828522947376082, ""rho"": 680.3602910477471}","[[1.3361891138429947e-14, 3.862919461194991e-06], [7.735831711722656e-15, 1.756595287977225e-07], [2.144935156432146e-14, 2.1668964678145386e-08], [2.6372153562691015e-14, 1.5176462864197049e-09]]",323.31499999998107,323.3149999999908,0.06627820831684093,0.23718977381052408,0.0,0.0
108000.0,bdf2,50.165,0.04986,4,1.0900490139245243e-14,7.820624772780782e-10,3.2914613257162273e-09,5.551115123125783e-17,-0.0,4.348521542851813e-11,-4.348521542851813e-11,7.845874667467543e-09,7.845576450608088e-09,2.9821685945538336e-13,0.2313967684601766,8.576122265059739e-12,4.92952106807338e-10,3.741763255993385e-10,"{""D"": 8.576122265059739e-12, ""cp"": 1604.0567329132714, ""k"": 0.2313967684601766, ""rho"": 657.6373722320973}","{""D"": 1.8067408318108939e-09, ""cp"": 1916.0876852691904, ""k"": 0.274734400731832, ""rho"": 676.2826115913342}","[[2.971262634729716e-14, 2.2595771224653838e-06], [2.971262634729781e-14, 7.825148123918879e-08], [2.689959663394366e-14, 1.0039256211069603e-08], [1.0900490139245243e-14, 7.820624772780782e-10]]",323.3149999999931,323.31500000000193,0.05966697056326011,0.20533290305729898,0.0,0.0
129600.0,bdf2,50.165,0.04986,3,5.801873783791606e-14,4.598573979941456e-09,1.1086740414611995e-09,5.551115123125783e-17,-4.197235084628146e-09,3.1590730031894054e-10,-4.513142384947087e-09,5.30121060957123e-09,5.300965061636925e-09,2.4554793430470946e-13,0.2303171212986314,5.6085723300443165e-12,3.3306945789024725e-10,5.09307852067516e-10,"{""D"": 5.6085723300443165e-12, ""cp"": 1596.2832733501461, ""k"": 0.2303171212986314, ""rho"": 657.230234409862}","{""D"": 1.4286549218749273e-09, ""cp"": 1878.041855927087, ""k"": 0.26945025776765097, ""rho"": 673.7393202729313}","[[6.680945569214736e-15, 1.5020058306280948e-06], [3.270147041773552e-14, 3.890174480464248e-08], [5.801873783791606e-14, 4.598573979941456e-09]]",323.3149999999968,323.31500000001404,0.05648620632704616,0.18546343963227616,0.0,0.0
151200.0,bdf2,50.165,0.04986,3,1.4944220352191297e-14,2.215478266121007e-09,2.661181497387588e-09,5.551115123125783e-17,4.185745577830773e-09,-7.290168468898628e-11,4.258647262519759e-09,3.8702541003811185e-09,3.870052179994154e-09,2.0192038696453206e-13,0.2297071420953392,4.32229127604018e-12,2.431625499522088e-10,4.66293828954157e-11,"{""D"": 4.32229127604018e-12, ""cp"": 1591.8914230864423, ""k"": 0.2297071420953392, ""rho"": 657.0012883487991}","{""D"": 1.1762208178693073e-09, ""cp"": 1850.9403459756973, ""k"": 0.26568615916329125, ""rho"": 671.9781812410841}","[[1.6878178280121803e-14, 1.0828237952120734e-06], [5.626059426707238e-15, 2.1248125640915827e-08], [1.4944220352191297e-14, 2.215478266121007e-09]]",323.31499999997357,323.3149999999968,0.054697565224992695,0.17170454094596946,0.0,0.0
172800.0,bdf2,50.165,0.04986,3,5.256849276829767e-14,1.1380481557132782e-09,1.9545041141100228e-09,4.163336342344337e-17,4.178229458123245e-09,-3.6067149267182685e-10,4.538900950795072e-09,2.978897514790594e-09,2.9787299049152727e-09,1.6760987532145848e-13,0.22932613636998747,3.642686762129816e-12,1.8715911972511662e-10,1.9926142871614673e-11,"{""D"": 3.642686762129816e-12, ""cp"": 1589.14818186391, ""k"": 0.22932613636998747, ""rho"": 656.8586767847864}","{""D"": 9.96789732401462e-10, ""cp"": 1830.4340891157672, ""k"": 0.26283806793274544, ""rho"": 670.6725539632805}","[[3.938241598695138e-14, 8.251268718562077e-07], [2.813029713353619e-14, 1.2522526099401077e-08], [5.256849276829767e-14, 1.1380481557132782e-09]]",323.31499999998294,323.31499999998925,0.05358341238114409,0.16150432783812854,0.0,0.0
194400.0,bdf2,50.165,0.04986,2,5.555733683873335e-14,7.872034607503409e-09,5.24948973179562e-10,5.551115123125783e-17,-0.0,-7.673861546209082e-11,7.673861546209082e-11,2.3821083215348176e-09,2.3819691122077713e-09,1.3920932704634203e-13,0.22907059357651047,3.2354181281783968e-12,1.4966353327636928e-10,-1.1980106026844878e-10,"{""D"": 3.2354181281783968e-12, ""cp"": 1587.3082737508755, ""k"": 0.22907059357651047, ""rho"": 656.7631950579532}","{""D"": 8.631966083954692e-10, ""cp"": 1814.2387588081529, ""k"": 0.2605887165011323, ""rho"": 669.6573585560471}","[[3.885497291569524e-14, 6.544430640742505e-07], [5.555733683873335e-14, 7.872034607503409e-09]]",323.3149999999929,323.31500000000466,0.052837461390259716,0.15357311371911833,0.0,0.0
216000.0,bdf2,50.165,0.04986,2,1.4768405995106317e-14,5.172183875634673e-09,3.181412466801703e-09,5.551115123125783e-17,-4.169101331991985e-09,1.1382894626876805e-10,-4.282930278260753e-09,1.960564416378924e-09,1.9604447978677995e-09,1.1961851112469207e-13,0.2288898715932272,2.969437891421206e-12,1.2317837949041172e-10,7.90150018479099e-11,"{""D"": 2.969437891421206e-12, ""cp"": 1586.007075471236, ""k"": 0.2288898715932272, ""rho"": 656.6957511676588}","{""D"": 7.601306251579146e-10, ""cp"": 1801.0339968111225, ""k"": 0.25875472177932257, ""rho"": 668.8398289668472}","[[1.1603747567583703e-14, 5.349596134129886e-07], [1.4768405995106317e-14, 5.172183875634673e-09]]",323.31499999998965,323.31500000000506,0.05231055599733475,0.14718616380349406,0.0,0.0
