time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
21600.0,bdf2,50.165,0.04986,3,2.971265443961587e-14,1.1761681879792897e-09,1.1805241229012609e-09,9.781064846947629e-14,-0.0076419223174815105,-0.007642087203407755,1.648859262442376e-07,3.9877518383322236e-07,3.9879528294741523e-07,-2.0099114192863887e-11,0.35305420694344847,7.67313507968204e-09,2.5057046623874807e-08,-0.0004801659183618744,"{""D"": 7.67313507968204e-09, ""cp"": 2479.9902899928293, ""k"": 0.35305420694344847, ""rho"": 727.2790191906516}","{""D"": 1.0629762437693923e-08, ""cp"": 2866.133222998701, ""k"": 0.4066851698609307, ""rho"": 787.3358703335672}","[[2.956731384765615e-09, 8.990329127802061e-05], [8.683479306347024e-13, 3.8064602447078355e-07], [2.971265443961587e-14, 1.1761681879792897e-09]]",323.3144559134827,323.31469431651186,0.6037423374269656,1.0729364869809939,0.0,0.0
43200.0,bdf2,50.165,0.04986,3,1.0724675782160272e-14,9.352032731557713e-09,4.652974894270301e-09,8.326672684688674e-15,-4.958855123628552e-09,2.8421709430404007e-12,-4.961697294571593e-09,1.0606931578173614e-07,1.0607567519693252e-07,-6.3594151963722084e-12,0.27258935628780184,1.6503603979691144e-09,6.664931238460295e-09,1.4510911695725457e-10,"{""D"": 1.6503603979691144e-09, ""cp"": 1900.6433652721735, ""k"": 0.27258935628780184, ""rho"": 675.239977812788}","{""D"": 6.376988178712666e-09, ""cp"": 2341.920751585558, ""k"": 0.33387788216466086, ""rho"": 711.909408883112}","[[1.2658633710090821e-14, 2.727458519186099e-05], [9.493975282568111e-15, 5.883676998108545e-07], [1.0724675782160272e-14, 9.352032731557713e-09]]",323.31500000000005,323.31500000001313,0.1971873266624063,0.48366725689931195,0.0,0.0
64800.0,bdf2,50.165,0.04986,4,4.3953589271148415e-14,9.765576541864718e-10,6.71207089908421e-10,6.938893903907228e-16,-0.0,3.723243935382925e-10,-3.723243935382925e-10,3.0972636169890224e-08,3.09732722945232e-08,-6.361246329747047e-13,0.24229435565056517,1.2720499847171878e-10,1.9461080939598182e-09,2.1996138351655342e-10,"{""D"": 1.2720499847171878e-10, ""cp"": 1682.5193606840692, ""k"": 0.24229435565056517, ""rho"": 661.8884395190263}","{""D"": 3.768580271881081e-09, ""cp"": 2095.8282272224983, ""k"": 0.2996983648920137, ""rho"": 689.5498657866908}","[[1.4240962923852508e-14, 9.107364592919609e-06], [1.916376492222146e-14, 4.566121507287857e-07], [2.3910752563505325e-14, 2.9737452542089038e-08], [4.3953589271148415e-14, 9.765576541864718e-10]]",323.3149999999928,323.3150000000149,0.09287843374239334,0.308983326458522,0.0,0.0
86400.0,bdf2,50.165,0.04986,4,2.4614009991842793e-14,1.265636442870921e-09,4.1891325963661075e-09,1.6653345369377348e-16,-4.274207924975267e-09,4.774847184307873e-10,-4.751692643406054e-09,1.4163598492319287e-08,1.4163389692062768e-08,2.0880025651901911e-13,0.23470420500571415,2.5001713747684405e-11,8.89912020124259e-10,-9.957349699497377e-11,"{""D"": 2.5001713747684405e-11, ""cp"": 1627.8702760411418, ""k"": 0.23470420500571415, ""rho"": 658.9000159452556}","{""D"": 2.5256461818631278e-09, ""cp"": 1983.7748121236928, ""k"": 0.28413539057273507, ""rho"": 681.0246092579295}","[[3.445961398858042e-14, 4.1644996875978e-06], [4.746987641284051e-15, 1.9870709713765144e-07], [1.4592591638021346e-14, 2.1284735557403067e-08], [2.4614009991842793e-14, 1.265636442870921e-09]]",323.3150000000006,323.3150000000191,0.0695313745723094,0.2423797598275737,0.0,0.0
108000.0,bdf2,50.165,0.04986,4,3.3053099131903765e-14,7.52825024541437e-10,2.558408596087247e-09,1.1102230246251565e-16,-0.0,-7.958078640513122e-11,7.958078640513122e-11,8.287987981479265e-09,8.287722476539937e-09,2.655049393273095e-13,0.23197241283149628,1.057356135311274e-11,5.20732960944164e-10,-5.296327932985406e-10,"{""D"": 1.057356135311274e-11, ""cp"": 1608.2013723867733, ""k"": 0.23197241283149628, ""rho"": 657.8554528847183}","{""D"": 1.8651274949744925e-09, ""cp"": 1921.767844589676, ""k"": 0.27552331174856615, ""rho"": 676.6696522099941}","[[8.087460425891221e-15, 2.3901191671393818e-06], [2.0570279778897435e-14, 8.995932809785501e-08], [1.9691207993474268e-14, 1.0659557951597787e-08], [3.3053099131903765e-14, 7.52825024541437e-10]]",323.314999999995,323.31500000001336,0.061370725661861025,0.20835665789057853,0.0,0.0
129600.0,bdf2,50.165,0.04986,3,2.7954482776452705e-14,5.069812070157553e-09,1.2560121831484139e-09,5.551115123125783e-17,-0.0,-5.115907697472721e-10,5.115907697472721e-10,5.533098344709201e-09,5.532866789246998e-09,2.31555462202995e-13,0.23067707162150763,6.493573636444136e-12,3.4764027316665673e-10,1.9325091486291584e-11,"{""D"": 6.493573636444136e-12, ""cp"": 1598.8749156748552, ""k"": 0.23067707162150763, ""rho"": 657.3657007625328}","{""D"": 1.4661606701091844e-09, ""cp"": 1881.9332525724963, ""k"": 0.2699907295239578, ""rho"": 673.995596651446}","[[2.6372153562691056e-14, 1.5697972341466304e-06], [2.883355456187571e-14, 4.484714727359673e-08], [2.7954482776452705e-14, 5.069812070157553e-09]]",323.31499999997953,323.3149999999881,0.0575445372072875,0.187465598839422,0.0,0.0
151200.0,bdf2,50.165,0.04986,3,1.7229806994290764e-14,2.4876540272167347e-09,5.120455170981586e-10,5.551115123125783e-17,4.189822345817899e-09,9.663381206337363e-11,4.0931885337545255e-09,4.008005829803556e-09,4.007810868368527e-09,1.9496143502926627e-13,0.22995594712654502,4.816120426676276e-12,2.518181836193897e-10,-5.940238769428842e-12,"{""D"": 4.816120426676276e-12, ""cp"": 1593.6828193111241, ""k"": 0.22995594712654502, ""rho"": 657.0945797099322}","{""D"": 1.2021253248432065e-09, ""cp"": 1853.8049874284993, ""k"": 0.26608402603173603, ""rho"": 672.1623998474541}","[[5.502989376747696e-14, 1.122639903233802e-06], [3.234984170356578e-14, 2.4449059395081907e-08], [1.7229806994290764e-14, 2.4876540272167347e-09]]",323.31499999999176,323.3150000000039,0.05542640398384518,0.17314374880823544,0.0,0.0
172800.0,bdf2,50.165,0.04986,3,3.621775755942727e-14,1.2888396877519526e-09,2.2018866729922593e-09,2.7755575615628914e-17,4.181266750776327e-09,-2.8421709430404007e-11,4.209688460206731e-09,3.0680103055360917e-09,3.0678465709444195e-09,1.6373459167213298e-13,0.22951004034214645,3.959528610057317e-12,1.927584849881359e-10,-4.2730552022205753e-11,"{""D"": 3.959528610057317e-12, ""cp"": 1590.4722904634546, ""k"": 0.22951004034214645, ""rho"": 656.9274749459456}","{""D"": 1.0156592002865363e-09, ""cp"": 1832.651425904067, ""k"": 0.26314603137556486, ""rho"": 670.8126339866743}","[[2.6899596633943584e-14, 8.506204501879111e-07], [6.540294083546972e-14, 1.4360746321273599e-08], [3.621775755942727e-14, 1.2888396877519526e-09]]",323.31499999999886,323.31500000000614,0.054120898015200584,0.16259870302089324,0.0,0.0
194400.0,bdf2,50.165,0.04986,2,1.1955376281752683e-14,8.995057303173848e-09,5.768015398643911e-09,5.551115123125783e-17,4.175344101142162e-09,1.5774048733874224e-10,4.0176036138034195e-09,2.4434387008496175e-09,2.4433021116669957e-09,1.3658918262175713e-13,0.22921315337312848,3.4579991134117403e-12,1.5351719928884337e-10,4.538182396168693e-10,"{""D"": 3.4579991134117403e-12, ""cp"": 1588.334704286525, ""k"": 0.22921315337312848, ""rho"": 656.8164448198519}","{""D"": 8.775073098557569e-10, ""cp"": 1816.0192394663363, ""k"": 0.2608360054814356, ""rho"": 669.7682881784835}","[[1.1779561924668177e-14, 6.71832068949163e-07], [1.1955376281752683e-14, 8.995057303173848e-09]]",323.3149999999911,323.31500000000636,0.05325347515509305,0.1544397513944026,0.0,0.0
216000.0,bdf2,50.165,0.04986,2,2.3031680778083132e-14,5.8901416383205785e-09,2.35741026699543e-09,4.163336342344337e-17,-4.1710284722888206e-09,-6.281197784119286e-10,-3.542908693876892e-09,2.0048027793504576e-09,2.0046848212590497e-09,1.1795809140792245e-13,0.2290043573077545,3.1358692374375814e-12,1.2595806214343664e-10,-3.483290144327204e-10,"{""D"": 3.1358692374375814e-12, ""cp"": 1586.8313726158326, ""k"": 0.2290043573077545, ""rho"": 656.7384684126682}","{""D"": 7.71331202141699e-10, ""cp"": 1802.5041301973138, ""k"": 0.25895890697184915, ""rho"": 668.9303993503422}","[[1.1427933210499284e-14, 5.474052129361695e-07], [2.3031680778083132e-14, 5.8901416383205785e-09]]",323.3149999999745,323.31499999999573,0.052644284473970904,0.14789374492454874,0.0,0.0
