time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
21600.0,bdf2,50.165,0.04986,3,3.199823638523239e-14,3.143846960540486e-09,1.154148776549846e-09,5.2513549064769904e-14,-0.005909773977108678,-0.005909875984855262,1.0200774658384454e-07,3.7343743799525694e-07,3.734545698543187e-07,-1.713185906175957e-11,0.3322401032069773,6.260078034928388e-09,2.3464842662068342e-08,-0.0003713283334216518,"{""D"": 6.260078034928388e-09, ""cp"": 2330.128743090236, ""k"": 0.3322401032069773, ""rho"": 710.7027447060827}","{""D"": 1.0152987161872222e-08, ""cp"": 2795.127132972906, ""k"": 0.3968232129129037, ""rho"": 773.7900868600221}","[[2.432446856340232e-09, 9.398903106094814e-05], [8.701058893984067e-13, 6.122375872941177e-07], [3.199823638523239e-14, 3.143846960540486e-09]]",323.31457021518173,323.3147636049606,0.47424019301627124,0.9671100535939231,0.0,0.0
43200.0,bdf2,50.165,0.04986,4,6.628201262089227e-14,4.955976740106394e-10,2.4392647901549935e-09,8.049116928532385e-16,-0.0,3.154809746774845e-10,-3.154809746774845e-10,7.969190768074896e-08,7.969538168651604e-08,-3.474005767079059e-12,0.25679028563940814,6.560507461981197e-10,5.007408512624133e-09,4.2520157176360206e-10,"{""D"": 6.560507461981197e-10, ""cp"": 1786.8900566037387, ""k"": 0.25679028563940814, ""rho"": 667.9741355180387}","{""D"": 5.722190185282535e-09, ""cp"": 2277.0103075880315, ""k"": 0.32486254272056, ""rho"": 705.4520120208294}","[[2.883355456187488e-14, 2.260937232778648e-05], [1.9339579279306032e-14, 8.338349589409599e-07], [3.551450013109005e-14, 2.9250162736360608e-08], [6.628201262089227e-14, 4.955976740106394e-10]]",323.31499999999284,323.3150000000126,0.14042293373467732,0.43321884391273047,0.0,0.0
64800.0,bdf2,50.165,0.04986,4,1.846050749388349e-14,2.299874277134073e-09,1.8144419300369918e-09,1.6653345369377348e-16,-0.0,-1.3926637620897964e-10,1.3926637620897964e-10,2.516011443190348e-08,2.5159950993368373e-08,1.6343853510795596e-13,0.23764272864040362,5.2183566174861126e-11,1.5808463441060909e-09,5.020607046110028e-10,"{""D"": 5.2183566174861126e-11, ""cp"": 1649.0276462109061, ""k"": 0.23764272864040362, ""rho"": 660.041709235399}","{""D"": 3.4244968956398125e-09, ""cp"": 2064.9441492748037, ""k"": 0.29540890962150057, ""rho"": 687.1102208743173}","[[3.375635656024355e-14, 7.569496496662165e-06], [1.7933064422629582e-14, 3.9682086656889215e-07], [3.024006941855204e-14, 4.164007622042831e-08], [1.846050749388349e-14, 2.299874277134073e-09]]",323.31499999998886,323.31499999999465,0.07845085340155497,0.28992360058060357,0.0,0.0
86400.0,bdf2,50.165,0.04986,4,6.118339626544026e-14,1.7040684835434305e-09,3.9599399315193295e-09,1.1102230246251565e-16,4.2426456678693535e-09,1.2789769243681803e-11,4.229855898625672e-09,1.2392195295919287e-08,1.2391820747084482e-08,3.745488348047196e-13,0.2328375440659653,1.4199015176675449e-11,7.786010604680052e-10,-3.052727223225006e-10,"{""D"": 1.4199015176675449e-11, ""cp"": 1614.4303172749503, ""k"": 0.2328375440659653, ""rho"": 658.1845266541213}","{""D"": 2.3489785590600007e-09, ""cp"": 1967.5050903681645, ""k"": 0.2818757069955784, ""rho"": 679.8583743778424}","[[3.463542834566555e-14, 3.641760267875105e-06], [4.0613116486541175e-14, 1.5650184027882208e-07], [1.7933064422628254e-14, 2.146504730904386e-08], [6.118339626544026e-14, 1.7040684835434305e-09]]",323.3149999999868,323.315000000006,0.06394161448532328,0.2332685498268939,0.0,0.0
108000.0,bdf2,50.165,0.04986,3,6.891922797716096e-14,9.384417062885397e-09,5.884430720470846e-10,8.326672684688674e-17,-0.0,3.439026841078885e-10,-3.439026841078885e-10,7.517003976307412e-09,7.516688462637445e-09,3.15513669966607e-13,0.23096807188123866,7.283318559483596e-12,4.722874650664073e-10,5.619380103334643e-10,"{""D"": 7.283318559483596e-12, ""cp"": 1600.9701175449186, ""k"": 0.23096807188123866, ""rho"": 657.4754165036563}","{""D"": 1.762054857674109e-09, ""cp"": 1911.7103394336743, ""k"": 0.2741264360324548, ""rho"": 675.9856624563795}","[[9.6697896396529e-15, 2.162086800400198e-06], [3.639357191651183e-14, 6.905052232775155e-08], [6.891922797716096e-14, 9.384417062885397e-09]]",323.31500000000375,323.31500000001375,0.05840169143481528,0.2030129879404644,0.0,0.0
129600.0,bdf2,50.165,0.04986,3,2.4614009991845298e-14,4.182660141849315e-09,4.133653419557959e-09,8.326672684688674e-17,4.192819887416219e-09,-4.078515303262975e-10,4.600671417742517e-09,5.125748922212051e-09,5.125493663829088e-09,2.552583829629589e-13,0.23004394576768747,5.00075307383319e-12,3.2204426480306565e-10,2.6676926831099377e-10,"{""D"": 5.00075307383319e-12, ""cp"": 1594.3164095273498, ""k"": 0.23004394576768747, ""rho"": 657.1276063511024}","{""D"": 1.3997033511930468e-09, ""cp"": 1875.0167087476852, ""k"": 0.2690300984371785, ""rho"": 673.5406889031307}","[[6.997411411967484e-14, 1.450650936124509e-06], [5.2920121482467664e-14, 3.429659136550134e-08], [2.4614009991845298e-14, 4.182660141849315e-09]]",323.3149999999792,323.3149999999862,0.0556844246179876,0.18391163205570818,0.0,0.0
151200.0,bdf2,50.165,0.04986,3,1.8987950565135986e-14,1.989345368991202e-09,1.5434125089086592e-09,8.326672684688674e-17,-0.0,6.536993168992922e-11,-6.536993168992922e-11,3.76485454787641e-09,3.764647701698239e-09,2.0684617817056177e-13,0.22951589180442372,3.9699476621441915e-12,2.365397912585378e-10,4.594593737798508e-11,"{""D"": 3.9699476621441915e-12, ""cp"": 1590.5144209918508, ""k"": 0.22951589180442372, ""rho"": 656.929665120247}","{""D"": 1.1560968475603877e-09, ""cp"": 1848.6997484335066, ""k"": 0.26537496506020924, ""rho"": 671.8344082089092}","[[1.2131190638836868e-14, 1.052350029617788e-06], [3.4459613988580095e-14, 1.8780004627794167e-08], [1.8987950565135986e-14, 1.989345368991202e-09]]",323.31500000000096,323.3150000000171,0.05413800875192982,0.1705813141321027,0.0,0.0
172800.0,bdf2,50.165,0.04986,3,2.2504237706828007e-14,1.0161321853385807e-09,4.177422852080781e-10,6.938893903907228e-17,-0.0,7.531752999057062e-11,-7.531752999057062e-11,2.910176473312329e-09,2.9100060771326027e-09,1.7039617972644981e-13,0.22918346937259992,3.410702447648492e-12,1.8284107427392187e-10,6.35732669281847e-10,"{""D"": 3.410702447648492e-12, ""cp"": 1588.1209794827196, ""k"": 0.22918346937259992, ""rho"": 656.8053536112193}","{""D"": 9.820602022251627e-10, ""cp"": 1828.6920773336667, ""k"": 0.2625961218518981, ""rho"": 670.562687391252}","[[3.498705705983415e-14, 8.054673729940287e-07], [4.957964869785544e-14, 1.110406908783057e-08], [2.2504237706828007e-14, 1.0161321853385807e-09]]",323.3149999999988,323.3150000000146,0.053166825087650686,0.16064599524415585,0.0,0.0
194400.0,bdf2,50.165,0.04986,2,4.588754719907765e-14,7.002844637504779e-09,3.774403012357652e-10,5.551115123125783e-17,-0.0,5.272227099339943e-10,-5.272227099339943e-10,2.3345359814849823e-09,2.3343948551707384e-09,1.4112631424390122e-13,0.22895923320999237,3.0694266423347417e-12,1.4667435454906994e-10,-1.631289962325536e-10,"{""D"": 3.0694266423347417e-12, ""cp"": 1586.5064791119453, ""k"": 0.22895923320999237, ""rho"": 656.7216283425703}","{""D"": 8.519838261530093e-10, ""cp"": 1812.8352769204173, ""k"": 0.26039378846116906, ""rho"": 669.5700344751231}","[[2.7602854062279408e-14, 6.409566684628665e-07], [4.588754719907765e-14, 7.002844637504779e-09]]",323.31500000000716,323.315000000024,0.052512721426330386,0.1528908943368993,0.0,0.0
216000.0,bdf2,50.165,0.04986,2,4.746987641284065e-15,4.614678132675021e-09,2.5129338609986007e-09,2.7755575615628914e-17,-0.0,3.097966327914037e-10,-3.097966327914037e-10,1.92609551547945e-09,1.925974669826077e-09,1.208456533731494e-13,0.22879995918217155,2.8436216268735294e-12,1.2101255747150916e-10,-3.101356963557744e-11,"{""D"": 2.8436216268735294e-12, ""cp"": 1585.3597061116352, ""k"": 0.22879995918217155, ""rho"": 656.6622217701565}","{""D"": 7.513285689334875e-10, ""cp"": 1799.8721401544767, ""k"": 0.25859335279923285, ""rho"": 668.7683295155324}","[[1.6526549565951917e-14, 5.252641311903616e-07], [4.746987641284065e-15, 4.614678132675021e-09]]",323.31500000000176,323.3150000000124,0.052048607579347816,0.14662757434009724,0.0,0.0
