time_s,radius_cm,temperature_signed_error_C,temperature_absolute_error_C,moisture_signed_error,moisture_absolute_error
21600.0,0.0,2.0017409951833542e-09,2.0017409951833542e-09,-1.3613136906620582e-06,1.3613136906620582e-06
21600.0,0.1,1.9998651623609476e-09,1.9998651623609476e-09,-1.3648119963072247e-06,1.3648119963072247e-06
21600.0,0.2,1.9939534467994235e-09,1.9939534467994235e-09,-1.3750120921862674e-06,1.3750120921862674e-06
21600.0,0.3,1.9833805708913133e-09,1.9833805708913133e-09,-1.3912935028503881e-06,1.3912935028503881e-06
21600.0,0.4,1.9684307517309207e-09,1.9684307517309207e-09,-1.4130471041040593e-06,1.4130471041040593e-06
21600.0,0.5,1.948819772223942e-09,1.948819772223942e-09,-1.438710619638961e-06,1.438710619638961e-06
21600.0,0.6,1.9244339455326553e-09,1.9244339455326553e-09,-1.4628187904319745e-06,1.4628187904319745e-06
21600.0,0.7,1.8945343072118703e-09,1.8945343072118703e-09,-1.4881119305698576e-06,1.4881119305698576e-06
21600.0,0.8,1.8587229533295613e-09,1.8587229533295613e-09,-1.5057386203443102e-06,1.5057386203443102e-06
21600.0,0.9,1.8179093785875011e-09,1.8179093785875011e-09,-1.5168495967055051e-06,1.5168495967055051e-06
21600.0,1.0,1.7715819922159426e-09,1.7715819922159426e-09,-1.5211921977620335e-06,1.5211921977620335e-06
21600.0,1.1,1.7189449863508344e-09,1.7189449863508344e-09,-1.509110905129063e-06,1.509110905129063e-06
21600.0,1.2,1.660112047829898e-09,1.660112047829898e-09,-1.4741469049894818e-06,1.4741469049894818e-06
21600.0,1.3,1.5949126463965513e-09,1.5949126463965513e-09,-1.408441145378525e-06,1.408441145378525e-06
21600.0,1.4,1.5202203940134495e-09,1.5202203940134495e-09,-1.2715896573478602e-06,1.2715896573478602e-06
21600.0,1.5,1.4370016288012266e-09,1.4370016288012266e-09,-1.0476817050575349e-06,1.0476817050575349e-06
21600.0,1.6,1.345711098110769e-09,1.345711098110769e-09,-7.309030330970856e-07,7.309030330970856e-07
21600.0,1.7,1.2494183465605602e-09,1.2494183465605602e-09,-3.2038315544991036e-07,3.2038315544991036e-07
21600.0,1.8,1.1445422387623694e-09,1.1445422387623694e-09,1.965564718764412e-07,1.965564718764412e-07
21600.0,1.9,1.0414282769488636e-09,1.0414282769488636e-09,7.700267692367646e-07,7.700267692367646e-07
21600.0,2.0,9.53662038227776e-10,9.53662038227776e-10,1.1197704803400654e-06,1.1197704803400654e-06
86400.0,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-2.9590679655550067e-05,2.9590679655550067e-05
86400.0,0.1,-1.4210854715202004e-12,1.4210854715202004e-12,-2.9672622455761966e-05,2.9672622455761966e-05
86400.0,0.2,-4.547473508864641e-13,4.547473508864641e-13,-2.9919704950143178e-05,2.9919704950143178e-05
86400.0,0.3,-4.547473508864641e-13,4.547473508864641e-13,-3.0336249652762604e-05,3.0336249652762604e-05
86400.0,0.4,-8.526512829121202e-13,8.526512829121202e-13,-3.0930583420407665e-05,3.0930583420407665e-05
86400.0,0.5,-6.821210263296962e-13,6.821210263296962e-13,-3.1713918500014815e-05,3.1713918500014815e-05
86400.0,0.6,-3.979039320256561e-13,3.979039320256561e-13,-3.269575050060536e-05,3.269575050060536e-05
86400.0,0.7,-3.979039320256561e-13,3.979039320256561e-13,-3.390758663238125e-05,3.390758663238125e-05
86400.0,0.8,1.1368683772161603e-13,1.1368683772161603e-13,-3.536800572287446e-05,3.536800572287446e-05
86400.0,0.9,-2.8421709430404007e-13,2.8421709430404007e-13,-3.712720315124374e-05,3.712720315124374e-05
86400.0,1.0,-1.7053025658242404e-13,1.7053025658242404e-13,-3.9250371714649734e-05,3.9250371714649734e-05
86400.0,1.1,-5.684341886080801e-13,5.684341886080801e-13,-4.1808548567723314e-05,4.1808548567723314e-05
86400.0,1.2,-5.684341886080801e-13,5.684341886080801e-13,-4.491714430363003e-05,4.491714430363003e-05
86400.0,1.3,-2.8421709430404007e-13,2.8421709430404007e-13,-4.874860820103244e-05,4.874860820103244e-05
86400.0,1.4,-6.252776074688882e-13,6.252776074688882e-13,-5.348016904957453e-05,5.348016904957453e-05
86400.0,1.5,0.0,0.0,-5.950834122153692e-05,5.950834122153692e-05
86400.0,1.6,2.8421709430404007e-13,2.8421709430404007e-13,-6.762178298919119e-05,6.762178298919119e-05
86400.0,1.7,1.3073986337985843e-12,1.3073986337985843e-12,-7.938557895340037e-05,7.938557895340037e-05
