time_s,radius_cm,temperature_K,temperature_C,moisture_kg_kg
0.0,0.0,301.15,28.0,2.55
0.0,1.0,301.15,28.0,2.55
0.0,1.5,301.15,28.0,2.55
0.0,1.9,301.15,28.0,2.55
0.0,2.0,301.15,28.0,2.55
0.25,0.0,301.15,28.0,2.549999999999999
0.25,1.0,301.15,28.0,2.55
0.25,1.5,301.1499999999995,27.999999999999545,2.549999999999987
0.25,1.9,301.1500000003211,28.00000000032111,2.5500000000000003
0.25,2.0,301.15001626053635,28.00001626053637,2.5349213847205028
0.5,0.0,301.1499999999999,27.999999999999943,2.549999999999999
0.5,1.0,301.1499999999997,27.999999999999716,2.5500000000000047
0.5,1.5,301.1499999999993,27.999999999999318,2.5499999999999794
0.5,1.9,301.1500000406296,28.00000004062963,2.5499999999999985
0.5,2.0,301.1500458969099,28.00004589690991,2.5286746247092173
1.0,0.0,301.1499999999983,27.999999999998295,2.549999999999982
1.0,1.0,301.1499999999995,27.999999999999545,2.5500000000000167
1.0,1.5,301.1499999999993,27.999999999999318,2.5499999999999794
1.0,1.9,301.1500014262703,28.00000142627033,2.549999999999993
1.0,2.0,301.15012959600386,28.000129596003887,2.5198741109036864
1.5,0.0,301.14999999999867,27.999999999998693,2.549999999999982
1.5,1.0,301.1499999999993,27.999999999999318,2.5500000000000163
1.5,1.5,301.1499999999993,27.999999999999318,2.5499999999999794
1.5,1.9,301.1500071158715,28.00000711587154,2.5499999999999425
1.5,2.0,301.15023779657713,28.000237796577153,2.513146507586464
2.0,0.0,301.1499999999992,27.999999999999204,2.5499999999999687
2.0,1.0,301.1499999999993,27.999999999999318,2.5500000000000163
2.0,1.5,301.1499999999993,27.999999999999318,2.5499999999999794
2.0,1.9,301.1500191441852,28.000019144185217,2.5499999999938074
2.0,2.0,301.15036574049196,28.000365740491986,2.507491675410429
