time_s,radius_cm,temperature_K,temperature_C,moisture_kg_kg
0.0,0.0,301.15,28.0,2.55
0.0,1.0,301.15,28.0,2.55
0.0,1.5,301.15,28.0,2.55
0.0,1.9,301.15,28.0,2.55
0.0,2.0,301.15,28.0,2.55
0.25,0.0,301.14999999999986,27.999999999999886,2.55
0.25,1.0,301.1500000000003,28.00000000000034,2.549999999999998
0.25,1.5,301.1500000000001,28.000000000000114,2.550000000000001
0.25,1.9,301.15000000019,28.000000000190028,2.550000000000002
0.25,2.0,301.1500162601303,28.000016260130337,2.5348540447395873
0.5,0.0,301.14999999999986,27.999999999999886,2.55
0.5,1.0,301.15,28.0,2.5499999999999976
0.5,1.5,301.1500000000001,28.000000000000114,2.5500000000000007
0.5,1.9,301.15000003820194,28.00000003820196,2.550000000000003
0.5,2.0,301.15004592307224,28.000045923072264,2.5286091808005096
1.0,0.0,301.14999999999986,27.999999999999886,2.55
1.0,1.0,301.15,28.0,2.5499999999999976
1.0,1.5,301.1500000000001,28.000000000000114,2.5500000000000007
1.0,1.9,301.1500014189006,28.000001418900638,2.5500000000000127
1.0,2.0,301.1501296668109,28.00012966681095,2.519809632479958
1.5,0.0,301.14999999999986,27.999999999999886,2.55
1.5,1.0,301.15,28.0,2.5499999999999976
1.5,1.5,301.1500000000001,28.000000000000114,2.5500000000000007
1.5,1.9,301.150007112131,28.000007112131016,2.550000000000016
1.5,2.0,301.15023790886335,28.00023790886337,2.513082471890076
2.0,0.0,301.14999999999986,27.999999999999886,2.55
2.0,1.0,301.15,28.0,2.5499999999999976
2.0,1.5,301.1500000000001,28.000000000000114,2.5500000000000007
2.0,1.9,301.15001915210814,28.000019152108166,2.549999999999702
2.0,2.0,301.15036589285165,28.000365892851676,2.5074279530720176
