time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
0.25,be,28.0022,0.019631625000000003,3,1.0305995176853362e-13,2.5050811098695045e-10,9.536745437799254e-08,2.4919621921526414e-10,-0.054453507837571344,-0.05446077325927945,7.265421708105291e-06,2.0122539393931547e-06,2.013561667038454e-06,-1.3077276452994147e-09,0.4825516737933666,5.636422193986269e-09,6.014089334712458e-20,-7.775476231821615e-10,"{""D"": 5.636422193986269e-09, ""cp"": 3412.37205131224, ""k"": 0.4825516737933666, ""rho"": 974.6827147261527}","{""D"": 5.641680883716338e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887324, ""rho"": 976.4000000000002}","[[7.158778588789576e-08, 0.005259666495993475], [3.4658533267181114e-11, 1.6239209226133822e-06], [1.0305995176853362e-13, 2.5050811098695045e-10]]",301.149999999999,301.1500215690696,2.536583708798068,2.5500000000000016,0.0,0.0
0.5,bdf2,28.0044,0.01963325,3,7.954113448025189e-13,2.6911788701650616e-10,1.5976183931343257e-06,1.1144907219318156e-10,-0.10871266762108239,-0.10872417690848124,1.15092873988476e-05,2.0072474783264665e-06,2.007668727076749e-06,-4.2124875028232996e-10,0.4823274574639165,5.6335184265983596e-09,1.576819331020958e-08,-0.0008539207675092966,"{""D"": 5.6335184265983596e-09, ""cp"": 3410.757693740198, ""k"": 0.4823274574639165, ""rho"": 973.7400523322799}","{""D"": 5.6416818190128105e-09, ""cp"": 3415.2957746478883, ""k"": 0.48295774647887335, ""rho"": 976.4000000000005}","[[9.779288518571444e-08, 0.002886762615325336], [4.5695381360167025e-11, 1.327888417263271e-06], [7.954113448025189e-13, 2.6911788701650616e-10]]",301.1499999999989,301.1500510329236,2.5292191588459363,2.5500000000000047,0.0,0.0
0.75,bdf2,28.0066,0.019634875000000003,3,3.5976597861478623e-13,2.569406125771547e-10,1.6596095520071685e-07,3.660716174636036e-11,-0.16277115420300206,-0.16278405553151742,1.2901328515363408e-05,2.0031629981120565e-06,2.003554123870061e-06,-3.911257580046197e-10,0.48217036322764617,5.6314860306979145e-09,1.573587729179408e-08,-0.0012784986036438878,"{""D"": 5.6314860306979145e-09, ""cp"": 3409.6266152390517, ""k"": 0.48217036322764617, ""rho"": 973.0819238192098}","{""D"": 5.6416832928191964e-09, ""cp"": 3415.2957746478887, ""k"": 0.48295774647887346, ""rho"": 976.4000000000008}","[[1.2481491771484995e-07, 0.0020155717470693407], [5.5531181204906064e-11, 1.0859506200595897e-06], [3.5976597861478623e-13, 2.569406125771547e-10]]",301.1499999999991,301.1500886377787,2.5240775298375766,2.550000000000006,0.0,0.0
1.0,bdf2,28.0088,0.0196365,3,4.1261716284260145e-13,2.384929726473516e-10,6.302652764134109e-07,3.413833660204091e-10,-0.2166503102595914,-0.21666520919012555,1.4898930534162913e-05,1.9998873915512387e-06,2.0002404144121978e-06,-3.5302286095909897e-10,0.4820435229223883,5.629847297916058e-09,1.5709851478181692e-08,-0.001701675219987641,"{""D"": 5.629847297916058e-09, ""cp"": 3408.713365041195, ""k"": 0.4820435229223883, ""rho"": 972.5519383059516}","{""D"": 5.641685301594303e-09, ""cp"": 3415.295774647889, ""k"": 0.48295774647887346, ""rho"": 976.400000000001}","[[1.485440646672654e-07, 0.001623034965227495], [6.52980816780211e-11, 9.324101081645317e-07], [4.1261716284260145e-13, 2.384929726473516e-10]]",301.14999999999895,301.1501333916324,2.519937018015247,2.5500000000000083,0.0,0.0
1.25,bdf2,28.011,0.019638125000000003,3,6.479938153157922e-13,2.2345698276498552e-10,3.3357355277985334e-07,1.663162940701568e-10,-0.2703736692403236,-0.2703908972478075,1.7228007483938157e-05,1.9970537768921624e-06,1.997373817191669e-06,-3.200402995066994e-10,0.4819335626941015,5.6284287000212074e-09,1.568733727689856e-08,-0.0021236458135681876,"{""D"": 5.6284287000212074e-09, ""cp"": 3407.9216513975307, ""k"": 0.4819335626941015, ""rho"": 972.0934907506671}","{""D"": 5.64168778108695e-09, ""cp"": 3415.295774647888, ""k"": 0.48295774647887335, ""rho"": 976.4000000000004}","[[1.6918915626990486e-07, 0.0014039285019428604], [7.081932524020403e-11, 8.350789853081727e-07], [6.479938153157922e-13, 2.2345698276498552e-10]]",301.14999999999833,301.1501843641101,2.516355396489587,2.5500000000000034,0.0,0.0
1.5,bdf2,28.0132,0.01963975,3,1.2612565865944493e-12,2.1159614365673092e-10,3.7160316423978657e-07,2.240874152903416e-11,-0.3239599325352206,-0.3239787232033109,1.879066809029606e-05,1.9945086808667263e-06,1.994802032108287e-06,-2.9335124156060544e-10,0.4818347255484039,5.627155467710282e-09,1.566713852445391e-08,-0.002544517704136722,"{""D"": 5.627155467710282e-09, ""cp"": 3407.210023948508, ""k"": 0.4818347255484039, ""rho"": 971.682213137326}","{""D"": 5.6416907011225776e-09, ""cp"": 3415.2957746478887, ""k"": 0.48295774647887346, ""rho"": 976.400000000001}","[[1.874927026637689e-07, 0.0012594828988965014], [7.673694967690819e-11, 7.675548132591608e-07], [1.2612565865944493e-12, 2.1159614365673092e-10]]",301.14999999999935,301.1502408510718,2.513142290135359,2.550000000000008,0.0,0.0
1.75,bdf2,28.0154,0.019641375000000003,3,1.2948545970946609e-12,2.029548642435738e-10,2.779306669253856e-07,1.177502539917441e-10,-0.3774212131130941,-0.3774418137993507,2.060068625658884e-05,1.992174464227589e-06,1.992446259258181e-06,-2.717950305919596e-10,0.48174403546659605,5.625988920759185e-09,1.564863632740823e-08,-0.002964423656745541,"{""D"": 5.625988920759185e-09, ""cp"": 3406.5570553594916, ""k"": 0.48174403546659605, ""rho"": 971.305497481309}","{""D"": 5.641693994467115e-09, ""cp"": 3415.2957746478896, ""k"": 0.4829577464788736, ""rho"": 976.4000000000012}","[[2.0405577752858797e-07, 0.0011536517145594963], [8.403455331681911e-11, 7.16598746703364e-07], [1.2948545970946609e-12, 2.029548642435738e-10]]",301.1499999999997,301.150302327448,2.5101991990727264,2.55000000000001,0.0,0.0
2.0,bdf2,28.0176,0.019643,3,8.667596217845735e-13,1.952996370289149e-10,6.963782652746886e-07,2.3432278339896584e-10,-0.4307687804479422,-0.43079016840152917,2.1387953586970987e-05,1.990004950807317e-06,1.9902590650797256e-06,-2.541142724087738e-10,0.48165970249424206,5.624905779752001e-09,1.5631458144475716e-08,-0.0033834156822101034,"{""D"": 5.624905779752001e-09, ""cp"": 3405.9498579585425, ""k"": 0.48165970249424206, ""rho"": 970.955754412756}","{""D"": 5.641697638908928e-09, ""cp"": 3415.2957746478905, ""k"": 0.4829577464788737, ""rho"": 976.4000000000019}","[[2.192889240187861e-07, 0.0010710681650685117], [8.83766381785947e-11, 6.758353030152985e-07], [8.667596217845735e-13, 1.952996370289149e-10]]",301.1499999999995,301.15036839326393,2.507466831349657,2.5500000000000154,0.0,0.0
2.25,bdf2,28.0198,0.019644625000000002,3,2.955891225363363e-13,1.8850420135505302e-10,9.594386938260868e-07,3.0139579720867005e-10,-0.48400920631682476,-0.4840317168500974,2.2510533272623867e-05,1.9879694087361295e-06,1.988208751226773e-06,-2.3934249064362577e-10,0.48158053104212784,5.6238904855313664e-09,1.5615355017089967e-08,-0.0038015705311902634,"{""D"": 5.6238904855313664e-09, ""cp"": 3405.37982350332, ""k"": 0.48158053104212784, ""rho"": 970.6279121962837}","{""D"": 5.641701617072957e-09, ""cp"": 3415.2957746478887, ""k"": 0.48295774647887346, ""rho"": 976.400000000001}","[[2.3347016734466814e-07, 0.001004014880322334], [9.466269962357715e-11, 6.419698285818447e-07], [2.955891225363363e-13, 1.8850420135505302e-10]]",301.1499999999995,301.15043873132595,2.5049055640334665,2.5500000000000074,0.0,0.0
2.5,bdf2,28.022,0.01964625,3,2.56894442176488e-13,1.8278607385849751e-10,3.0459341360256076e-07,7.998135487241598e-11,-0.5371489028582153,-0.5371729309089801,2.4028050764846043e-05,1.986045860495689e-06,1.986272647385232e-06,-2.2678688954339734e-10,0.4815056662383862,5.62293190607498e-09,1.5600148892808234e-08,-0.004218941856965992,"{""D"": 5.62293190607498e-09, ""cp"": 3404.840796916381, ""k"": 0.4815056662383862, ""rho"": 970.3183435816372}","{""D"": 5.641705894708266e-09, ""cp"": 3415.2957746478883, ""k"": 0.48295774647887335, ""rho"": 976.4000000000007}","[[2.4679163658167537e-07, 0.0009480698997698536], [9.990702245455815e-11, 6.131135851740156e-07], [2.56894442176488e-13, 1.8278607385849751e-10]]",301.1499999999991,301.1505130827636,2.5024870592315405,2.550000000000005,0.0,0.0
