time_s,radius_cm,temperature_K,temperature_C,moisture_kg_kg
0.0,0.0,301.15,28.0,2.55
0.0,1.0,301.15,28.0,2.55
0.0,1.5,301.15,28.0,2.55
0.0,1.9,301.15,28.0,2.55
0.0,2.0,301.15,28.0,2.55
0.25,0.0,301.15000000000015,28.00000000000017,2.55
0.25,1.0,301.1500000000001,28.000000000000114,2.5499999999999994
0.25,1.5,301.1500000000004,28.000000000000398,2.5500000000000007
0.25,1.9,301.15000000028095,28.000000000280977,2.550000000000002
0.25,2.0,301.15001628113237,28.00001628113239,2.5348566976971414
0.5,0.0,301.15000000000015,28.00000000000017,2.55
0.5,1.0,301.15000000000015,28.00000000000017,2.549999999999998
0.5,1.5,301.1500000000003,28.00000000000034,2.550000000000001
0.5,1.9,301.1500000395588,28.000000039558813,2.549999999999999
0.5,2.0,301.15004593792247,28.000045937922494,2.5286101411831563
1.0,0.0,301.15000000000015,28.00000000000017,2.55
1.0,1.0,301.1500000000004,28.000000000000398,2.549999999999994
1.0,1.5,301.1500000000014,28.00000000000142,2.549999999999996
1.0,1.9,301.1500014226489,28.00000142264895,2.549999999999996
1.0,2.0,301.1501296769394,28.000129676939423,2.5198099764586606
1.5,0.0,301.15000000000015,28.00000000000017,2.55
1.5,1.0,301.1500000000005,28.00000000000051,2.549999999999993
1.5,1.5,301.15000000000174,28.000000000001762,2.549999999999995
1.5,1.9,301.1500071166786,28.000007116678603,2.549999999999997
1.5,2.0,301.1502379172853,28.000237917285347,2.5130826599985836
2.0,0.0,301.15000000000015,28.00000000000017,2.55
2.0,1.0,301.1500000000008,28.000000000000796,2.5499999999999887
2.0,1.5,301.15000000000197,28.00000000000199,2.5499999999999905
2.0,1.9,301.15001915683126,28.000019156831286,2.549999999999629
2.0,2.0,301.1503659000335,28.0003659000335,2.50742807554919
60.0,0.0,301.1500000305662,28.00000003056624,2.549999999999911
60.0,1.0,301.15015223932545,28.000152239325473,2.5499999999999576
60.0,1.5,301.154681215073,28.00468121507305,2.5499999999327034
60.0,1.9,301.18743231071846,28.037432310718486,2.518473366171159
60.0,2.0,301.2080712135081,28.05807121350813,2.3270879095048578
300.0,0.0,301.1690704535907,28.0190704535907,2.5499999999995207
300.0,1.0,301.2423427146243,28.092342714624294,2.549999991052935
300.0,1.5,301.4035888290879,28.253588829087903,2.5485344872858655
300.0,1.9,301.6873577713494,28.537357771349434,2.325826583633555
300.0,2.0,301.7948796411667,28.64487964116671,2.086359075558551
1800.0,0.0,305.3392438694171,32.18924386941711,2.549934027066278
1800.0,1.0,306.11593918052654,32.96593918052656,2.5255576332892176
1800.0,1.5,307.11077805821617,33.96077805821619,2.3257054514912427
1800.0,1.9,308.2323560142946,35.082356014294646,1.8261748709325
1800.0,2.0,308.5630193778522,35.41301937785221,1.6486190190764967
