time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,surface,radius_cm,cmax_kg_kg,volume_mean_kg_kg
60.0,2.5499999999999967,2.549999999999999,2.550000000000001,2.55,2.5499999999999976,2.550000000000003,2.550000000000001,2.549999999999997,2.55,2.5500000000000025,2.5499999999999985,2.5499999999999976,2.5499999999999994,2.5500000000000007,2.5499999999999985,2.5500000000000003,2.5499999999999994,2.5499999999999607,2.549999971130328,2.5487934888467394,2.1180860304087785,1.9949873268608416,2.550000000000004,2.540851355184035
120.0,2.5499999999999963,2.5499999999999985,2.5499999999999994,2.5499999999999976,2.5500000000000003,2.5500000000000016,2.550000000000002,2.5500000000000025,2.550000000000002,2.5500000000000016,2.5500000000000016,2.5500000000000003,2.5500000000000007,2.55,2.550000000000002,2.5499999999999994,2.5499999999999634,2.5499999975381216,2.5499770575052865,2.533315676048265,1.989056033787743,1.9900168025889966,2.5500000000000043,2.5335466384314533
180.0,2.549999999999995,2.5499999999999967,2.549999999999998,2.549999999999998,2.5500000000000007,2.5500000000000003,2.5500000000000007,2.550000000000001,2.550000000000002,2.5500000000000007,2.550000000000002,2.5500000000000007,2.5500000000000003,2.549999999999999,2.5500000000000016,2.549999999999997,2.549999999907805,2.549999527507929,2.54958682968567,2.499908133051069,1.9054371339211915,1.9850896699029124,2.5500000000000047,2.527170711010636
240.0,2.5499999999999914,2.5499999999999945,2.5499999999999967,2.5499999999999976,2.5500000000000007,2.5500000000000016,2.5500000000000016,2.5500000000000016,2.5500000000000007,2.5500000000000016,2.55,2.55,2.5500000000000025,2.550000000000001,2.550000000000002,2.54999999999723,2.549999989791727,2.549990261044758,2.547910052897968,2.4553930947636857,1.8434668581831402,1.9802071715210356,2.5500000000000034,2.521422004971882
300.0,2.5499999999999963,2.5499999999999945,2.549999999999998,2.5499999999999985,2.549999999999998,2.550000000000002,2.550000000000003,2.5500000000000016,2.5500000000000025,2.5500000000000007,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5500000000000016,2.549999999999924,2.5499999997728966,2.5499997723030425,2.5499306189288435,2.54402092015086,2.404743371804574,1.7947923268160244,1.9753705501618126,2.550000000000006,2.51613689056239
360.0,2.549999999999995,2.549999999999995,2.5500000000000007,2.55,2.5500000000000007,2.550000000000002,2.550000000000002,2.550000000000001,2.550000000000003,2.550000000000002,2.5499999999999963,2.5499999999999994,2.55,2.550000000000001,2.5499999999948053,2.5499999946199794,2.5499979331401117,2.5497226245768836,2.537395164894342,2.3507248273825496,1.754958095636372,1.9705810485436897,2.550000000000004,2.511208136215059
420.0,2.5499999999999976,2.5499999999999914,2.5500000000000003,2.55,2.550000000000001,2.5500000000000007,2.549999999999999,2.550000000000002,2.55,2.550000000000002,2.55,2.5499999999999994,2.5499999999999967,2.5499999999998786,2.5499999998722176,2.5499999421089816,2.5499892970209834,2.5492213346849693,2.5278954470036314,2.294971010408738,1.721328076631634,1.9658399093851133,2.550000000000004,2.506563834197557
480.0,2.549999999999994,2.5499999999999954,2.55,2.55,2.550000000000004,2.5499999999999985,2.5499999999999994,2.5500000000000043,2.55,2.5499999999999994,2.5499999999999994,2.549999999999996,2.5499999999999945,2.549999999996922,2.549999998422136,2.5499996298493843,2.5499615234358703,2.548259996596619,2.5156008692573355,2.2384191347663784,1.6922229026042677,1.961148375404531,2.5500000000000047,2.5021511963515897
540.0,2.5499999999999967,2.549999999999994,2.5499999999999985,2.549999999999998,2.550000000000003,2.55,2.5500000000000003,2.550000000000001,2.549999999999999,2.549999999999999,2.5500000000000025,2.549999999999995,2.549999999999924,2.5499999999577927,2.549999988097657,2.549998366325952,2.5498929992256247,2.546680720923618,2.500700727474754,2.181516584722577,1.6668009828355321,1.956507689320388,2.550000000000004,2.497930496358501
600.0,2.5499999999999985,2.549999999999995,2.5499999999999976,2.5499999999999976,2.549999999999999,2.55,2.5499999999999994,2.5500000000000003,2.5499999999999985,2.549999999999999,2.5500000000000016,2.549999999999996,2.549999999998879,2.5499999996348435,2.5499999374408544,2.5499944746240826,2.5497519052000186,2.5443486472158896,2.483458953015608,2.1246216402336646,1.644357186238278,1.9519190938511328,2.550000000000005,2.493867810353208
