time_s,radius_cm,cmax_kg_kg,center_kg_kg,surface_kg_kg,volume_mean_kg_kg,picard_iterations,nonlinear_residual,linear_residual,radius_rate_cm_s,mass_step_residual,robin_residual
60.0,1.9949873268608416,2.550000000000001,2.549999999999999,2.136237662438239,2.540720385666914,5,4.460645919019871e-11,1.2505552149377763e-12,-8.322016828478965e-05,-0.00034553928505477293,-4.5474756348265686e-07
120.0,1.9900168025889966,2.550000000000002,2.5500000000000003,2.0005437832230837,2.533440554041616,5,3.996826407942291e-11,1.3073986337985843e-12,-8.250802157497303e-05,-0.00032352863541946066,-3.0160550592443054e-07
180.0,1.9850896699029124,2.550000000000003,2.5500000000000003,1.914538138342782,2.5270901121406886,5,2.8793317164129436e-11,1.1937117960769683e-12,-8.17751628910464e-05,-0.0003087275086280602,-2.4084564218671365e-07
240.0,1.9802071715210356,2.5500000000000016,2.5499999999999994,1.8512460701316564,2.5213632774390833,5,2.236607128392701e-11,1.4210854715202004e-12,-8.102159223300966e-05,-0.00029717684198288,-2.0618424071666614e-07
300.0,1.9753705501618126,2.5500000000000016,2.549999999999999,1.8016367759228953,2.5160970177104804,4,8.71338382719457e-10,1.0231815394945443e-12,-8.024730960086302e-05,-0.00028763900433178766,-1.8174456592570015e-07
360.0,1.9705810485436897,2.5500000000000016,2.5499999999999985,1.7611491046310144,2.511184633671199,4,6.937665485635543e-10,1.2505552149377763e-12,-7.945231499460626e-05,-0.0002794377129812227,-1.6460652952767987e-07
420.0,1.9658399093851133,2.550000000000002,2.549999999999999,1.7270029073295778,2.5065545952185846,4,5.72808164040191e-10,1.1368683772161603e-12,-7.863660841423938e-05,-0.000272153734215322,-1.5106399112440336e-07
480.0,1.961148375404531,2.5500000000000016,2.5499999999999976,1.6975023761384744,2.5021544606404644,4,4.870302985141818e-10,1.4210854715202004e-12,-7.780018985976273e-05,-0.00026552720065460827,-1.4065043857493672e-07
540.0,1.956507689320388,2.5500000000000007,2.549999999999997,1.671712908654978,2.4979448380530496,4,4.147623359373119e-10,1.3642420526593924e-12,-7.694305933117583e-05,-0.00025943103220895866,-1.310848486385722e-07
600.0,1.9519190938511328,2.5500000000000007,2.549999999999998,1.6489644553603353,2.4938920034367893,4,3.5588020168766685e-10,1.2505552149377763e-12,-7.606521682847893e-05,-0.00025375760893649483,-1.23248458966595e-07
660.0,1.9473838317152101,2.5500000000000016,2.549999999999999,1.6287094392326347,2.4899686162402164,4,3.0405960658393055e-10,1.4779288903810084e-12,-7.516666235167202e-05,-0.00024842351615223,-1.1589661709040587e-07
720.0,1.9429031456310681,2.5500000000000016,2.5500000000000003,1.6104182151343078,2.486151446432119,4,2.6699962887845286e-10,1.3073986337985843e-12,-7.424739590075511e-05,-0.0002433348275188861,-1.1008143976975106e-07
780.0,1.9384782783171524,2.550000000000001,2.5500000000000003,1.5937095750022445,2.4824232630431995,4,2.3402469719773654e-10,1.4779288903810084e-12,-7.330741747572819e-05,-0.00023843605013213636,-1.0441774685470411e-07
840.0,1.9341104724919094,2.550000000000001,2.5500000000000007,1.5783184322686257,2.4787689098215457,4,2.0973954534856153e-10,1.4779288903810084e-12,-7.234672707659128e-05,-0.00023368204189674305,-9.972639479561413e-08
900.0,1.9298009708737864,2.550000000000002,2.5500000000000016,1.5639588107758173,2.475176189904543,4,1.896764434882934e-10,1.0231815394945443e-12,-7.136532470334412e-05,-0.00022902919622894938,-9.532260725064331e-08
960.0,1.9255510161812297,2.550000000000002,2.5500000000000003,1.5506459326883364,2.4716328921615247,4,1.6557913833980075e-10,1.3642420526593924e-12,-7.036321035598718e-05,-0.0002244871196199847,-9.081374338950898e-08
1020.0,1.9213618511326862,2.550000000000002,2.550000000000001,1.538143342927199,2.468128089197913,4,1.5223344831993167e-10,9.663381206337363e-13,-6.934038403452002e-05,-0.00022000872191508495,-8.729393107016196e-08
1080.0,1.917234718446602,2.5500000000000016,2.5500000000000007,1.5265099014086478,2.464653896402435,4,1.7035314508025362e-10,1.1368683772161603e-12,-6.829684573894284e-05,-0.00021561452774560442,-8.28314090545362e-08
1140.0,1.913170860841424,2.5500000000000016,2.550000000000001,1.515601471573969,2.4611996077093785,4,1.5326366378528986e-10,1.5347723092418164e-12,-6.723259546925566e-05,-0.00021126936109236492,-7.966592289454546e-08
1200.0,1.9091715210355988,2.550000000000002,2.550000000000001,1.505208931382791,2.457758743466213,4,1.5883205390174616e-10,1.2505552149377763e-12,-6.614763322545845e-05,-0.00020694449948255853,-7.623871313899698e-08
1260.0,1.9052379417475727,2.5500000000000025,2.55,1.4951811928298717,2.454324772819863,4,1.4161877709191588e-10,1.3073986337985843e-12,-6.504195900755127e-05,-0.0002026141407177654,-7.36150520890691e-08
1320.0,1.901371365695793,2.5500000000000025,2.5500000000000007,1.4856434353139745,2.450892043330016,4,1.63223122426883e-10,1.2505552149377763e-12,-6.391557281553386e-05,-0.00019830733211078733,-7.009967139458516e-08
1380.0,1.8975730355987055,2.5500000000000025,2.5500000000000025,1.4766007238680987,2.4474542609754546,4,1.5287611675347804e-10,1.2505552149377763e-12,-6.276847464940686e-05,-0.0001940157917796067,-6.735964298211492e-08
1440.0,1.8938441941747572,2.5500000000000025,2.5500000000000003,1.4677517490714935,2.444006241264929,4,1.4333739379692654e-10,1.2505552149377763e-12,-6.16006645091694e-05,-0.00018969412456077003,-6.493991713906001e-08
1500.0,1.890186084142395,2.550000000000003,2.5500000000000003,1.4589860767584126,2.4405443963058637,4,1.285280707261529e-10,1.1937117960769683e-12,-6.041214239482196e-05,-0.0001853292028847919,-6.288384874776992e-08
1560.0,1.8865999482200648,2.5500000000000025,2.5500000000000016,1.4504418927262475,2.437066187054116,4,1.4016237392943304e-10,1.4210854715202004e-12,-5.920290830636474e-05,-0.00018094868785922846,-6.015411664776301e-08
1620.0,1.8830870291262134,2.550000000000003,2.550000000000001,1.4420914943082335,2.4335669391041996,4,1.2627038724463845e-10,1.1368683772161603e-12,-5.797296224379725e-05,-0.00017654236640953804,-5.818066611893157e-08
1680.0,1.879648569579288,2.5500000000000025,2.5500000000000003,1.4338852115995784,2.4300437513420197,4,1.311016651581639e-10,1.1937117960769683e-12,-5.672230420711974e-05,-0.00017210787519103586,-5.578835581510887e-08
1740.0,1.8762858122977346,2.5500000000000025,2.550000000000002,1.4260400123075394,2.426492156818488,4,1.390696720516825e-10,1.4779288903810084e-12,-5.545093419633228e-05,-0.0001676754266517975,-5.313675482033435e-08
1800.0,1.873,2.5500000000000034,2.5500000000000025,1.4184424451497981,2.4229072482092544,4,1.306583192650756e-10,1.3073986337985843e-12,-5.415885221143472e-05,-0.00016322337181976128,-5.105541083432095e-08
1860.0,1.86979928835586,2.550000000000004,2.550000000000003,1.4109257734018397,2.419278263093173,4,1.284999283670681e-10,1.2505552149377763e-12,-5.2639191258610575e-05,-0.0001581118499144323,-4.889122638725479e-08
1920.0,1.8666874513357448,2.550000000000004,2.550000000000001,1.4032978693243046,2.4156006498037312,4,1.1174242007048792e-10,8.526512829121202e-13,-5.1199401762661174e-05,-0.00015324150061863295,-4.749233993953405e-08
