time_s,r1.9cm_abs,r2.0cm_abs
1,4.440892098500626e-16,0.0003079626826267834
2,5.3508308894834045e-12,0.00020906143502275043
3,5.00398389391421e-10,0.00016753524278101395
4,7.619205710795995e-09,0.00014325207921883631
5,4.435247591416669e-08,0.00012684921059902265
6,1.474511930332767e-07,0.00011481925245915292
7,3.456092292353219e-07,0.00010551182011075966
8,6.4355936935101e-07,9.803469360347705e-05
9,1.0229798048655425e-06,9.18577424595668e-05
10,1.4525628211359276e-06,8.664354837817356e-05
11,1.8982555713975557e-06,8.216578097330896e-05
12,2.3299097904327937e-06,7.826620576922849e-05
13,2.7242649300873722e-06,7.483042237632631e-05
14,3.0654453571088425e-06,7.177339478081635e-05
15,3.3441480900009424e-06,6.9030421582017e-05
16,3.5563285631923236e-06,6.655128336285898e-05
17,3.701837997915902e-06,6.4296325367863e-05
18,3.783223478048825e-06,6.223376195757524e-05
19,3.8047612678226983e-06,6.03377765799884e-05
20,3.771722694612123e-06,5.858715401574344e-05
21,3.6898417574704467e-06,5.6964277056259505e-05
22,3.5649448433261455e-06,5.545437826759425e-05
23,3.40270459808778e-06,5.40449735320081e-05
24,3.208485520822535e-06,5.272542737078112e-05
25,2.9872553728438334e-06,5.148661532272669e-05
26,2.7435425575816907e-06,5.032065871501956e-05
27,2.481424635547569e-06,4.922071423818508e-05
28,2.204537242089799e-06,4.818080535429203e-05
29,1.916095674570073e-06,4.7195686096124234e-05
30,1.6189237888042385e-06,4.626073015545629e-05
31,1.315486471753502e-06,4.537183985497961e-05
32,1.0079232510840086e-06,4.4525370956005617e-05
33,6.980813682666565e-07,4.371807014580398e-05
34,3.875473737480206e-07,4.29470227247819e-05
35,7.767662335567138e-08,4.22096086274415e-05
36,2.303796104996536e-07,4.150346520193082e-05
37,5.356494789943156e-07,4.0826455590003974e-05
38,8.373183661980477e-07,4.017664173838753e-05
39,1.1347090240754198e-06,3.955226123775191e-05
40,1.4272639048407143e-06,3.895170736933906e-05
41,1.7145295032605645e-06,3.837351187474525e-05
42,1.9961425419268153e-06,3.781632998300921e-05
43,2.2718178009917267e-06,3.727892737748206e-05
44,2.541337437378388e-06,3.676016879472499e-05
45,2.8045416153865688e-06,3.6259008051597874e-05
46,3.061320319464045e-06,3.5774479246075686e-05
47,3.311606185718574e-06,3.53056890149972e-05
48,3.555368254470892e-06,3.485180968043622e-05
49,3.7926065235005524e-06,3.4412073169676205e-05
50,4.023347208281791e-06,3.39857656062037e-05
51,4.247638603960269e-06,3.3572222499334003e-05
52,4.465547513543555e-06,3.317082443077268e-05
53,4.677156131727145e-06,3.278099320347394e-05
54,4.8825593368384546e-06,3.240218838884701e-05
55,5.0818623646975425e-06,3.2033904205697183e-05
56,5.275178780461687e-06,3.167566671757882e-05
57,5.4626287351311476e-06,3.132703130592773e-05
58,5.644337464527638e-06,3.098758037367588e-05
59,5.8204339814516e-06,3.0656921283789274e-05
60,5.9910499725646105e-06,3.0334684456789773e-05
61,6.156318839600772e-06,3.0020043047418454e-05
62,6.316374892012533e-06,2.9713420238053345e-05
63,6.471352642201111e-06,2.9414284191009443e-05
64,6.62138622287145e-06,2.912231655916031e-05
65,6.766608906083604e-06,2.8837230729106267e-05
66,6.907152687141149e-06,2.855875958562848e-05
67,7.043147950636097e-06,2.828665178089551e-05
68,7.174723159586449e-06,2.802066984708418e-05
69,7.302004609854862e-06,2.7760588909853112e-05
70,7.425116218762184e-06,2.7506195693138835e-05
71,7.54417937187668e-06,2.7257287693149834e-05
72,7.659312804442209e-06,2.7013672427855795e-05
73,7.770632510339937e-06,2.6775166789061444e-05
74,7.878251692794436e-06,2.6541596445994742e-05
75,7.982280716856138e-06,2.6312795297300795e-05
76,8.082827104516355e-06,2.6088604974994212e-05
77,8.179995510726457e-06,2.5868874385270857e-05
78,8.273887750487319e-06,2.5653459262642286e-05
79,8.364602808175192e-06,2.5442221798677167e-05
80,8.452236860190254e-06,2.523503026319318e-05
81,8.536883314924637e-06,2.5031758660087888e-05
82,8.618632859835884e-06,2.4832286414699922e-05
83,8.697573492977284e-06,2.463649807094015e-05
84,8.77379058561445e-06,2.444428302084134e-05
85,8.847366929742861e-06,2.4255535241213266e-05
86,8.918382801592628e-06,2.40701530591636e-05
87,8.986916010478296e-06,2.3888038905184317e-05
88,9.053041963635877e-06,2.3709099137292355e-05
89,9.116833727507156e-06,2.3533243802109638e-05
90,9.178362088135827e-06,2.3360386476767303e-05
91,9.237695623998121e-06,2.3190444078835526e-05
92,9.294900745526746e-06,2.3023336710004116e-05
93,9.350041775491036e-06,2.2858987499319028e-05
94,9.403181005396277e-06,2.2697322447307045e-05
95,9.454378754103487e-06,2.2538270310512587e-05
96,9.503693428669635e-06,2.238176244473422e-05
97,9.551181582523327e-06,2.2227732709989567e-05
98,9.596897971420049e-06,2.2076117334179912e-05
99,9.640895619611456e-06,2.1926854814058316e-05
100,9.683225857592959e-06,2.17798858210827e-05
